Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,8061.269854330801,0.7028430000000001,1.2994087800000005,4.05018658,7.106573580000001,11.236725580000002,15.472036580000005,20.216190000000005,24.910464200000003,38.1667372,52.70267120000001,72.6842804,88.17972520000002,101.000756,94.18418740000001,87.85037740000001,71.1561482,60.66954700000001,51.37425740000001,53.53825000000001,53.183034000000006,57.20774600000001,56.907775199999996,56.427606999999995,55.94066379999999,55.360293799999994,54.48972240000001,58.06886039999999,61.7920474,64.40282859999999,68.56498859999999,72.163434,75.33098000000003,78.07647600000001,80.08203920000003,82.39249720000002,86.13113440000002,90.56803560000002,95.0401348,105.41985359999998,116.21039960000002,130.7807784,147.2143892,166.66114199999998,176.25051399999998,198.235856,203.335226,211.58153,205.697614,212.33628599999997,196.091456,197.548124,189.31182400000003,199.06412000000003,192.27249,193.972182,183.899528,173.48703600000002,156.880724,145.21225599999997,132.77244199999998,124.25213200000002,114.82333799999999,105.46755600000004,100.2891112,96.6004782,95.7557082,102.6124462,110.38422020000002,116.66044699999999,113.3060448,114.9649728,113.3485728,110.80134779999999,106.4604898,105.3933802,91.9437222,82.6972132,64.50382420000001,45.999644,34.0792792,26.43919288,14.81304828,9.88478654,10.138518140000002,7.81855134,7.68148906,5.47829866,4.5909544,3.9146282,4.7121564000000005,4.434369599999999,5.60830892,5.65306363,3.8884971936,1.7812013936000002,1.2214267936,NB
Bermondsey,7439.845456496,5.5108422,11.177759199999999,19.0009532,30.2997852,43.8037024,54.9902338,75.91946479999999,92.6260088,116.06709679999999,129.9789828,158.755482,171.15890000000005,198.00971600000003,196.25046000000003,204.15166400000004,189.948938,184.336708,153.0478868,141.2005418,125.3583098,117.531929,103.03300900000002,100.3139502,96.6313752,92.53315820000002,87.809821,84.75336300000002,84.15813299999999,85.960739,86.0019728,85.6778148,86.4638348,84.9668568,79.89110079999999,76.87283199999999,76.32190800000002,75.955686,77.7182452,79.5007292,84.5718952,90.62447240000002,95.8295224,105.9520972,111.9257182,121.4499522,121.14053899999999,131.999175,130.50525700000003,142.622284,142.71273000000005,154.17374800000005,150.38150000000005,157.82908600000005,148.37217400000003,143.122884,136.192296,127.17836,110.0154228,99.64107680000002,86.8291122,71.78191960000002,62.608339,57.7876534,52.7929802,49.7456574,45.912264,43.6949786,42.7059482,42.93891860000001,42.47303860000001,43.9289234,46.3600386,45.4796492,38.49975560000001,36.777709400000006,33.258551399999995,25.2833122,16.66406838,16.35699898,11.3193361,7.8991573000000015,5.7366755000000005,6.48457106,4.7831610200000005,4.7520511,2.989413548,2.577627348,1.980943328,2.8709129680000003,2.659380788,3.21765816,3.66673436,3.14483962,1.7919147320000002,1.429367312,0.7318114920000001,NB
Bond Street,18141.663044121997,0.11408691999999998,1.90733472,10.64375972,22.10074292,39.71450292,57.409142,82.73932620000002,97.82561520000002,123.045756,134.157534,148.213552,150.97815400000002,167.398156,157.12017400000005,150.25087000000005,139.25709799999998,129.561022,107.063006,98.962149,95.812355,96.480437,95.213539,97.292585,100.46502,106.525531,106.405293,111.63810300000002,118.40309900000004,125.564181,129.45075200000002,138.50686800000003,147.01472600000002,152.58028000000004,156.957872,167.94907,178.36108599999997,188.21589,199.80601399999998,213.64005200000003,231.266066,260.705204,278.058122,306.5390920000001,345.34653199999997,376.8262380000001,398.128092,434.04252600000007,459.531236,490.62070400000016,490.50850400000013,505.53640400000006,507.59592000000004,515.68852,482.36437199999995,470.08829199999997,441.64882800000004,409.456368,364.953,344.83628799999997,325.682874,304.1841980000001,288.43351600000005,279.63169800000003,268.65335400000004,263.935288,257.711182,265.57377599999995,274.272946,281.583114,276.34656,266.33458199999995,249.274502,225.681582,205.89955200000003,182.800974,167.04638900000003,139.629096,119.97633200000001,103.06815,88.74520920000002,83.04520300000001,76.51462600000002,73.523678,59.022631200000006,64.40882280000001,46.496713799999995,39.737811799999996,24.7737598,30.9664006,20.4917878,26.675116400000004,29.814096800000005,33.46956060000001,18.853178374000002,14.108992374000001,6.810747973999999,NB
Canada Water,24583.59844827,7.52984726,20.42162426,45.40547626,83.92887026,133.52565740000003,180.12661500000004,240.339648,315.296226,382.300612,443.4663000000001,518.5984599999999,584.67251,625.7444399999998,625.83096,631.709408,605.963644,562.001496,509.14477000000005,473.040626,422.370782,387.098992,351.04397400000005,327.685472,322.38069600000006,317.761232,308.0663540000001,309.828732,306.004568,305.538158,302.9906180000001,305.568298,308.32327799999996,311.338238,303.493854,299.058914,294.371006,288.8510179999999,282.754758,290.210972,302.195644,319.66015,335.947852,359.907374,368.866218,389.005012,393.940286,413.546444,423.471798,465.64249400000006,467.98791600000015,499.58185600000013,500.08668400000005,513.630586,480.82558200000005,473.963082,436.334982,406.927938,350.17132799999996,310.83211,265.407848,228.080248,192.66691200000002,173.708926,159.466162,149.00394599999998,140.691172,146.720552,161.945192,164.71597000000003,166.15411800000004,166.86605,156.4771392,138.20037319999997,123.0338752,103.7645282,85.54387980000003,64.7460618,40.7836492,29.00711,21.628062600000003,17.3779188,15.1426894,16.5551698,14.787851999999999,14.4393608,11.1717422,8.8269484,7.4490397,7.9248311,7.4415113,8.729907100000002,9.829425500000003,7.90300654,5.31331273,3.94266013,1.83885713,NB
Canary Wharf,30864.126576436804,9.629464,22.836598000000002,34.770902,56.132844999999996,76.1517694,99.245005,125.744997,164.020633,195.06551,235.12272,277.40877,333.64309199999997,380.42977200000007,407.933412,412.574562,419.33775,382.099696,343.50683,320.24785400000013,311.1377,293.97582200000005,291.490028,286.5464,286.793872,289.9030360000001,288.50333,295.48642600000005,307.5956720000001,315.78118200000006,313.45187799999997,315.629202,320.497238,322.060126,321.29122399999994,327.47753,339.331792,348.41502,360.43461000000013,386.481886,414.10494000000006,436.689858,460.96724400000005,512.359108,552.4879179999999,615.088958,681.2052420000001,816.4306760000002,917.016922,1033.044092,1086.805272,1137.1545199999998,1086.654232,1042.7418260000004,942.977386,884.5597940000001,786.6183139999999,716.8225820000004,610.7489559999999,541.929342,451.08480400000013,394.82593600000007,329.427924,299.3831160000001,267.64633200000003,247.87194,237.639132,236.32859399999998,231.05363400000005,222.497852,228.39610800000003,227.454216,217.46234600000003,213.174276,198.36369399999998,186.342674,162.259774,137.754062,107.58685000000004,88.239681,62.00001040000001,41.7700703,33.7393615,24.461470300000002,25.5095127,16.810286599999998,15.313237100000002,8.191317900000001,9.6060265,6.10468076,7.96051186,8.11347306,9.65058546,6.1479275002,5.1776608322,2.5831324322,1.6010288321999997,NB
Canning Town,29676.80455335097,55.621990000000004,103.09374,189.763954,282.812202,359.2433680000001,449.12362400000006,530.432734,587.9433799999999,591.0137720000001,626.7280000000002,630.5549000000002,660.91851,640.9087900000002,681.266518,668.401198,659.993878,585.038354,551.4409440000001,495.157728,460.10850199999993,419.740288,392.544676,374.41573999999997,367.624114,354.57277000000005,343.635464,364.795126,360.078244,362.965066,356.396136,365.026576,354.565786,362.19009,350.498196,367.41837599999997,359.22909599999997,373.14273,352.59345,397.321422,389.58990200000005,408.492812,435.21788,470.1541600000001,482.53631400000006,510.918758,533.948648,529.0264599999999,563.633804,548.7461940000002,568.7190400000002,565.25771,570.641262,540.4169860000002,537.882428,489.55758600000013,448.45137200000005,409.386896,378.926356,324.0695340000001,297.827962,268.96434,240.734262,208.979992,192.78075800000002,176.37868200000003,165.543248,151.99145,148.004826,139.359958,129.42928,121.950807,118.75541300000002,114.454757,103.0832182,98.76807620000002,88.01278920000001,68.24390079999999,45.39859474,32.38446637,18.50175847,12.514338070000004,11.578338470000002,14.64856993,17.523209700000002,17.014360399999997,13.666514320000005,13.640870720000002,14.01095252,16.21783232,18.98607772,23.788739000000003,25.140301800000003,21.44830994,16.17019222032,11.117884020319998,5.89598922032,NB
Canons Park,67.61224465799998,0.006001503399999999,0.006001503399999999,0.1418079914,0.2787521114,0.3336895914,0.4991556280000001,0.7824518480000001,0.8147287400000002,1.01570678,1.3765697,1.87007636,2.40841794,2.67544656,2.65755268,2.59895014,2.17985672,1.70528944,1.3707771000000002,1.136217428,0.8984038080000001,0.7564390780000001,0.486491574,0.455606134,0.46405514,0.39269588200000005,0.370185876,0.39957136,0.5157079999999999,0.5901579140000001,0.6530525979999999,0.6292933060000001,0.6622678160000002,0.606993876,0.656359668,0.7453300620000001,0.97446683,1.10478516,1.18672166,1.1459428480000002,1.0596608880000002,1.0388157679999999,1.4450900680000005,1.5515596480000002,1.6743535400000005,1.7486235000000003,1.7249722400000005,1.3626698999999998,1.24622766,1.25281288,1.20710637,1.045320662,0.8232601220000002,0.8605993820000001,0.685836862,0.5910004,0.6258410080000001,0.648545508,0.568209308,0.4567241612,0.6084018932,0.5980255992,0.5759072232,0.4966092792,0.566925094,0.41571712200000005,0.439659816,0.459128972,0.4439937559999999,0.363089076,0.33595091799999993,0.304673348,0.192905308,0.16573341600000002,0.194140818,0.2772507280000001,0.314720318,0.390645812,0.3527070440000001,0.314802554,0.211025954,0.09733581400000002,0.045214849,0.069019377,0.069019377,0.069019377,0.047609057,0.023804528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Dollis Hill,1150.2592816889412,0.0,0.35613094,1.7506840200000005,3.0903474200000005,4.585422620000001,7.599388020000001,10.52644228,14.933310999999998,22.962165,27.07160260000001,36.2643032,39.56020800000001,39.9816392,33.9889652,32.8262572,24.583328400000006,21.248855,17.606858900000006,16.737877100000002,14.7144853,13.578036699999998,11.829973300000002,11.8336288,12.1616532,12.1211119,10.947536900000001,11.419172900000001,10.7559063,10.1898145,9.9151014,10.2810127,10.867118099999999,10.7352273,10.3330621,10.936482300000002,11.7568726,12.895599400000002,14.5030784,15.709532800000002,14.929672,15.6937788,15.882182199999999,17.705145,18.8784434,23.1210168,23.761169400000004,26.798078000000004,26.294200000000004,28.443122999999996,26.6474026,26.081325400000004,23.913966600000002,23.564564999999998,22.3231082,21.9396182,21.560474399999997,19.340941,17.633095,14.755859599999999,12.618172800000002,10.6839386,9.45632154,8.00277894,7.0351292600000015,6.405521780000001,6.89192478,7.55892324,7.90829084,7.55155792,7.117759940000001,5.86936534,4.48923054,3.61890554,3.0056232000000005,3.06651326,2.8322245400000003,2.7944594200000004,2.2055647659999997,2.016170238,1.327140068,1.026830794,0.6298367260000001,0.7170232900000001,0.6381286220000001,0.5646503279999999,0.561096586,0.405167974,0.22270486400000006,0.15204640000000005,0.122532034,0.05846340546000001,0.058842321820000015,0.08388430382,0.08450642109999999,0.02665045110000001,0.026043015640000004,NB
Finchley Road,5228.953463635602,0.0,0.6089756400000002,1.21069116,1.7801312800000002,4.57691848,8.60846608,13.339121040000002,22.24240812,33.376908,45.484803799999995,56.4884262,64.7267836,66.32912660000001,64.48500179999999,59.3895938,54.3871692,46.65592880000001,43.03027520000001,39.57907400000001,36.38337300000001,32.2236088,32.104665000000004,31.825889000000004,33.77203900000001,35.36257700000001,37.50493460000001,39.667988799999996,42.591600799999995,44.2801328,46.87649680000001,48.9644714,53.3247578,55.0029584,56.58233780000001,58.4578898,62.82090840000001,66.255638,70.36366540000002,76.398472,73.42113259999998,77.4502026,84.75430859999999,93.9538106,107.3065286,121.09144600000002,134.874328,145.256858,150.22598,157.836486,162.36567200000005,161.30450800000003,157.56364200000004,158.160156,149.72803000000002,149.77746000000005,140.19657800000002,129.394396,112.52755800000004,97.39437,83.39608000000001,73.44218680000002,66.36219600000001,63.02753320000001,58.72130320000001,56.160419999999995,56.29273820000001,55.98338300000001,59.33291580000001,60.05581779999999,61.32183500000002,62.25462460000001,60.965784600000006,54.17002220000001,47.50762460000002,38.482076000000006,29.89167800000001,23.1531766,16.270812492,12.034830092000004,8.587845592,5.255657192,2.172448952,2.68575014,2.6317676600000004,3.29621696,2.6690172500000005,2.33945089,1.67835021,1.7020999900000002,0.87760875,0.9254492,0.969454516,1.207166456,0.6663240511999999,0.5298330911999999,0.2843261512,NB
Green Park,19390.98804038001,2.2701666,7.268059000000001,16.7468698,37.54571780000001,57.607364800000006,73.0111782,97.40496379999999,122.772107,145.13836300000003,167.940648,198.80031,224.739772,251.6664260000001,252.59370400000003,249.8395040000001,241.146372,220.566916,192.03446,181.039734,172.329206,163.99938,158.117072,147.892014,143.59804400000004,146.13194199999998,145.185344,151.08269199999998,165.27272200000004,170.413226,170.92457800000003,173.09431200000003,176.67656200000005,180.786724,183.646394,186.08234000000004,198.53491,205.90703600000003,208.31659,221.13107999999997,243.24442,257.590794,280.76849400000003,308.684682,360.66995800000007,391.05754200000007,437.21602600000006,464.74427000000014,502.52950200000015,525.1604100000002,535.1486460000001,541.4976379999999,550.830954,547.743622,515.802154,489.01699400000007,444.402834,392.39834600000006,334.66059800000005,290.085752,260.713144,233.88188,218.19633,204.54845000000003,198.360494,196.217098,190.09084000000004,194.586924,207.673264,214.50828400000003,221.07426600000002,225.67592,224.04400200000003,214.703892,213.273756,203.87690200000003,197.03635,189.20403800000003,156.36483320000005,127.89549920000002,97.83107779999999,80.2271618,53.41685820000001,61.80397900000001,50.120170400000006,53.8983922,40.17551352,33.88364112,19.63619512,25.76796372,19.15864412,26.3784648,29.9577148,35.2482792,22.61869126,17.27668646,9.15400046,NB
