Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,5907.66103223,0.612453594,1.332719496,3.8185327200000003,6.856698434,11.388494702,14.572009808,20.246911766,25.937680062000002,37.076677768,48.239324700000004,64.13431288000001,74.34859502,82.07981444,75.54792972,68.87699728000001,57.060700094,47.836998674,39.890307954,40.506183354,41.509126994,42.793507908,42.650523848000006,42.190550988,41.408673288,39.923747188,39.089976379999996,40.86480614,42.86458358,44.934615580000006,46.3162684,47.77315066,50.07329758,51.62734658000001,53.04640238,55.84530152000001,59.03942106,62.60732906,66.64119106000001,79.11553445999999,84.97292184,93.14946972000001,101.43062902,113.93523312,117.73484651999999,133.38418228,141.43223432000002,148.28637822,144.37418932,148.31926532,139.42206732,138.29938748,135.75663548,144.08543007999998,137.60273703000001,138.88396493000002,131.00142805000002,124.31935312200001,108.88719502200001,103.48640987200001,95.379508792,91.08590971200002,84.00588336000001,81.45440766000002,77.28240818000002,74.38237167999999,74.47125636000001,80.29842492000002,88.3205956,93.61994284,96.48043450000002,95.18168676,97.03993376000003,94.13635984,90.70080568,82.69477604000001,77.31648106,66.17007618,51.28878842000001,34.29307602,23.832718280000005,14.5188206,4.263710800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Bond Street,11597.66286945123,0.0,5.32340288,13.22645242,26.361389420000002,41.46852210000001,64.36386230000001,83.98676902,104.15683488000002,119.75435488000001,132.4782326,137.9622602,143.08348080000002,145.8469106,143.21887120000002,132.0996178,121.9838932,107.8505738,90.75443600000001,79.13963030000001,77.3254857,74.6833485,73.0452917,73.2602817,74.6541776,75.55086088000002,74.14472547999999,73.91498868000001,76.20581728,76.49394534000001,78.03840566,81.02631586000001,85.92750186000002,88.42381236,92.39596750000001,96.73082110000001,103.12000649999999,107.6305897,114.58200940000002,122.6497058,137.45759160000003,149.26716000000002,160.4858232,182.83009840000003,198.0060042,216.15812439999996,237.10315,264.3921666,285.91382380000005,296.69957700000003,307.1323446,306.2937086,307.0587178,288.29688880000003,281.86399480000006,261.103003,246.23290700000004,219.56833060000008,206.64772,191.51299074,179.98338214000006,171.93908181999998,166.10991842,158.29803802,158.18277888,158.26874008000001,158.73641,164.55905946000001,176.02852856,183.75146400000003,180.256788,171.73485912,161.00419366,148.6113827,130.6048858,118.32579356799998,104.748971968,91.18513132800001,69.93615888800001,64.16033660800001,55.09218914000001,57.83032858,51.186527420000004,53.29793204000001,43.723382259999994,46.92480515999999,34.18283759,29.04135979,19.16380909,21.065233689999996,14.20694245,19.147363432,21.692850833999998,24.6610538072,15.91937770001,11.55641774001,5.65687756801,NB
Canada Water,15147.9136431024,0.0,10.8716792,26.979531599999994,53.04389120000001,82.5580912,125.7580624,166.5419522,212.868862,257.9203408,296.80445800000007,334.80535960000003,361.7557696000001,368.7029454000001,359.46632600000004,358.6235078000001,335.3883856,309.2892236,289.21354840000004,268.91157640000006,237.45240479999998,213.9316742,195.4943076,187.8079424,185.640334,185.70632460000002,188.40970460000003,192.26364919999995,187.7990684,186.8901962,185.93180420000002,187.2863978,190.9403062,192.4851108,190.3840432,189.2651544,186.23290360000001,180.299991,176.494887,184.1727396,195.8777698,211.60098899999997,226.15360479999998,244.2547486,248.7255992,261.58757860000003,262.6800176,274.48278700000003,286.0135798,309.79477180000004,312.213157,330.037004,330.0788172,330.1991712,312.9521642,304.4752282,275.74486279999996,249.31293960000002,214.03063860000003,183.7069056,152.6541982,132.1704292,114.33818880000001,103.10871420000001,95.92159939999999,90.71822680000002,84.8473684,86.1942212,88.63466220000001,89.43744559999999,90.28496140000001,92.9471718,90.640415,84.8644172,74.15078140000003,63.85966280000001,47.912309300000004,32.993684359999996,19.884084460000004,12.804991888,7.493875294000002,7.7222792139999985,7.576682073999999,7.793881626,8.790648982,7.964004215999999,6.643960395999999,4.930537388,4.679579004,4.30944155,4.524764726800001,4.4158262388,5.0534276028,3.8362074694,2.6594960194,1.6881210026,1.1485872905999999,NB
Canning Town,16379.718268760003,15.18541116,45.77502396,89.01992136,116.24683856,167.86589088,217.79246340000003,250.568057,256.89133260000006,286.5594264,298.20715759999996,313.49411399999997,311.6097214,332.07057640000005,340.18946780000005,336.8622524,310.34606560000003,290.0629058,266.68984558,245.03578478,219.64533037999996,207.21613878,202.92634538000001,192.76758900000004,184.53625746000003,188.62281526,189.01136506000003,198.49585646,203.63231018000005,214.67493652,212.61356412,223.31254192000003,217.50479212,222.16271420000004,217.50015646,228.15706426000003,221.81888226,231.29987266000003,231.72651146000004,255.41690040000003,268.06423159999997,285.73218280000003,297.5051472,328.00832720000005,324.08727500000003,335.644952,344.75012240000007,360.53675599999997,345.4745232,352.62718800000005,343.62735971999996,342.12786152,313.4440993200001,309.82947552,291.78628792000006,277.762924,245.89797934,231.45846454000002,207.16540493999997,186.11223074,157.22382034,145.2676664,131.35590494000002,117.66642728000002,104.41842686000001,100.95804378,93.20200392000001,88.91886198,82.92856618000002,81.71969692,74.64342406,71.50810946,67.99526506000001,65.44758152,59.265377580000006,53.15321822,46.35733512,36.7548185,25.324044108000002,16.628899328000003,9.445617228,3.7849075880000003,0.593258408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Finchley Road,3673.1469193583994,0.0,0.545741092,0.8391051816799999,1.28472030768,4.55755508768,7.454760447680002,12.35397815568,20.362221666,29.508034540000004,38.49893576000001,46.7006688,51.38882520000001,50.7846232,49.983267600000005,44.298147400000005,39.504200600000004,33.9385051,31.611226300000006,26.975113299999997,24.9588015,21.9162674,21.469334300000007,20.288924180000006,21.672747440000006,22.556404240000003,23.997209680000005,24.6122958,26.28782292,26.818833380000004,27.778913080000006,29.29672934,31.897938019999998,33.59838922,34.9863379,36.27914912000001,39.03545186,42.02372766,44.591139059999996,49.183989659999995,50.130000339999995,54.41199046,57.775518059999996,59.78741666,68.89660065999999,80.47909225999999,87.5927382,97.44376108,110.94237168,116.78801728,121.12012988000002,120.96086647999999,121.55724200000003,118.20793240000002,115.534455,106.72008480000002,104.59301339999999,91.05580526,80.08437344000001,64.37074464,58.50715348000002,50.78859404000001,47.434131359999995,43.93106248,42.825942620000006,41.001884780000005,39.36796672000001,40.69625384,42.79859934,44.29431726,45.37097756,46.53859926,45.79654195999999,40.32176196,34.56753853,26.092085430000004,19.557800204,14.639784984000002,10.192414184,6.938723754000001,6.280069154000001,2.91252698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Green Park,14029.52910400396,2.2176869200000002,8.737522,17.409657780000003,36.70053078,56.30056718,75.00530906,97.08685938,122.21088999999999,143.39961100000002,168.1443376,192.5396928,221.2119664,240.0222362,240.69421150000002,231.5684395,221.40174149999999,196.08080236,173.01446446,159.38174738,151.28049618,142.89074738,135.21144092,124.26117373999999,117.12602942,117.49194582,112.60176988000002,110.54475568000001,117.40123335999999,123.20990766,119.95873346,122.55460532000002,129.18382572000002,131.12800122000002,133.47909202000002,135.85206402000003,143.3601165,145.5040867,148.545367,158.34648,172.38535360000003,174.3760994,194.58569420000003,213.1651128,243.5181302,271.43132180000003,307.6098856,329.99029900000005,358.9313402,368.392984,371.6871564,376.0533116,375.66529180000003,370.402554,354.35479019999997,336.6882618,304.1181954,270.3198712,230.37866300000002,198.0610268,171.02171740000003,159.10830800000002,143.5060288,131.1431584,129.3388146,131.2681206,122.98755100000001,127.00423988,136.93759688000003,138.77534868,140.11283248,149.77387678000002,144.6407221,142.7060953,134.49854390000002,131.92768362,118.41940192,108.16291862,87.8738276,71.67128974,52.65146166,38.55021766,34.18082428,30.289808220000005,32.26140822,24.849146045992,21.416306925992004,13.367674605992,11.709759545992,7.557774925992,11.67957672,14.747981099999999,20.26615546,18.393573759499997,15.3501494515,9.8186545915,6.385065731500001,NB
London Bridge,2309.3028537999994,0.12164012,0.33393996000000004,2.4718173200000004,3.63930442,6.109719780000001,9.161369200000001,12.16794036,15.6775556,18.64243922,20.14217154,22.5598345,25.502755699999998,29.3219951,33.51995258,36.2900761,38.821413199999995,40.449044400000005,40.47940480000001,39.52173620000001,39.64083880000001,39.132927800000004,37.138171099999994,33.5577333,31.996730499999998,31.910061500000005,29.986765900000005,30.323019800000004,30.188838000000004,31.424187000000003,31.194349100000004,32.2372101,31.8513261,32.736189100000004,31.4139173,30.757266,29.8031126,31.729349799999998,32.225817,33.236172599999996,34.1487878,37.01077240000001,39.1865356,40.23026920000001,43.0772922,44.9051488,47.6230386,45.6899164,49.9500594,47.13514359999999,49.39940200000001,43.831055,44.5982248,38.3442716,39.5399972,35.1297968,36.1232016,35.158150600000006,34.2441728,32.7020612,30.9442118,28.7442742,24.691468200000003,22.8836792,20.125314720000002,19.618318119999998,19.72992292,20.82426252,23.63219592,25.663599400000003,26.663384739999998,25.15555724,25.25356784,24.23167004,22.306600960000004,19.354817700000005,19.9638298,16.962897580000003,11.68490238,7.91612166,5.6522201800000005,1.8546455800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Stratford,26348.268638523674,43.253287424,119.98121626400001,169.567589916,242.420944776,388.542297232,486.07370496,588.688286652,680.25195133,794.0335666200001,762.744018448,796.203831362,817.775848846,870.813138886,819.833979596,825.5208336620002,775.3905933800002,680.6421753100001,547.6580906080001,470.068512554,391.83913726,337.28485968,276.68218847400004,258.355168826,243.78595766,235.58865376000003,230.7130386,238.92614056000002,249.176982,263.29955028000006,262.79718706,267.914534,261.83069344,260.3157347,244.687391252,241.184794852,237.026103652,244.313650652,234.3102973,233.94965286800002,235.235741538,246.350614258,254.52040637800002,274.20005009,308.41884427,332.84271598000004,357.83785104000003,389.15078996000005,405.26166232,432.84055520000004,456.57362930000005,475.41680236,457.57425128000006,479.76197436,446.35845872000004,413.84016478,359.9650148,336.75726138,283.67212506,255.92916802000002,233.39688660000002,225.23176962000002,205.48735198000003,197.82251772000004,195.87408404,202.96080046,201.76487707799998,201.41845475800002,196.38728787600002,188.048987536,162.635198674,152.338122416,138.857155256,119.458955682,102.088634162,83.8949455856774,57.56030676567741,41.3845956336774,28.462171589677403,15.000538623677402,11.153627310000001,9.20862777,7.139177802000001,6.693325462,7.216191535999999,7.490677388,10.086995888,8.491290428,7.797659808,6.62256232,5.7079164,2.84118186,3.23872608,3.2676671200000005,2.8459324930960004,1.578375393096,0.8613956130960001,NB
Waterloo,1292.3587808634945,1.2425053940000002,3.9654484162000005,5.468717608698611,8.084979036698613,10.02462721429861,11.108430642298613,12.323354904098613,13.3226520676,15.3196933096,18.201039364000003,20.188508441999996,21.847129397999996,25.73850815,27.379822602,27.578621706000007,26.984485382,23.883817332000003,20.248856992,15.774177550000003,12.235993603999999,10.3413534452,9.385500365199999,8.099739343200001,7.757797693200001,7.833341917200001,7.7142358400000015,7.318572664,7.585915552000001,7.967232021999999,8.542219022000001,8.554705358000001,9.24035682,9.289192598000001,9.287008918000002,8.77508646,9.046333592,9.152120482,9.862150458,10.192345165999999,11.170320425399998,11.1591656054,12.1730641762,13.512777406399998,15.843716094400001,17.316198004999997,19.019842941000004,22.689042000199997,25.7293006,30.836833252000005,32.243975416000005,37.84472413340001,37.35368112140001,38.4287506874,33.424035031,33.6894195678,27.5877503344,24.207653770400004,19.074900808459997,15.853904939460001,11.73038368126,9.573086672059999,8.43034455766,6.4949377816,7.3544044483999995,6.8428010538000015,7.449816049600001,6.923795017800001,7.999778779800001,6.866783220120001,7.034677837120001,7.00503713012,7.22535130712,6.70739493792,6.937680688930071,6.7608475293300705,6.50444638173007,8.236381730930072,8.38332625213007,11.791930331399998,13.075334560000002,15.778904140000002,14.6033159,17.067040920000004,14.057233900000002,13.612312798,9.568530504246286,7.712932024246286,4.445609044246286,7.965793664246287,7.607504866246287,10.526714980000001,11.509259740000003,11.0826681972,5.849775116340001,4.270441956340001,1.3465700163399998,NB
Wembley Park,4292.113948269998,0.140445236,0.43564503600000004,1.431507936,2.916626966,5.084014046,6.608385930000001,10.93936243,16.91804973,21.9748823,29.497540620000002,34.9058865,40.960064,44.8112432,46.193035400000014,40.7986432,38.6985708,31.700490260000002,25.102310460000005,20.43871686,20.49252972,19.10976992,18.595106060000003,18.67570046,19.55495446,19.332293800000002,20.349732300000003,21.7498625,22.8760259,24.4898467,26.9159763,29.336495,32.4016864,34.460139000000005,36.8442366,39.19688120000001,42.7505242,45.472697800000006,48.7931982,51.460357200000004,55.390240999999996,63.70103680000001,71.46596020000001,83.8426046,97.49974,110.7191806,112.41807780000002,121.021466,128.0372424,141.9814386,150.7538902,167.98240479999998,171.87361420000002,177.53241300000002,171.3406296,157.607802,140.6645572,124.79297160000002,104.435239,85.27550980000001,74.7823996,65.7660816,59.426914659999994,54.40647018,48.47537326,47.24284506000001,41.929429000000006,43.351550599999996,40.805260880000006,43.46433579999999,42.47909799999999,43.17482494000001,41.788767179999994,39.72977108000001,37.275650760000005,29.358946560000003,24.756707400000003,21.2008087,16.374309007999997,9.237455348,8.770507748,6.129860228,1.2458220279999999,0.19130462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
