Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,5410.671663541001,0.6848289200000002,1.3136096222,3.5054467222000003,6.4105851422,10.113343072200001,12.5949459922,19.536858430000002,26.65645515,40.25217873,56.0690168,75.36917032,87.63842572000001,95.20970059999999,88.92324724000001,78.62111584,63.9939479,51.57551796,42.5705737,40.01930886,37.325893064,35.575043812000004,34.338185852,32.859943312,31.338585711999997,31.747237408000004,32.7510999,33.8936469,35.70563526,37.12698736,39.10414826,41.3243262,42.73571246,44.65328452,46.54005088,47.82116808,49.35497448,52.93189872,55.441256280000005,64.33703482000001,71.02604611999999,77.03089402,84.21266754,99.15856506000002,105.11434266,122.17019716,133.11780190000002,143.24241640000002,141.58234872,153.78899812,151.11639336000002,158.79263812000002,158.83436536000002,169.6705231,162.29680066,157.38366570000002,141.3449759,131.317808536,110.28992365600001,100.044431496,91.057773156,86.218035076,80.33290624,76.97393937999999,73.01706118,68.70104374,66.54378478,65.94775708,70.61098842,73.03457618000002,71.92211436000001,69.75217120800001,69.474209228,61.074670708,51.592141388,42.578910488000005,35.96917418,24.80834666,16.17107812,8.29800228,5.3762661000000005,1.7165200000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Bond Street,10377.931520920001,0.0,5.19801414,11.61830268,23.36880634,36.76823694,58.45968454,77.00694860000002,99.05498926000001,114.65170660000001,131.8676892,140.5330662,151.40878460000002,153.1162858,150.94611100000003,135.2371766,124.25134259999999,103.2180496,86.74002200000001,74.2888451,72.41675260000001,66.9001459,66.45895560000001,64.81713294000001,65.76359804,65.44666214,63.970128040000006,62.09000154,64.5370784,66.0052089,68.8678835,71.3571155,77.2058465,79.14989110000002,82.1742004,83.24038107999999,91.00686108,93.47072048000001,98.44737988,105.20234552,123.09793504000001,131.67763824,144.33572483999998,169.89369424,186.8929642,205.47954580000004,230.7463454,263.86366480000004,295.161591,318.230539,342.0448332,357.94462400000003,365.02793220000007,346.2031284,333.6511616,299.2902851,266.79802646,228.44186654,204.61132727999998,185.95463808000002,177.47000098,167.76493682,161.12050314,161.95496000000003,157.08512110000004,149.6823265,147.00566056,149.55939913999998,143.88137684,141.07327862,132.37119865999998,117.86997412,100.35568141999998,81.21119519999999,61.136345914,48.870261884,38.537016464,26.824211044000002,15.187949164,9.16143377,3.4351349600000005,0.7637382600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Canada Water,11801.605205300002,0.0,12.707247200000001,28.608473800000002,56.219617200000016,85.41996600000003,129.5376074,167.82572760000002,211.90739059999999,255.9788352,302.17248939999996,342.9235620000001,371.2769466,382.019281,367.9093610000001,352.61655400000006,319.38882739999997,286.7518694,259.6068994,235.2987048,208.5141326,185.23698320000005,166.0310692,153.27752660000002,150.6450174,143.53477560000002,140.5051286,142.37004380000002,140.3815612,139.2284278,141.2769844,143.66838280000002,144.3303048,143.08532680000002,141.76932000000002,141.7150798,143.628124,141.5495406,140.912786,146.96501999999998,153.0241176,159.064444,168.961555,185.6045418,192.3768572,203.87672120000005,205.84141120000004,215.61163740000003,220.8660384,234.96787600000002,235.53330499999998,245.70009100000001,242.08930400000003,237.523324,212.9581742,193.9743196,168.8858396,145.3250428,116.61057400000001,100.97300419999999,87.5395978,79.0254918,69.606798,65.3962692,62.246370999999996,58.8380822,51.6728298,48.7481416,46.105976999999996,41.480230399999996,36.0735881,35.4349637,31.22693902,25.53440536,19.69699872,16.21132776,9.80735456,5.908874040000001,2.8806659000000003,1.60722594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Canning Town,14419.006254630003,15.573240579999998,45.15428642,87.98949162000001,117.78524962,172.7481645,218.98321536,251.16033632,259.50175532000003,288.58127052,303.9905452400001,328.40811512000005,333.20538112,359.97075512000004,368.14994892000004,358.02328100000005,324.444668,301.0240156,266.39347732000004,237.23843792000002,208.30430852,193.06241472,183.33020091999998,174.722797,169.45839790000002,170.0009463,169.4966031,176.74014949999997,173.56488776,175.32511306,170.59125646000004,177.11823706000004,169.48377158,177.15013742,179.69341642,195.91277642000003,193.59385862,202.2256789,206.11741128,224.68636008,232.97757747999998,249.60141788000004,261.00676268000007,281.4383012,275.525575,287.2856954,297.246688,315.1532042,308.75491999999997,322.44628,316.78791939999996,308.0614834,274.0360827,258.8986667800001,228.40115138000004,201.07518538000002,173.34082784000003,160.38413734,137.94167476,125.28670856000002,107.59677256,101.15209004,93.39172178000001,91.40075547999999,82.78885116000001,78.56003906,67.10014059,61.70507053,53.94914665,50.741257090000005,47.10641107,43.70757444,40.50014198,37.30961422,35.30006454,29.645525000000003,23.70938796,16.09902114,9.49617078,3.1918805400000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Finchley Road,3709.2834694108587,0.0,0.536986957684,1.118403396772,1.617373992172,4.210940806172,7.395556086172,12.495558528488,20.4139040894,30.597960294000004,41.56312468,50.41499400000001,56.66057500000001,58.322300000000006,57.88107260000001,51.138492,44.48237280000001,36.568049,31.76535,25.449299800000002,23.047246460000004,20.46180646,20.35387136,18.24032236,18.77167222,18.514226720000003,20.144305720000002,20.634377420000003,23.228096220000005,24.19803696,25.5557484,26.854536799999998,29.1866069,30.0817777,30.976438039999998,31.519695760000005,32.763168560000004,33.82700774,36.1850172,40.25907326,42.805455460000005,48.98567766,54.19750058,56.65390432,69.14119412000001,79.83580880000002,87.29866000000003,99.6890011,119.8539005,129.2350107,142.5109275,153.01898950000006,159.242372,154.77893927999997,150.37429314,136.97489374,126.94431433999999,106.86210782,91.12769566,72.0961562,62.74864616,53.25764206,48.891819952,44.850130692,43.331831372,40.20768905199999,35.377228092,34.597497600000004,33.32507913999999,31.770532980000002,29.824381140000003,27.193857986,23.790488996,19.309281215999995,14.645732428000002,10.075674258000003,7.031369860000001,4.322872928000001,2.6025921080000005,1.5110157760000005,1.3237429459999999,0.232213958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Green Park,11982.085501099999,1.85977272,7.70724066,18.01145464,39.74779954,60.457138500000006,80.87323934,104.94718394,132.27603696,155.26439006,182.4614587,215.91489214,251.81728120000002,274.86356760000007,275.72507500000006,263.19557960000003,239.05840419999998,202.698532,168.73181426,147.22074326,134.42777698,126.30113058,119.01734518,109.08877672000001,104.23640060000001,104.49183828,98.93650768000002,94.45605848000001,100.13645268,106.75156140000001,105.7013666,109.147859,116.86680999999999,121.04781300000002,119.82413879999999,118.34226246000001,123.12679646,125.32054965999998,123.37506306,129.26100566,144.11183880000002,148.01794040000001,163.79226769999997,182.6451165,211.5004576,236.37767800000003,267.217059,293.1302653,327.7208723,342.53358380000003,349.28489940000003,355.70518560000005,351.4676226000001,332.8259704,311.5769594,288.8229228,255.26568060000002,220.3096655,185.4560691,155.08615410000002,133.67186850000002,123.4874917,114.12541026000001,107.03836706000001,108.35873206000002,109.55915434,103.35941434000001,106.12400828000001,109.87178958000001,109.33740998,106.3610025,107.09161350000001,94.9937403,84.44168198,70.68703304,55.33490018,40.37387712,29.64311916,18.88625438,9.30565592,3.8154145799999997,0.6802358399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
London Bridge,2172.78546595,0.1948969,0.38727828,2.7962735400000005,4.16826364,6.780438799999999,9.9959251,13.573321060000001,16.9740798,20.177284720000003,21.72884496,24.894076760000004,29.31322282,34.32337702,39.748603800000005,42.887180799999996,44.491123,43.514251400000006,42.234998399999995,40.33864679999999,39.9289684,38.9660104,37.5029064,33.453737000000004,31.086034600000005,30.055288800000003,27.9621816,27.4545556,27.193196999999998,28.0034372,27.992993600000005,29.733130600000003,30.6802196,31.8878202,31.088096400000005,31.102616400000002,29.617069299999997,29.870625699999998,28.5078641,28.886720699999998,29.7845701,32.57580420000001,35.17451960000001,37.587975000000014,41.752015400000005,42.734227000000004,47.061910999999995,46.4620776,54.5785884,52.3985628,58.0976804,52.4465896,54.853556999999995,45.3777738,44.800305800000004,37.291834200000004,36.30725610000001,31.4038753,29.325634300000004,26.7954241,24.8422737,22.361738459999998,19.54228096,18.52570996,16.82277904,16.29074044,17.22533038,17.84260234,18.25407034,17.85877206,17.4493708,15.02441192,13.213479920000001,11.369368360000001,9.451134360000001,7.27192898,5.699637870000002,3.7683196100000007,2.1666259700000006,1.18101177,0.3181358100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Stratford,20927.41255414668,27.58265095053,86.02537460653001,126.76529849453001,185.93177675453,318.97415653453,399.496740152,476.784113364,550.603090838,643.2187013800001,621.5581931959999,665.3923926946001,721.5161587066001,789.5345493306,757.7577840886,759.554613110586,704.176917319906,593.314313919906,460.438630108366,386.275280232366,309.95191633438,259.58232020046,211.16807307046,196.32726120600003,186.513756868,180.754411288,174.249501856,178.501817366,177.40175943600002,180.660208264,175.35799782400002,184.70532993400002,185.12245945400002,190.82384991,183.07862096800002,187.12029078800003,183.57483298800003,191.576453288,182.70270773200002,180.95225172,176.93803826,185.16384752,187.47535946000002,208.50586226000001,251.98488730000003,285.09862818000005,320.17752716,366.52344618,392.11546068,423.89736256000003,450.86499238000005,468.54349524,437.16044972000003,435.9694580800001,376.13410038000006,316.2513057,245.12260898000002,210.08671827199998,155.71442720000002,134.54688662,125.033533396,123.87742765600001,118.075013794,122.61326610600001,129.709967766,140.95996247000002,145.80950494200002,145.151037892,136.630933354,122.89388420200001,95.755663432,78.164249804,66.478789873498,53.6417541741392,41.6931856321392,34.48225655308146,21.569743909081463,12.229512339583462,7.400782396942261,1.94043657094226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.649126400000001e-05,7.649126400000001e-05,7.649126400000001e-05,NB
Waterloo,962.743860878666,1.1279322760000001,3.835438866000001,5.184122882400001,7.979532068400001,9.6063877564,10.8587395296,12.216174497999999,13.615231343600001,16.5645490596,19.698998771599996,23.055130874399996,26.574996216000002,30.758361649200005,32.085978413199996,32.4755879832,29.9247429546,24.380279288600004,19.6490504354,14.0166455934,10.140744383400001,8.43862731,7.5338676206,6.649735536600001,6.534402240600001,6.4604029466,6.6492918814,6.6616496208,7.108705252000001,7.402051088,7.948037544,7.599127123200001,8.058521791199999,7.916164747999998,7.906781198000001,7.62330255,8.261227158,8.530453712,9.1909842,9.740055278,10.253745484000001,9.937546059999999,10.551173944799999,12.3044211516,14.472115219600003,16.1904089216,17.7508007956,21.125046045400005,23.472839216799997,25.854321139800003,26.478289621400002,28.481331419400004,26.7326540332,25.137535492,21.876215489,22.1844315228,19.9038864562,17.5777287814,14.737215129400001,12.4604682774,9.5095402,7.336204725000001,7.210806289400001,6.124198244,6.890153334,6.193084450000001,7.0129488674,6.1607941642,6.590081932600001,5.305122172000001,5.051852214799999,4.167599566400001,4.0348547056,3.2170953048,2.9348163535978804,2.5524809527978802,2.0436351785331843,1.3643325985331844,0.8930296573331843,0.5255652511353041,0.18147687313530403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Wembley Park,4595.054698199999,0.19778015000000002,0.5678425899999999,1.492943904,3.192080898,5.7348817180000005,7.432483307999999,11.722911068,17.953746554,23.42394156,31.878457140000002,37.7544484,45.136630600000004,50.03756940000001,50.2614066,43.8337778,40.891963200000006,32.7960938,24.936567600000004,20.4799064,20.6205674,19.658362599999997,18.918932,18.576649599999996,19.354847720000002,19.69772662,19.851501139999996,21.06801944,22.33745434,24.84075782,25.334354920000003,26.936515999999997,30.1300537,32.224714,33.9890546,35.9660564,39.494046000000004,42.0564212,45.2911716,47.779239200000006,52.025445600000005,60.68334960000001,68.5397604,79.3391158,94.520873,112.6099506,116.20625800000002,128.89208200000002,144.3622676,166.1719946,181.757617,211.23447359999994,224.6156568,234.1240092,227.79460179999998,205.19636660000006,180.59679260000001,154.14488619999997,124.29957207999999,95.26878948000002,84.42511248,71.39292988000001,62.07600936,59.07251274,55.329095599999995,51.94501407999999,44.39176088000001,42.40364534,34.07517774,32.223647799999995,29.46428264,29.02603998,27.98432824,26.34835,22.3106037,16.67906463,12.402885249999999,7.718259510000001,4.539117482,2.070098862,1.8422640120000002,0.859349052,0.23940739200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
