Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,7823.138407600001,3.4157306000000007,4.15769032,6.10048132,7.324381720000001,8.37458632,8.54811292,9.9410184,10.369179199999998,11.484931199999998,11.764941699999998,12.7895401,14.4706329,16.5442943,18.5050179,20.452385999999997,23.0691728,25.961155400000006,28.496525800000004,31.671207400000004,35.469378999999996,39.3966142,42.38309260000001,44.640809,48.44715220000001,53.05090820000001,56.9801374,62.0973804,66.50739920000001,72.766554,80.308128,87.18222759999999,94.00095759999999,101.9341488,107.75736780000001,109.51939660000002,112.3191298,113.71809980000002,117.7808118,118.9543058,124.17722500000002,127.24863300000001,134.146081,140.357787,151.241998,159.288824,169.499312,173.294154,179.469564,182.497336,183.53357600000004,182.02062400000003,182.326508,179.353858,173.575922,168.14556000000002,170.49865200000005,169.58296,165.65968,161.57511,157.706006,146.79505999999995,138.21417200000002,133.764566,131.13084600000002,132.73062600000003,133.002474,143.759622,158.98098000000005,171.41429000000005,165.45184920000003,165.58169719999998,156.52269720000004,133.89272520000003,119.0841712,110.15523000000002,91.963918,76.22758400000002,61.006956,39.296035,28.566078000000005,20.8391922,13.06446,9.770458840000002,9.897994440000002,8.139231380000002,8.053540100000001,5.335502300000001,4.573543460000002,3.633863920000001,3.74039794,3.54761222,5.19133742,5.35191122,4.73982406,3.1760261,2.6875789,NB
Bermondsey,6807.886102380001,2.58874232,4.78909532,7.67483032,12.11836142,18.727694600000003,23.7398438,28.943259800000003,33.8227302,38.2367744,39.184874799999996,44.83828280000001,52.916439800000006,60.92103240000001,65.27600100000001,73.2699814,80.73643200000002,86.073542,88.30369400000002,95.221905,101.0281022,101.40278020000001,101.6530954,107.33604740000001,111.4687844,115.1650464,118.64636200000001,121.84651880000001,123.6727668,123.3444468,120.9983348,122.57078600000001,122.61652,122.95109599999999,123.257769,126.035095,125.85888899999999,124.233267,119.12092900000002,115.39425520000002,111.9143132,110.7192852,109.33441119999999,111.4123512,112.26978000000001,111.41148800000002,109.40266399999999,113.289452,130.41283800000002,148.944778,158.52257400000005,165.67271400000004,168.091794,157.69916400000002,143.379734,137.01022,129.51353200000003,120.23873800000004,109.52013000000002,97.822374,86.09248200000002,77.07528520000002,70.36239760000001,63.919380800000006,58.01398420000001,54.15118020000001,49.9545036,47.9064362,45.34514779999999,46.507951399999996,49.49187020000001,52.678594200000006,52.15710980000001,51.43963900000001,45.651534399999996,40.196143600000006,34.11489400000001,26.5142854,17.9197609,15.6506111,9.470144780000002,6.05465886,4.971004400000001,5.7799247000000005,4.43740106,4.56033002,3.09982322,2.73070568,2.03783624,2.27597716,1.7510286400000004,2.4286582800000005,2.6349395600000003,2.7367000000000004,2.1464029200000003,1.8994248,1.16120688,NB
Bond Street,15122.919624960003,6.80478894,9.01255374,13.66001574,16.77460254,20.6156532,24.741403,29.622730200000003,34.508527799999996,35.066651,38.3820336,42.496543599999995,47.7859222,49.7997314,54.510048399999995,58.80230279999999,62.797170799999996,66.18448020000001,68.34356140000001,67.11259240000001,69.19405400000001,71.882898,72.72463,74.938574,81.907674,93.545666,102.2631028,114.8285888,126.9684128,137.22857679999998,140.72720280000001,156.23188000000005,165.608002,179.74034200000003,194.202358,209.152476,212.70588999999998,223.256862,226.35130400000003,234.301362,244.244662,257.09074200000003,268.311798,281.98962400000005,290.941834,301.60976000000005,310.581598,320.71841,336.01417999999995,353.84506400000004,358.782276,365.47741,368.58329,367.535482,363.321134,369.765318,362.284998,342.373446,318.961434,298.706294,272.480522,256.501394,246.910116,246.97294,236.93471600000004,233.030804,225.03472000000002,221.156598,212.344064,214.89067400000002,219.607082,221.64056200000002,228.93463599999998,213.16325,207.195846,175.54659800000005,150.54476600000004,118.34902800000003,116.69111200000002,101.20072200000004,94.487188,93.877186,87.77473100000002,83.868769,70.8389658,76.4662478,59.44352960000001,50.2647606,30.5492586,34.218217800000005,23.7230092,34.266268200000006,37.7885652,44.2337724,31.289062800000004,23.066677399999996,11.713342599999999,NB
Canada Water,23230.78297514002,8.2650936,17.602446399999998,40.30674320000001,56.5560952,75.35280060000002,97.55271360000002,118.48334880000002,132.969674,145.969336,161.76306599999998,177.69157800000005,197.972076,208.063132,233.555304,256.153774,293.384944,312.528402,327.332824,340.326306,360.17348599999997,362.029644,373.885368,402.970408,428.709916,442.849746,452.494204,461.44254400000005,473.055384,470.06595599999997,464.547858,470.59977599999996,470.125188,463.75163800000007,458.54837000000015,461.21211000000005,455.57125800000006,451.09949000000006,430.682096,419.90076799999997,410.28931200000005,402.27578200000005,388.9108700000001,391.660924,403.80842200000006,412.630186,410.032016,414.309006,429.183476,444.982738,443.865246,450.21429000000006,452.22485,440.11495,411.90923,390.16175,369.511638,347.960522,317.27499000000006,288.413696,260.921106,235.08063399999998,212.582284,192.302836,174.66541800000005,163.23766,153.95627199999998,153.108252,162.67676799999998,169.529296,173.75944600000003,180.689232,177.13212600000003,167.19783,150.60899920000003,128.75539260000002,99.64550359999998,73.877954,44.8842894,28.9461966,18.295607399999998,14.772330200000004,11.839984199999998,13.3419546,10.336873720000002,9.95614152,6.80786138,5.4900589800000015,4.16032098,4.32021686,3.93519314,4.6681462,5.2600678,5.796704,5.21979888,4.4505606,3.29489988,NB
Canary Wharf,23599.100431779996,10.151758340000002,17.80496034,26.89031954,42.01947379999999,51.46154900000001,61.5266074,74.5558814,90.5409982,98.771593,108.596959,118.456942,128.76774,140.48681200000001,156.59913999999998,181.693332,214.774286,239.860346,260.580594,283.720234,308.0103420000001,328.793312,348.5229500000001,371.46811400000007,391.743522,410.65602800000005,421.18313200000006,432.4611840000002,445.01388400000013,453.68043,452.420742,462.588108,468.84371,468.11749000000003,466.338784,467.220646,455.32380000000006,451.48788200000007,446.86009800000005,446.58883800000007,442.88089,446.449246,449.196828,452.773646,456.029038,461.135508,459.98487800000004,467.58016,476.960116,478.032474,477.56490199999996,481.257616,476.07005599999997,466.97110599999996,465.739996,450.895872,423.912064,387.671176,349.94417999999996,309.133328,281.6202340000001,259.229468,239.51807600000004,227.826652,211.19650400000003,197.51051200000003,189.15764400000003,190.46628600000003,187.324722,183.47587,187.394752,189.74948600000005,185.441196,181.04693000000003,167.13599520000002,155.6153132,132.0765122,109.16435619999999,85.5713322,71.12274559999999,53.52926160000001,40.06772900000001,32.990337000000004,24.4464812,25.494418600000003,15.9184984,14.642137599999998,8.921601599999997,10.3138472,6.40495,7.5371958,7.619461200000001,10.1391522,6.629873739999999,7.588410739999999,5.62611514,4.82077214,NB
Canning Town,24064.9317477,39.70144000000001,65.50892200000001,101.233076,137.723646,176.98795600000003,205.73410600000003,235.200924,251.4927,257.21068399999996,253.536588,264.23089400000003,263.74206200000003,266.27643200000006,274.04705800000005,291.429318,311.294122,326.07232,342.90973399999996,362.83847600000007,384.280616,388.866632,403.12316200000015,413.39246,426.07460800000007,424.20476800000006,429.78882,431.98195999999996,445.044308,446.032928,449.877104,456.400358,464.349016,455.652476,450.55096400000014,445.02681800000005,443.55612800000006,441.50024400000007,444.765004,440.471144,447.561066,440.55065,430.09724000000006,422.07899,425.77673799999997,415.461992,414.511772,415.678102,417.72927999999996,411.88678799999997,414.55089399999997,411.385994,411.67881,412.95815600000003,410.292696,391.629264,370.760476,337.448414,297.17093,260.62476200000003,234.535548,207.240894,188.164954,170.831656,159.35718400000005,147.81158200000004,145.36192400000004,140.08390200000002,144.902982,141.41338000000005,145.179222,132.319468,127.44579000000002,120.88499399999999,108.68513000000002,89.8361694,82.30527640000001,67.9256998,45.044825,35.9246722,27.7280146,21.390203000000003,19.1923796,22.075127800000004,20.3406494,19.5495396,16.46422354,17.40682734,16.46003174,17.72828914,18.849533940000004,22.452092600000004,23.8314176,25.1826752,27.446949800000002,23.086226999999997,18.549323,NB
Canons Park,43.627399055500014,0.0,0.0,0.0,0.02685482,0.08522843999999999,0.11276509199999997,0.129061824,0.167549586,0.200495814,0.142122194,0.18847317,0.22972015,0.274389414,0.3023459900000001,0.4962340100000001,0.5399113420000001,0.587144536,0.553457112,0.64472068,0.595492108,0.586896428,0.551450846,0.719702744,0.6511624720000001,0.830525324,0.750134552,0.745620948,0.682392288,0.61806136,0.4251433200000001,0.467545772,0.45022334,0.6231006400000001,0.786103928,0.7824441879999999,0.7994884520000001,0.8533455940000001,0.582925248,0.40359725,0.322191388,0.442809664,0.43760901,0.5881336560000001,0.7763546140000002,0.927833556,0.8546734280000001,1.1392964920000002,1.454105232,1.541151372,1.5844982719999998,1.68480418,1.45151747,1.23747995,1.131900458,1.0407719579999999,0.8745417640000002,0.9547552340000002,0.744147048,0.66465088,0.627793786,0.5582347000000001,0.35215121600000004,0.348524388,0.34583662200000004,0.25082034880000004,0.3699001408000001,0.3825939568,0.4025939708,0.3304671768,0.338715372,0.29700988,0.28247069399999997,0.19595042399999998,0.188348834,0.16223800600000002,0.09016531859999999,0.15079097260000002,0.1271176336,0.0915091963,0.0915091963,0.08620758369999999,0.0127196703,0.015813105900000003,0.0178696586,0.021918344,0.021918344,0.0150078574,0.0080973708,0.0040486854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Dollis Hill,753.2545720438001,0.228448696,0.6096842560000001,1.262124656,2.345833206,3.0928942139999998,4.209943,5.03509058,5.69925346,6.22342076,6.80562206,7.26839566,8.283256920000001,8.90582524,8.78569854,9.902150599999999,11.1820076,11.482437399999998,12.0832028,12.992587599999998,12.854287800000002,11.9317568,10.73940494,10.44534854,10.77162874,10.82203354,11.13963114,12.494518199999998,12.377368400000002,12.0744864,12.7622102,13.2697802,13.7851168,15.136250599999999,15.8613364,15.4554014,15.975114,15.4185588,15.0010233,14.3290809,14.725906100000005,13.9307597,13.7048795,13.4583778,13.256405599999999,12.824023000000002,12.8372605,12.5874589,12.6967065,12.5972321,12.4747661,12.1697246,13.157531599999999,12.518334800000002,12.942721400000002,12.453948000000002,12.1810514,10.6858144,10.151895800000002,9.2177368,9.062437599999999,9.219042199999999,9.973139199999999,9.5582554,8.73643208,8.189934880000001,7.13612638,6.064717980000001,5.60712638,5.41897502,4.67656788,4.4284365,3.66870738,3.2161671000000003,3.02932748,2.60006932,1.862173994,1.801083674,1.4822714740000005,1.0949986340000002,1.064208814,0.993247,0.5016319600000001,0.54684094,0.5407915879999999,0.5756978680000001,0.5383253880000001,0.5081922680000001,0.3548515680000001,0.23989066000000006,0.16672288000000002,0.145001522,0.1488667786,0.1642573118,0.1890540318,0.0921994518,0.04405250980000001,NB
Finchley Road,3525.2393918380017,0.452801986,0.525970126,1.8881749260000005,2.649784546,3.8085224739999997,5.46836134,7.508487799999998,8.547396800000001,9.7285338,11.1889614,12.1203648,14.690054800000002,16.8920816,19.2131566,22.025975,25.604704800000004,26.817350200000003,29.616134400000004,31.982180600000003,34.34274300000001,36.2865868,39.19271079999999,40.64801800000001,42.568780600000004,43.8057376,44.441,46.268592,49.345302399999994,52.64454940000001,54.4353306,55.6491954,55.55225060000001,55.694637199999995,56.374150199999995,58.595325,61.3813402,62.8990764,62.8680622,62.0150652,60.15330060000001,58.83345580000001,58.07549760000001,57.62370080000001,59.7242618,63.7682932,67.812444,69.88112280000001,76.2333748,77.7868398,76.9676962,74.23861620000002,74.49430020000001,71.4101902,70.1616192,69.243788,67.3824754,65.22956479999999,62.1388568,61.174412800000006,60.55197760000001,59.7065934,59.029202399999996,57.30956120000001,53.46452320000001,49.6666664,48.6501032,47.884633799999996,48.2893716,46.965399600000005,48.909045000000006,46.8359202,45.8589442,45.437871,40.034199799999996,32.244168,29.694742400000006,25.1379274,15.580046180000002,14.05391508,11.11207174,7.507076060000001,3.157815894,3.2129712140000004,2.1579257940000005,2.4295982940000003,2.028975874,1.89125604,1.3590065400000002,1.47007996,1.04111406,0.7480871600000001,0.855047874,1.060882434,0.8137616540000001,0.6437107940000001,0.373936194,NB
Green Park,17196.112050900003,10.9397752,15.7587172,20.0343368,24.6024582,28.625241800000005,35.449575,42.337677,52.660835399999996,57.14656660000001,64.8381536,64.90789300000002,68.14326700000001,72.553999,76.82900500000002,80.5709392,93.8823224,101.9262384,103.61630040000001,108.09272040000002,115.6759172,118.207628,125.317376,136.81493,144.32586400000002,150.634928,159.402104,166.216248,168.281582,178.348202,187.647554,198.888046,211.344312,227.77479,237.752866,247.56187600000004,256.48427599999997,258.79294400000003,260.262066,263.47727000000003,275.171868,284.37962799999997,300.646768,316.419736,334.284704,346.39239399999997,358.50639400000006,364.85235,382.56422799999996,396.69984,408.275674,413.70846800000004,417.761178,414.422872,403.40258000000006,389.58018799999996,370.24627799999996,352.7656120000001,326.883702,301.8408560000001,279.951496,261.895052,241.77551400000004,228.41320000000005,217.989642,210.53337600000003,208.25059600000003,215.42793799999998,222.29639,238.78102400000003,249.72378799999998,258.915014,242.18225,236.97810800000002,229.04350600000004,205.34511200000003,178.13680720000005,177.8247132,138.84044719999997,108.94595620000004,86.79546219999997,79.5039262,56.274497399999994,67.0519314,57.342676399999995,64.2617216,48.42506306000001,40.78124586000001,24.25939186,30.94263186,22.15230586,30.008604800000004,33.984521799999996,40.05410120000001,29.89969360000001,23.430336399999998,14.761890800000002,NB
Kilburn,1166.8325291299993,0.861691628,1.115449868,1.7811660480000002,2.3759285080000003,2.6378475480000003,2.71440683,3.29009253,3.76256585,4.25469677,4.76757993,5.94529356,6.5550054200000005,7.17742822,7.6109911000000015,8.5167061,9.2301029,10.117119699999998,10.7911521,11.2314693,11.3362385,11.8177613,12.7458447,13.6157536,14.4061688,16.237332600000002,17.395737200000006,17.869748200000004,18.2538794,20.097412400000003,19.4267956,21.1101026,22.089284600000006,23.3903958,22.4090024,23.985061600000005,22.959154,22.624005,21.954242999999998,21.141567,20.062759600000003,19.537163,18.484141,18.162977400000006,19.002438400000006,19.703973,20.636281600000004,21.9201892,22.814199400000003,23.101026,22.6509868,22.3325142,22.750156600000004,22.856555000000004,23.18678,22.6220072,21.7566868,20.0618896,17.688351,16.199957400000002,15.490413199999999,14.716695199999998,13.640112799999999,13.4198498,13.100487400000002,12.182425000000002,11.6159266,12.980823,13.2472218,12.915973199999998,13.7584592,13.107324400000001,12.441301400000002,12.3417436,12.795826199999999,11.067865800000002,11.0351027,9.859226099999999,7.895329500000001,5.266423940000001,4.9124036800000015,3.67672358,2.58054624,2.14542932,2.65936212,2.12826568,2.22191708,1.54564922,1.3723443400000002,0.6708929,0.68884378,0.40073858,0.60831928,0.7547585400000001,1.0336073,0.7881125200000001,0.63286872,NB
Kingsbury,375.5819418892572,0.15882418325912698,0.6971906832591271,1.0412683432591272,1.4209232960000002,1.6311110860000002,1.7404066260000004,1.579893706,1.6106200860000002,1.5537052059999998,1.6048598260000002,1.9704638200000004,2.1460442800000004,2.71136024,2.87589916,3.61980098,3.63872856,4.02308186,4.22678846,4.6527391200000014,4.735991800000001,5.2814232200000015,5.409581600000001,5.664043599999999,6.1302870600000015,6.61623078,6.7584489,6.7064167800000005,6.672102460000001,6.275897140000001,5.58017806,5.116188600000001,5.8021946,5.7283814600000005,7.06141586,8.129455140000001,9.91045204,10.24055924,10.859027700000002,9.719012,9.7348422,8.5135115,8.270544500000002,7.5191286999999996,7.767670000000002,6.7093311400000015,6.5979760800000005,5.940145280000001,6.3872412800000005,6.5082756800000015,7.76954454,7.62894854,7.98560254,8.11073514,8.16538414,6.8922080800000005,6.948321140000003,6.25376954,5.6328229400000005,4.7053074000000015,4.8688902,4.148595040000001,4.1849976400000015,3.3818835000000003,3.4297050400000004,2.56500094,2.9457717,2.48055454,2.7909602000000002,2.20740283,2.33988393,1.95526673,2.05947167,1.70241883,1.73934416,1.510370626,1.208285146,0.759548332,0.54532751,0.450378446,0.43878448,0.3452883,0.388507814,0.381441614,0.38396421399999997,0.23884137140000006,0.2363610054,0.17515652539999998,0.1377090674,0.0559503714,0.055965860400000005,0.0095265722,0.026195296200000003,0.02666002254,0.02714750058,0.02045601418,0.017620928379999998,NB
London Bridge,43216.898714920004,6.3096002,12.4425502,21.246899,37.6094368,52.10904020000001,68.9761316,85.10625759999999,105.8700888,121.265194,137.027148,152.14577200000005,179.691058,198.347012,219.59284399999999,247.807156,304.2196800000001,338.66173399999997,374.051004,406.781246,446.81817199999995,456.9558980000001,486.65188200000006,524.101308,582.286384,623.2758680000002,676.384442,719.097342,763.4635920000002,778.7716200000001,805.29217,824.2139500000002,855.3602780000001,874.3654260000002,900.4856460000002,907.95585,918.58769,909.559422,905.960814,894.0583939999999,901.896712,894.6781520000002,908.0047599999999,918.81772,931.90488,937.1155679999999,951.9194480000003,956.5074,957.77396,950.382848,945.2703680000003,920.0602680000003,883.8254880000002,844.6374880000002,823.0205940000003,783.2094940000002,744.0271940000001,694.9028139999999,649.5821740000001,589.706716,543.214776,508.27727,478.54153800000006,449.73991400000006,430.72853,404.19867999999997,383.28773600000005,377.70918400000005,393.49819800000006,411.875774,449.17036400000006,460.646474,451.007502,427.383792,372.53818600000005,296.1367340000001,238.11626200000003,195.038108,146.58825000000004,110.82334679999998,97.35136280000002,75.8186812,64.4017912,45.170468,50.743326399999994,35.3405372,33.072676,21.188216,25.7243292,15.255857,18.7690782,19.4773548,24.084979999999998,16.34656128,16.78130808,10.47361208,8.22791028,NB
Neasden,657.4522482324794,0.15717118646482742,0.8279528864648275,1.1118876264648274,2.205856577464828,2.5923023659999997,3.91239584,4.82391254,6.156637,6.8230102000000015,8.03161932,8.954022720000003,8.91179932,8.90712172,8.90624212,9.3466608,8.7016762,9.0569782,9.082934800000002,9.084785400000001,9.0649496,9.711139300000001,9.7333645,10.1824227,10.8537597,11.3752658,11.606411100000004,12.245087500000002,12.301984300000004,11.681076500000005,11.2629394,11.344464,11.6309054,12.591595800000002,13.6777652,14.5437014,14.7933198,15.1014856,14.251211799999998,13.2588962,12.4962434,12.237317,11.231587,11.3931712,11.455813999999998,11.8691962,11.2147414,12.2413194,11.6844866,12.795131800000002,11.7596956,12.4415688,11.556966200000002,12.4324906,11.114088699999998,11.827919099999999,10.57401362,9.5247409,8.2078435,7.567749320000001,6.30988472,5.654301340000001,4.98168992,4.375354120000001,4.27672188,4.54514376,4.59200256,4.7796704000000005,4.5970074,4.09013752,3.48164484,3.2850956000000004,2.87011738,2.48097006,2.37737786,1.99097676,1.61693694,1.44794835,1.27854933,0.92927406,0.6161908548,0.3920234108,0.22341807750000006,0.16294030110000002,0.14974256510000006,0.22300667830000004,0.16419117830000002,0.16384842160000002,0.15418313800000005,0.10512954400000002,0.04983213,0.111406138,0.11278768566,0.14374313366,0.1440743816,0.1094607876,0.032668243600000015,NB
North Greenwich,23122.383355200003,21.053674800000003,29.933664800000006,45.09535080000001,58.111644999999996,69.55020880000001,73.54720900000002,88.431601,97.74940500000001,104.950725,105.089846,109.87582900000001,113.21707099999999,115.81411899999999,123.109575,139.81942,155.77871800000003,167.23581000000001,176.839444,189.383486,199.43649,205.02094200000005,211.554826,227.76028599999998,240.46617200000003,252.53857200000004,267.63180800000004,278.686734,285.34639599999997,294.4805340000001,301.91421,302.627066,313.5678680000001,321.47115800000006,321.540684,325.203652,330.696162,327.028394,328.07162999999997,332.150454,335.07655200000005,338.973546,347.068218,353.936786,367.237398,385.417708,395.251268,400.379176,405.115754,402.126698,393.554152,395.891272,394.792952,391.306558,388.880662,372.84736,346.3076900000001,319.39572999999996,288.3740380000001,259.59608199999997,241.54612200000003,227.479154,214.19983399999998,206.36931000000004,196.21524200000005,181.96267000000003,171.704562,184.781608,221.86149600000005,320.43932000000007,508.850904,742.66473,862.4267140000003,947.9862500000003,881.0271560000001,728.840272,490.42268600000006,327.6277452,176.27434839999995,112.2282848,53.4321628,28.581567600000003,26.3442462,18.1348926,16.4800092,7.966659560000003,7.394169100000001,4.2298613,6.6894133,5.390306000000002,7.699515040000001,7.852425900000001,11.5007337,9.4393434,13.032202300000002,10.3643689,9.632629699999999,NB
Queensbury,126.29594379499996,0.2718647200000001,0.3906781,1.1833893,1.6678661,1.84958648,1.79841924,2.0371687400000003,1.5329071600000002,1.4715066000000003,1.5192157800000003,1.7469886000000003,1.7048113400000002,1.70540006,1.53294104,1.62845798,1.4353954800000002,1.4188116400000002,1.4297236800000002,1.47795118,1.65825142,1.74775366,1.78203616,1.90206668,1.91929524,1.6568032599999998,1.78810306,1.8328689,1.7475420000000002,1.6198571860000004,1.6505866059999998,1.4484807860000002,1.509243506,1.781440306,2.01534656,2.36283302,2.5634422800000003,2.8780995000000003,2.86542098,3.0441342999999996,2.92967916,3.23603454,2.80518302,2.5349152999999998,2.26542806,2.3302259800000003,1.96706408,2.15848598,2.4071252800000003,2.47569288,2.28485886,2.11840624,1.92190878,1.8075155400000005,1.8085842400000005,1.8455997000000004,1.8727619000000004,2.18027586,1.86448254,1.85384792,1.67431564,1.54860386,1.1945471800000005,1.2427333400000002,1.01141358,0.8351999040000001,0.8414736040000002,0.639472946,0.4602721080000001,0.3520243080000001,0.304715222,0.269330442,0.35694537200000004,0.5218108300000001,0.5320697780000001,0.6260427500000001,0.57338336,0.432796141,0.272443655,0.21122978700000006,0.10281699700000002,0.031682907,0.015855594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Southwark,3640.962930686801,0.12967766,2.3240272600000003,5.94294086,7.670977472000001,9.659588366,12.394620399999999,14.8437568,16.963723,20.262619,23.3020464,26.0518238,29.803969200000004,32.224773400000004,34.735851399999994,37.343210600000006,43.9935794,48.23255,47.06072800000001,48.1144272,51.7328668,52.48543700000001,49.842663,55.688681,59.1993398,63.00677380000001,60.36759280000001,60.9355988,58.60041080000001,59.39855279999999,53.93732320000001,57.00642220000001,56.9384378,60.375127799999994,56.8201718,56.840085200000004,54.4171306,58.552335,54.79428000000001,54.61075200000001,58.8088782,67.34188780000001,65.86065380000001,69.24686600000001,74.01867,77.2660292,72.4184252,73.6641472,75.981622,83.692278,84.92051,83.44298599999998,82.256249,81.43859499999999,73.632857,63.79375040000001,59.03378740000001,59.6670664,53.50030519999999,47.0687084,44.1049946,45.62328760000001,42.1421436,39.75406480000001,37.8912386,38.350501799999996,39.829307799999995,36.924140799999996,37.81262020000001,39.54990000000001,43.64724220000001,39.479169399999996,36.93822479999999,31.274062400000002,25.7774858,18.834468200000003,12.354901880000002,8.295887360000002,6.738945610000001,4.987127926,1.969179632,1.286646626,0.513997472,0.373975582,0.439508946,0.293821486,0.27407495080000005,0.19491022480000006,0.2478999048,0.1650319208,0.20434732879999998,0.211541012,0.24566961,0.17753673920000002,0.1889241292,0.11062307519999999,0.0963820532,NB
St. John's Wood,1171.31630051943,0.23658095571,0.40076171571,0.6794443157100001,0.62202389571,0.8176133617100001,1.24945656,1.4014974000000002,1.76700806,2.15425834,2.7010597400000003,3.19549302,4.169412820000002,5.870773560000001,7.877094520000001,9.156936199999999,10.4617756,11.2295254,10.612328199999999,10.039383,10.060493200000002,10.6103728,11.556617999999999,13.1851566,14.2089252,15.368511999999999,15.450714800000002,15.3871108,15.625673600000002,16.5404076,17.5149842,19.5109716,21.8845492,23.574059,24.6871018,26.043559,27.545499000000003,27.823304200000006,27.555777800000005,27.60278940000001,27.232182000000005,25.439808000000006,24.692495800000003,25.4918918,26.119651,26.5725958,27.862868,29.36733,29.675244,28.644209600000003,27.371312000000003,27.1359452,26.006036200000004,24.2901392,23.1688782,22.64043,20.9347544,18.122415,16.3595456,16.055718,15.537504,14.876899600000002,15.721550200000005,15.2369272,14.293815400000002,12.707696,11.0440446,9.8631586,9.313301,8.7781505,8.782262699999999,9.5914159,9.1440469,9.3219853,8.910341500000003,7.98059946,6.5927004600000005,5.7877496000000015,4.130579774,3.084429474,2.4593345880000004,1.4963547680000002,0.8779775879999999,0.822140344,0.5745373640000001,0.461690542,0.435981792,0.236097632,0.15966170200000002,0.156783222,0.32548435,0.42750277200000003,0.5731807520000001,0.5738016767199999,0.69269826872,0.4549796887200001,0.32647903672,NB
Stratford,60437.575916400005,101.6865806,147.1168406,235.9737006,294.792904,378.181464,456.001924,573.5362440000001,677.5794580000003,762.9554340000002,773.5997860000001,772.6758060000002,758.9633380000001,721.349544,729.2979839999999,761.6509920000002,816.7385920000003,859.9803400000002,888.65948,839.950866,790.220266,723.704686,671.641526,620.187006,662.81578,716.5365800000002,751.5017400000003,767.1084800000001,804.9772060000001,827.418086,849.1778560000001,861.8690560000001,909.4201660000003,939.2206,952.39708,951.55005,979.05347,963.234292,959.021692,963.190352,990.5826720000001,1001.3688119999999,1026.09298,995.534772,981.522532,956.382912,941.640922,929.713542,965.60014,972.43674,965.6850400000001,951.17646,943.1365,928.78468,937.55965,992.6759100000003,1063.41716,1089.32696,1102.594538,1078.93426,1025.37058,922.65135,855.6249820000003,805.9414859999998,795.3392040000001,752.5609240000001,762.454846,731.1251820000001,707.3854,639.7539180000001,587.123188,542.288536,474.517724,441.89331,399.865102,355.63731600000006,259.738788,222.36660099999997,147.7864802,100.4899372,71.49289399999999,68.59417679999999,73.27506059999997,65.4592128,75.07793280000001,69.33629,60.66523480000001,61.49533000000001,55.952283400000006,47.99461240000001,45.681091,43.9187984,29.699692200000005,31.280920000000005,32.89711440000001,25.114137799999998,20.621850800000004,NB
Swiss Cottage,1143.6347175960007,0.245185755,0.35913654300000003,0.543556543,1.206738743,1.6023155,1.7355729480000002,2.08206436,2.3507667800000003,2.32772278,2.68249154,3.39947096,3.98425616,4.60043074,5.3995292799999985,7.387549000000001,8.558720600000001,9.5503695,10.6532405,11.658240500000002,11.445009900000002,11.493157900000002,12.263876200000002,12.572541,12.420915400000002,12.652208800000002,12.7825692,12.362903,13.135339000000002,14.1714552,14.336856599999999,15.7830068,17.4189802,18.059243399999996,18.2643104,19.7576102,20.293083399999997,20.155588400000006,19.9714668,20.7673892,20.971322600000004,22.2690838,23.108207200000006,24.6012398,25.4920278,26.224825800000005,28.026692399999998,30.683813800000003,30.811008800000003,29.617883600000003,28.19567360000001,24.457808400000005,20.762864,19.351250800000006,18.9392414,18.305439399999997,17.7588258,17.583740000000002,17.524685199999997,17.207359600000004,16.7022346,15.625910200000002,14.856791200000002,13.473190400000002,12.6756698,12.932174,14.305941,14.0766894,14.376954399999999,15.3614974,14.950601999999998,15.6832474,15.923485400000002,15.6267474,13.5039419,11.60705978,8.14606118,5.99799518,4.24913898,3.7002644,3.3341799400000003,3.40432568,3.12899194,3.24925244,2.58012756,3.08639594,2.8533777999999996,2.52228874,1.67198824,1.97401474,1.38319048,1.58703138,1.7167219919999999,1.9629928719999998,1.48256896,1.16881062,0.4249987200000001,NB
