Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,6129.2248078054,2.23296518,3.135235472,4.724309646,6.041580028000001,7.329606146000001,7.685665072000001,8.483321998000001,9.231690472000002,9.892322000000002,10.412750932000002,11.301136242000002,12.716672356000002,13.882242227999999,15.024136518,16.136722668,17.824097932,19.46298518,21.03035694,23.73914812,26.74608122,29.6690224,32.658381420000005,36.00862732,37.6000048,40.474197415999996,43.420192942,46.607239074000006,49.502160494,55.106710758000006,60.464716782,65.93221217600001,70.36807852400001,75.50911813400002,79.68978861000001,80.6052995,81.963739288,84.348199548,87.05907936599999,87.689389878,92.13994470800002,95.09862876,101.77388970000001,107.66190077200001,115.08382312,122.95486359,129.64498605,132.095624662,136.736503722,141.13126922200001,140.755196372,142.322394664,141.89642597199997,140.235800652,134.907169432,131.55165719200002,127.46379452000002,127.78628,124.47665304,123.59569652000002,122.17921696000002,119.86218756000002,113.86398456,111.70323654000002,110.90279403999997,113.2657243,114.01057102,123.49399494000001,138.65673062,151.187579,151.80605852,152.05849874000003,143.4125121,123.50733134000004,104.92299234,89.64756652,74.5474187,61.06048874,46.22587756,29.13682328,18.64911152,11.1141076,2.9883046000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0851334000000008e-06,3.0851334000000008e-06,3.0851334000000008e-06,NB
Bond Street,8703.344171788,4.9466112120000005,8.732584812,12.784090756000001,15.812202908,19.493930162,23.630846024,27.775219784000004,31.99423704,32.51487754,35.99177664,40.396007319999995,44.20567296,47.026953060000004,52.121855200000006,54.392147800000004,57.480261999999996,58.98778774000001,58.270273040000006,56.28219574,58.13334924,57.93840964,56.9193099,57.3541179,63.246522,68.68192874,74.20730094,79.8249895,85.46888,84.86950150000001,85.59768206,88.97863386000002,94.03917830000002,99.69295172,111.31766062,114.17941822,119.69633102,121.92532052000003,126.19716100000001,124.0142136,132.75096670000002,135.06446844,139.68954794,143.07300174000002,150.59886514000002,152.88658234000002,158.87532960000001,162.01376140000002,172.12726980000002,180.67808592,183.81651431999998,177.20284032,184.44040992000004,177.52607852,176.9379198,177.35055394,183.82208614,168.1256345,160.6960111,143.77719894,132.07998994000002,119.38478394,118.88388678,114.13704724000002,112.15428072,111.45205252000001,110.60263351999998,108.87236912,116.05677680000001,122.59189104000002,130.6508603,139.74402985999998,149.93806402,140.21297022000002,136.02574176000002,121.490974106,102.727619946,85.09797414600001,76.62250240600001,70.50898370600001,62.04705816000001,64.64820282000001,58.10473176,63.12343468,54.099167679999994,60.04704714000001,46.02314934000001,37.79310284000001,23.23017854,25.5842347,18.673327840000006,27.741195512,30.984551632000002,36.461865212000006,28.024335212000004,20.371591012000003,10.576047080000002,NB
Canada Water,14317.451100768,2.6315277420000003,20.602985742,26.761397142000003,45.081336154,52.922268074,75.544192,79.69435800000001,94.80029,93.779868,106.34696079999999,111.0091272,118.82755879999999,127.0370554,148.52207579999998,164.93892059999996,180.19495160000005,184.63392120000006,192.96936119999998,199.1973686,211.472799,215.5491802,232.467025,260.4543698,281.2269904,286.510916,295.0930966,304.69370460000005,301.86998580000005,291.90893860000006,294.2114640000001,295.0392894000001,293.428898,288.1263168,288.339154,287.041,290.223032,281.10026020000004,269.9642654,262.0106506,256.863629,246.36303440000003,243.6460206,245.76148260000002,250.23643619999999,247.38321439999999,246.2438484,242.88651540000004,246.68348340000006,245.417578,247.23453640000002,246.44641639999998,252.9976238,249.16255180000002,242.11613240000003,235.63195639999998,230.3447856,215.69556040000003,201.33171099999998,186.72994660000003,170.67093260000001,154.0030514,139.776192,126.1131766,116.485114,107.1987502,99.44865000000001,98.8680212,100.203141,101.54889260000002,105.60740820000001,110.75178960000001,107.89370960000002,103.10296520000001,94.88489100000001,76.38595668,55.458799320000004,38.236181900000005,21.72481038,8.642697034000001,4.878100746000001,3.782494786,3.4008471150000004,3.552574615,3.876212568,3.4018993419999997,2.7614519220000004,2.087800109,2.085608863,1.7522573220000002,2.038328824,2.1752103586000002,2.5197489386,2.0591527306,2.1037457636,1.4679852956,1.099227301,NB
Canning Town,13013.75873058,14.42706358,29.06462442,45.32441202,68.98113302,83.60562032000001,99.15568258,105.71721674000003,117.65961734000003,114.14944182000002,123.53285462000001,122.81232918000002,131.26804198,132.53903598,144.07006898,157.0482679,172.48181340000002,179.6706228,190.29044066000003,203.62173426000004,206.88408407999998,211.63891488000002,221.31107667999999,228.10422422,231.07736388,230.89639146000002,231.32941166,233.02270506,236.82880039999998,240.37754414,248.28652344,254.83500784,253.42481164,245.88663509999998,238.56656596000002,235.95154546,234.13498046000007,239.64915126000005,245.70846926000002,248.12677308000002,249.57021998000002,247.59105698000002,240.17831152000002,239.76690752,238.3602355,235.5441364,234.34132950000003,237.77794196000002,235.60408678,237.54362318,236.0977431,235.9823884,233.88351726000002,235.63320884,232.08255322000002,222.96099690000003,209.13075834,190.80103907999998,167.27531392,149.75053248000003,134.83746388000003,122.13334924,111.1581374,104.30598496000002,93.73843902000002,90.82963702,87.5452451,90.84010036000001,91.25233418,87.42811992000001,86.90549778000002,80.28331738000001,72.13849656000001,62.971380700000005,59.09820724,46.167638260000004,43.08177074,33.33583492,24.5713766,16.36818006,10.132908780000001,2.81780922,0.4805988400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Finchley Road,2097.6702622799994,0.0,0.34545444,1.161250922,1.963550272,3.380493672,4.838157492,6.256752692,7.00253959,7.69875392,7.99977804,8.333787820000001,10.509130380000002,12.43426028,14.17124012,16.307721800000003,18.716175999999997,18.551619600000002,19.63406532,20.4317634,20.641918000000004,21.411355800000003,22.696448399999998,22.3046923,22.43733976,22.560939660000003,22.391228460000004,22.136837800000002,24.080345100000002,25.783364640000002,27.04057766,27.6319132,28.91617616,29.230527040000005,29.936818340000006,31.409873140000006,31.7413496,31.529092220000003,31.034048340000002,29.746254440000005,28.69913164,29.22769594,29.51688078,29.91036018,33.24714692,36.7161789,38.8246826,41.49360938000001,46.25632258000002,46.70997504,46.14913574,46.02083081999999,45.40377382,43.80238069999999,42.94449564,42.54402164,40.635242559999995,40.0344941,38.479570700000004,39.222203640000004,39.41696564,40.1205087,39.786888440000006,38.36776368,35.79536642000001,33.949863820000004,33.75492156000001,34.482414219999995,35.54662168,34.919398359999995,34.55187042000001,32.83393076,33.69769572000001,30.999907640000004,28.731648060000005,22.837482320000003,21.299962464,14.176784304,9.289396404000003,5.794733483999999,5.328100363999999,1.75230868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Green Park,12465.440072745998,6.827707536,10.541130096000002,15.395066076000003,20.396447684,24.525948454,31.312242679999997,38.63703722,45.58894656,51.973791500000004,56.78838764000001,59.15910478,64.54609842,68.80784796,72.89100766000001,80.4842988,88.76943238000001,93.43403548,95.52485342000001,97.51551788000002,102.33287960000001,105.21176608,108.3674855,115.86448829999999,121.8339632,120.74470546,129.66240198,135.79459992,133.94771482,141.93896436,152.79581190000002,152.7546667,162.92012010000002,174.7132278,183.698825,183.34147919999998,196.4793228,189.16673980000004,191.97262500000002,185.5652594,199.21549520000002,195.4843764,213.38765229999998,218.7682929,237.20142850000002,237.2084437,252.9503001,246.87444599999998,267.501321,266.52449920000004,281.3616952,275.8475,290.9061756000001,276.8543706,279.883215,260.3940466,263.36207140000005,238.43289440000004,231.3385888,213.14089439999998,206.10347860000002,183.4656984,177.9265058,161.7589228,159.1860847,152.3654999,148.7256015,157.03045350000002,168.0217147,166.4491768,175.05503720000002,176.5030872,163.85095700000002,162.1374672,153.142849,133.0038149,121.7124419,112.25849790000001,83.484618,64.4438194,56.7883079,44.53181358,39.90643416,38.62122238,43.248615040000004,36.112690748,31.136821168000004,19.915093388000003,18.508093868000003,12.779997448,17.49827424,20.42451516,24.997256540000002,22.22216204,23.79070382,16.39303972,13.075648700000002,NB
London Bridge,2756.9545219540005,0.015228670800000003,0.5449751107999999,1.5835466708000001,3.7438846908,5.0875690508,7.065311520000002,9.281090780000001,10.97089888,11.360609540000002,13.08420794,14.8291002,15.87371924,17.498778140000002,19.872747260000004,22.4885795,24.735121299999996,28.95482536,32.4338176,34.797835400000004,37.210878799999996,40.0396432,39.9458034,40.818248800000006,43.421549600000006,45.6674048,47.718181200000004,50.2445306,52.8103126,54.1713034,54.214460200000005,52.51612,52.28441980000001,51.55770340000001,50.882563,49.15824460000001,49.32277140000001,48.05605120000001,45.6899236,43.698361399999996,44.8209796,44.2345664,43.535238,44.7259952,45.597498,45.0602866,45.738873,47.070434399999996,48.8996334,49.947109400000016,50.1027268,50.56396480000001,50.787912399999996,50.20068660000001,49.1369108,48.549250799999996,47.6408348,46.413631800000005,42.4533758,39.039193600000004,36.8503162,33.914398000000006,30.7964452,29.5080368,29.6762136,29.078159600000003,28.264245600000002,29.288678199999996,31.9599306,31.984607400000005,33.2882112,35.6710952,35.611569300000006,34.5035405,33.5319157,29.740655300000004,27.350661300000002,22.7015796,15.7764758,10.5286016,6.988973400000001,1.7707878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Stratford,34575.219140333844,53.792397890340006,87.045575620808,154.664237910808,204.917649778816,279.411183838816,351.513307370402,468.088418169422,537.872346719422,610.3637981010739,603.9283153610739,609.233095129488,565.346358,543.00295038,525.4710875200001,552.7231108,571.87459322,601.41326746,594.6420725907,554.1102060627001,499.5234197027,457.09622018270005,402.01477092270005,372.31156192199995,391.20642487,426.39183111000006,428.91162673,445.16201409000007,456.75759852000004,485.24201710000006,486.61942768,500.12438372,519.70355388,552.3468477600001,530.81678492,537.0475317600001,544.0345174400001,526.9638535400001,505.3946118,513.305818,506.55468454000004,521.63060492,525.33577258,503.29929458000004,491.15261102,497.5171634,469.99792448,483.25355856,504.85828340000006,508.24948214,487.22847831999997,493.66428282,476.00333194,472.64367608000003,476.56703158,507.82357894,527.34253224,542.62505414,539.2796922939999,525.660282034,497.671312374,449.50188781400004,405.982496794,371.54346708,376.4386036,368.39194886,387.9141198212,384.6745361412,399.2210803132,367.4491808532,348.2410659012,323.21976888000006,313.19134296,281.03019774800003,253.081289088,217.99530144,163.69087310477602,114.033069029976,77.257497329976,53.525240629976,28.205275729976,24.781520205200003,24.1268952,22.8306644,23.954686960000004,23.7570384,31.908069590000004,25.26785653,22.092894129999998,18.845307730000002,18.33662633,7.1516553400000005,9.124856560000001,9.44728388,9.485049828000001,5.972521488,4.800550688,NB
Waterloo,1206.732800172561,2.494327794,3.7911120000000005,4.418507728700001,3.7994364607000004,3.8904284787000005,4.081579722700001,3.2851712327,3.3078304074,3.2700923558000006,3.226105245800001,3.0825102198,3.7412218338,3.9041607564000005,5.066118432,5.188084958,6.288728826,6.539528092,7.521640238000001,6.765139154,8.198032146000003,7.749979718000001,8.083825508,7.08281849,8.127861968,7.303941119999999,8.856756020000002,8.803497416,10.984001969999998,10.998380228999999,12.163638571,11.650898583,13.325739258199999,13.056066318200001,14.996589319199998,14.6291393876,16.3704447696,15.720771734400003,16.519868784400003,14.829611776399997,16.7489748844,14.995273766399999,16.5402996284,16.417508570400003,19.4818249604,19.237864688000005,21.604436551199996,21.2093852312,22.9581857952,21.964167780199997,22.308881854200006,20.694627209,21.835719469000004,20.75440125572,20.686132685520004,19.35827619472,22.130104054919997,19.95244048372,21.335540153000004,19.582157473,20.621271379799996,16.3115041856,16.6761453684,13.1100983096,14.344315342799998,12.3349716558,14.861931801800004,13.2235171562,14.296771295,11.946162255,12.770197662000001,10.639597372999999,10.947380603000003,11.261946960000001,11.911331668692174,10.434444248692172,10.154024145692174,12.656679385692174,11.332109528692174,14.043299780000002,15.958386820000001,19.76736806,18.961328199999997,22.474552180000003,21.31802776,20.02063352,14.659799763,11.100129963,7.329237423,7.752589823,9.220019463,11.801646620000001,13.198663039999998,14.060722939999998,10.60058984,7.154297039999999,4.567317900000001,NB
Wembley Park,2480.9969851079995,0.678120986,1.0883127060000002,2.226197716,2.7599069760000003,3.3977533760000003,4.404449850000001,5.27032573,6.43535134,8.011573580000002,8.8842937,9.716699540000002,11.53930528,12.560230140000002,13.7129663,14.955885180000003,15.670851420000002,16.48386408,16.70436052,16.69232218,17.57226538,18.21974214,17.396163480000002,17.721824280000003,18.311431560000003,19.068915760000003,19.224737259999998,19.78724944,19.966739660000002,21.66454086,23.406615060000007,26.584892260000007,29.683940039999996,36.36911490000001,38.795353500000004,42.51012250000001,43.96944090000001,47.512204600000004,45.9653012,49.018811400000004,46.7032734,47.6464748,45.988801800000005,46.55079040000001,45.3319628,48.157996600000004,49.50394460000001,51.30898520000001,51.20943080000001,57.8069906,60.461791000000005,64.3972372,64.9145346,68.1640246,62.863840800000006,62.316387999999996,53.95288179999999,52.685806899999996,47.146755299999995,43.52574214,37.63976764,39.956126100000006,35.821270119999994,36.25114706,35.57200046,36.99489824,35.605753580000005,38.00370416,36.63058828,36.71865698,36.97506229999999,36.39786656,33.87089658,37.79996152,39.75144098,31.967715079999998,26.845711251999997,24.309724271999997,14.390790539599998,5.6618559056,5.1866538056,3.4244667736,0.5343080336,0.10678876600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
