Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,3975.52139082,0.0,0.0,0.0,0.0,0.67523732,1.2356795800000002,4.328142720000001,6.569511340000002,12.501681540000003,15.891792506,19.445915952,19.870008012000003,21.545575972,18.783800712,18.102617526,17.958622820000002,19.86405928,20.909655819999998,21.58589912,23.459362459999998,25.17737016,25.312976680000002,28.360420240000003,32.11023976,35.2549819,36.460781600000004,40.339448360000006,41.066604600000005,43.40222928,44.293146500000006,48.930798720000006,51.074563100000006,54.79325078,56.13173338,60.53569048000001,61.85570366,65.38033434,67.065385,71.36363332,73.29142936,78.01416508,80.72961272,85.9131942,90.49810264,96.28912070000001,98.74014582,100.76239238000002,100.49126564000001,101.50620032,99.76963966000001,103.06220646000001,105.34759486000002,110.5275093,109.81921342000001,111.45654748000001,106.79253336000002,100.3678472,93.06999922,88.29427318,78.5347689,72.51782832,67.06606928000001,61.60210364,57.227957280000005,57.52188932,56.18261514,55.87454788000001,50.838817160000005,51.07012246,55.28561584,52.854685020000005,51.1228286,47.289290272,40.809191752000004,24.742438212,15.875226472000001,7.663852752,5.06169498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Bond Street,6263.981452097825,6.247001372000001,8.623802126,13.397738906,15.777858933999996,21.246295634,21.508283873999996,22.53680896,21.609939680000004,25.394241440000002,22.805063,25.653862840000002,29.2972882,34.3003173,34.8435949,39.3476939,42.44277000000001,46.37111034,50.16856186000001,51.87777344,54.452664559999995,57.1014347,57.73504568,56.99123196,62.913775380000004,64.11804466,65.93484112,67.80520714000001,71.58797144,70.34800704,75.59226714,77.37528308,82.54870044,86.11217220000002,89.39106886,93.27330136,95.73581928,99.33122310000002,99.76134619999999,105.43952986,108.03947625999999,112.26744792,115.6708504,121.76555823999999,129.98355892,134.02142432,145.4100784,158.7040336,175.2701434,185.915815,199.150878,206.7222082,203.5747326,190.78929399999998,176.8703523,162.9981841,142.0433271,130.61043310000002,121.04922000000002,113.30370090000002,108.1676477,101.82572210000001,96.44157464,88.37470674000001,85.22306894,75.31888484,74.42328394,67.35653174000001,71.59372814,66.17385114000001,65.55045444000001,62.098445739999995,58.286114600000005,47.2433856,39.1827514,27.4027778,16.4953332,8.391686200000002,3.2698272000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.983734e-05,0.000649164828,0.000649164828,0.000649164828,NB
Canada Water,11968.858299103966,2.2495925506,5.6148279506000005,8.6046163506,10.064631,15.313256599999999,18.309493600000003,21.7982786,33.2933496,43.072951599999996,52.113789,60.965049199999996,76.12696400000002,78.26929980000001,96.604807,106.28774820000002,137.3196146,145.7925482,180.71253539999998,189.3704578,226.3218532,220.87858119999999,246.87057339999998,249.42285700000002,280.30324720000004,267.58945100000005,292.349461,289.101172,307.8811074,295.88180460000007,316.62008460000004,314.6802678,321.8981914,301.72832400000004,299.41721600000005,283.49352680000004,281.72421299999996,275.17498400000005,270.79854600000004,260.455148,255.58002000000002,243.5627446,238.220342,233.780794,235.62766879999998,231.38013880000003,229.38002620000003,222.55458820000007,221.49361960000005,215.4926558,212.231475,206.54520480000002,206.6506152,202.2402278,196.5448328,188.33641160000002,180.99740920000002,164.27687000000003,147.94482240000002,128.039883,109.38865620000001,89.6266664,77.0538118,65.81886680000001,62.86092860000001,58.09117500000001,56.6471794,54.798994199999996,53.620430999999996,50.3668676,48.7656194,44.256499399999996,38.5952042,33.69414074,25.002170200000002,16.889800800000003,10.042673400000002,7.258323099999999,4.75920016,4.528061699999999,4.528061699999999,4.528061699999999,2.2764498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668786054,0.02966583054,0.02966583054,0.02966583054,NB
Canning Town,11378.0154675,0.0,0.0,0.0,0.0,0.0,13.75997534,34.261351340000004,59.35764614,78.55992834,101.87852394,107.02480639999999,113.14004630000001,108.19443530000001,123.84974394000002,130.14843914000002,154.10057994000002,157.55761484,179.59477984,183.591203,200.27668260000002,202.9812013,220.24605816000002,226.28122916,240.21371066,244.70811806,246.28172782000001,248.14180335999998,246.70795904,241.99570993999998,237.83960114,239.15244428,232.03614116,229.07281688000003,224.6957494,222.5872644,219.83848754,223.04648786,221.57562460000003,222.80704508,219.44894736,217.29870522,216.99172066000003,222.41096572,223.48288381999998,227.73275794,228.80912864,231.5609442,229.5488909,228.36574560000003,227.0278576,222.87958886,214.88859926000003,205.83735736,195.43048466,184.45308106000002,171.90910330000003,158.48165370000004,146.00544684000002,134.86283814,123.09450162,110.90492641999998,101.45522224000001,90.0598161,81.18240962000002,70.41020040000001,69.60394446000001,64.37761624000001,63.6078713,58.92087858000001,61.110175579999996,55.46131304,52.1321819,47.348254319999995,37.64476272,24.886942660000003,15.597160940000002,7.285652280000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Finchley Road,1955.0309066399996,0.0,0.0,0.0,0.0,0.0,0.0,0.13115432000000002,0.76249224,1.0769108580000002,1.771881958,3.59864369,5.281451670000001,6.346693070000001,8.146723112,9.029399192000001,10.162219320000002,10.66172222,11.88198178,12.17702422,13.2561079,13.70971694,14.355373,14.912125620000001,16.20804312,17.677175060000003,17.890418560000004,18.994190300000003,20.20661466,22.54805426,25.075083059999997,27.584761659999998,30.459212000000004,32.26074630000001,32.980120580000005,32.244415780000004,33.941660979999995,33.50278944000001,34.431647420000004,33.74746634,35.25387584,34.11026504,35.700086240000005,35.800571899999994,39.646335699999995,41.962792199999996,45.062025,45.91514244,48.5699131,48.181996700000006,47.8583033,47.01985574000001,48.25953038,48.782959520000006,49.80054119999999,49.82964586000001,51.222201780000006,49.44306982,46.61230142,42.91923164,41.32581644,38.33597554,36.27036802,34.239111529999995,33.270449430000006,32.63520509,31.46200173,31.230690250000002,30.63195424,30.33873454,26.19736114,25.73625626,23.908904520000007,21.45697278,19.938407540000004,16.889118508,11.170179088000001,6.8924967079999995,4.110095748,0.026142088000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Green Park,9327.35285968602,7.0159988345999995,12.1041979146,15.372651154600002,26.76722253,28.6793039,31.63292158,36.603520520000004,42.79406448,44.29985716,45.79325428,52.90022628,56.81932870000001,61.531797440000005,62.74832538,71.10032504,79.93478042,91.29060638000001,99.74849332000001,111.62865226,118.51838490000003,122.59608776000002,117.03471586,121.01370698,124.18007656,128.04925786,134.12163026,141.69738662,144.73554802,149.27457986000002,156.97044596,155.89577636,166.7422385,168.2985649,162.2543908,160.1653832,160.3728666,151.189938,152.8372142,157.13067420000004,156.2473742,159.80558180000003,164.40848860000003,165.09359120000002,173.39612160000001,181.95415020000002,186.24870560000005,194.8406944,205.04085059999997,204.4474264,208.08624500000002,213.421519,218.00443560000002,219.23083200000002,217.74714400000002,209.7573388,200.1500972,180.96504940000003,161.3354562,148.975231,140.9518984,129.3199836,126.429778,121.21011340000001,116.16623760000002,107.5649198,104.77766580000001,101.31996159999998,102.2989954,98.38652280000001,97.69944059999999,93.91335,90.91245250000001,79.9705089,67.96314172000001,49.78331212,33.91832732,15.66272582,5.51313022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664858249776,0.7743934957476,0.7743934957476,0.7743934957476,NB
London Bridge,1757.2873222249996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021743305,3.2215186250000003,5.061175925,7.0087711850000005,10.424710145,13.1219977,13.293651180000001,14.94335378,17.56616992,19.71694736,23.248614099999998,25.7061821,29.097326800000005,31.9433408,32.7202872,32.446171199999995,33.132308,33.08709,32.33250220000001,33.3281936,34.280051,35.335173,36.0429578,37.1937094,36.490052,36.250495,34.999912,34.1787896,32.169255,31.843636600000004,31.38071870000001,31.75421930000001,30.300555300000003,30.7410251,29.920234300000004,29.998857600000004,28.850649399999998,30.228108200000005,30.268374800000004,31.698445399999997,31.9116992,33.51462360000001,33.402551200000005,34.0171648,33.226236,32.9430346,31.108938800000004,30.7334064,28.753329400000005,28.367091400000003,26.6932544,27.565186500000003,26.847620700000007,27.0422429,25.8317071,25.6945396,24.299731899999998,22.8625719,22.3911386,22.476069879999997,22.1378525,19.9427801,18.57903346,16.179788520000002,13.677599760000001,11.048321180000002,8.73258994,6.09292338,3.8506518199999995,1.7362537000000002,0.28011436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Stratford,21139.50529582006,6.8127435200000015,11.209652,20.003178940000005,48.203510820000005,65.79289552,89.27695581819802,118.57349198147301,157.84005636147302,157.753502249473,159.5473119571454,163.1597464726434,178.05715705390563,169.00965953190564,186.51470512045762,201.5648377527852,220.3116771390892,225.210153194552,242.05612953655202,259.33780419,308.42832469,345.37325105086603,370.72777763982003,401.63968753982005,430.24778732982,438.50268446782,442.32628422402405,463.20493017507005,478.78200769507,486.61018657507003,484.0335715170701,485.3587603120001,474.939573132,468.5259947580001,444.770379158,449.5939088580001,446.8183662460001,475.54320694600005,481.61568386000005,509.87961489,503.15794937000004,496.32003947000004,451.59730781,413.759012996,366.10222286600003,336.34336354600003,307.73296178600003,292.136882706,280.3439115,283.9347323,272.75219635999997,280.87123508,282.74606064,292.44798568,288.27291159000004,308.74793617,315.06243721000004,331.31017803000003,317.14411305000004,327.58143842000004,304.21555548000003,289.00092814000004,253.83356259400006,240.04336392200003,211.80649063200002,198.02328837200002,174.7817611,162.38530066600003,162.65544345600003,153.554578152,143.89557361,144.541522862,131.8880586944,102.6418786244,72.9972908384,51.221936660400004,20.759437020400004,5.144814188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005126131040000001,0.19578595764,0.19578595764,0.19578595764,NB
Waterloo,693.4125795689589,2.637339356,4.306463016,6.1246191560000005,8.275928112,8.633326952,9.169972232000001,8.935342552000002,7.980990992000001,7.465158576,6.929193214,6.643105793899999,5.6380400899000005,5.6794452939,4.1184812299,4.3539971227,3.9276711607999997,4.4943713648,5.1247253868,5.7467717147999995,6.749195176000001,6.670876494,7.773811268,7.333919826,8.375137272000002,7.863408330000001,9.301986604,8.52298414,10.122644123999999,9.652565248000002,11.627893705999998,10.917081368,12.868487768,12.152588483999999,13.753979673999998,12.165799490000001,13.056673988,11.393923148,12.763481343999999,11.342934984000001,13.153941298,12.152191438000001,14.257912268,12.508126416,13.69086992,12.066967217999998,14.033068356,12.294154168,14.442592674000002,13.80142019,15.218094675999998,13.604362102000001,15.988189386,14.893728831999999,16.084195042,14.337703368,16.091409854,13.362275333999998,12.947390813999998,10.473442923999999,10.016093776,7.060589950000001,6.47679967,4.956962058000002,4.706335574000001,3.9569534334000003,3.9188752666,3.8675570306000004,5.085730899,5.164479491,5.7173702036,6.665437756400001,7.474731716400001,6.639907880000001,5.915515732,4.890962420000001,3.1075575000000004,1.3031563000000002,0.20134504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0724340145876,0.0724772759572,0.0724772759572,0.0724772759572,NB
Wembley Park,1733.3898467416282,0.0,0.0,0.0,0.0,0.0,0.0,0.78463302,1.7056613999999999,2.6770318800000004,3.36011432,4.485777700000001,5.14494498,5.597826060000001,6.124465740000001,7.44969622,9.626745360000001,10.76241076,12.934066500000004,14.342781480000001,14.758140220000001,14.573213160000002,14.87143754,14.39625164,15.17684658,16.26543584,17.24656698,18.1482599,19.7329674,20.6873172,22.12551848,23.17477828,25.222710080000002,26.06220588,27.764739399999996,29.134705599999997,29.930453999999997,30.983090400000002,31.801934000000003,31.672809600000008,31.944316799999996,32.9995852,31.97495412,33.46222012,35.557097920000004,36.80560932,37.75715352,40.176981500000004,42.0199571,43.904258299999995,47.1273617,47.92166090000001,48.47688034000001,46.842882140000015,44.04210146000001,40.38293826,38.79829026,36.81365352,35.390741059999996,33.98374268,35.284950880000004,35.1018206,32.268415399999995,31.773553380000003,29.9597556,27.056249339999997,24.98995822,26.6262649,23.665855479999998,24.05169752,21.675220179999997,20.23009968,16.53259182,16.274363382,14.103231402000002,10.677620618125609,9.841865488325608,7.89074106832561,5.017483806325608,2.6300925863256084,2.6300915701999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
