Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,8325.4489755,0.9233876,1.6034795000000002,4.3693917,7.4117074999999994,11.573335499999999,14.996153099999999,20.567324600000003,25.947674,42.1311602,59.52913820000001,82.94176700000001,100.6204956,112.87166,105.74446940000001,97.03316540000002,77.45708219999999,62.208782799999994,50.684749200000006,48.39499179999999,46.1831888,50.20956200000001,52.3743274,54.772483400000006,55.8876582,57.3316292,57.9277482,59.232154599999994,60.869336200000006,64.8296454,66.5095934,68.44012640000001,71.607214,74.486378,74.827966,76.379786,79.052828,84.804002,90.105042,96.691082,109.183574,120.033982,130.64698800000002,148.292212,162.70910600000005,189.32138,197.885152,221.943956,227.04723399999997,241.16155,229.095346,242.797552,237.11146800000003,244.13171200000002,233.69862200000003,232.05621200000004,214.704344,194.36649,176.07332800000003,162.41269000000003,146.861598,137.54211999999998,130.39838,122.12602800000002,119.87790400000002,117.258225,115.332501,118.74719100000002,124.377499,128.42838100000003,122.4969632,121.0243992,115.73077120000002,106.3246912,95.2018952,88.17186740000002,78.3488444,63.12677040000001,42.6103764,25.680966400000006,16.104793,5.472246,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Bermondsey,6604.5754572000005,3.3564792000000003,8.5776638,17.053773800000002,29.0978878,43.89297000000001,58.6776686,83.424716,103.946846,134.524948,157.33366800000005,198.12168799999998,225.000796,265.29366400000004,265.11629,274.22165,252.584306,232.72777200000002,181.9609,156.38829399999997,126.375582,107.422224,86.515201,82.6316022,80.148273,77.357373,73.405389,70.31147200000001,67.7230114,65.5110982,62.46733420000001,60.23260340000001,59.24438840000001,59.60718980000002,58.45130220000002,58.07921680000001,58.895726,59.929701,59.577503799999995,61.7396468,65.60543620000001,70.57821779999999,72.9382238,82.300837,88.815446,100.67739,104.216231,115.941647,119.134556,128.59078799999997,125.936982,133.151285,129.34211900000003,130.97198799999998,118.971104,109.143294,94.32791999999999,80.08657480000002,61.6020076,51.920807,45.63104499999999,38.5467676,34.93154680000001,32.3906268,31.0934386,29.196026399999997,28.2492798,29.1166086,28.9598212,27.3309536,25.4171264,24.679958,24.4365654,23.600952000000003,20.195877399999997,18.210210400000005,14.548030800000001,8.468778599999998,4.238494600000001,3.0976196000000007,1.0550560000000002,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Bond Street,18933.242425779998,0.068595756,1.386815956,11.807283956,24.294663955999997,44.840371956000006,65.19758820000001,95.91356800000001,111.477954,138.110228,150.81880400000003,171.52324800000005,177.06499800000003,199.17981799999998,187.771696,176.96883200000005,153.329172,133.33742999999998,100.889976,90.50771,86.90164200000002,91.6258592,91.51907320000002,96.0462402,99.66756320000002,103.2976032,102.134552,108.400448,113.650866,119.747653,122.318905,128.832991,134.841901,141.894384,149.53247800000003,161.325184,175.598102,188.557174,199.16775,209.154652,228.937306,250.164196,260.72684000000004,286.893924,326.316162,361.752934,395.843582,453.6745580000001,504.418198,561.073222,583.886286,624.60425,636.52909,650.054302,616.5380279999998,585.2521200000001,535.334108,483.88247200000006,421.555392,390.63900600000005,376.12814199999997,356.35579200000006,346.98830000000015,339.72776,325.1862260000001,317.4194040000001,310.442492,314.73291,318.1155500000001,319.7574800000001,308.641796,287.659192,258.02822599999996,223.539886,190.22182400000003,153.57546100000005,129.548179,101.064681,68.229201,38.129893,24.583694,8.386586,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canada Water,24363.503563000006,8.5101808,21.595362800000004,51.75594080000001,105.6201368,165.6771314,230.19463599999997,318.52908199999996,427.25200400000006,525.354908,641.395294,779.540194,886.8742460000001,955.827226,945.785896,910.82447,820.3052700000002,715.2486299999999,601.6959760000002,526.4427059999999,449.673466,392.157406,345.17029,310.48199,310.528996,307.4976880000001,299.2717820000001,303.60471,305.69885000000005,297.51417599999996,286.472868,285.008934,277.209398,266.242132,257.484956,252.642512,250.64231400000003,250.984222,249.367596,253.37264,266.84924,278.26457400000004,285.55257400000005,305.98190800000003,313.912862,335.63008199999996,341.48214,365.49070400000005,379.55618799999996,417.658758,418.024422,443.269088,434.21852600000005,436.05784400000005,394.19852,368.395126,326.530898,295.543724,241.19631,211.749868,183.90448999999998,159.24611800000002,136.66874199999998,126.984432,123.79055800000002,118.25529399999999,111.13579399999999,113.761568,119.40703799999999,117.12365400000002,114.922652,111.767218,100.740689,84.1655944,68.3884194,51.069815399999996,35.57821488,21.71229388,11.23373248,3.97770748,0.6499654800000001,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canary Wharf,38584.13205460001,10.9649082,22.1274182,34.6293476,56.6490436,83.0462892,108.47962140000001,144.0648534,190.919552,233.730236,283.259966,346.130726,434.555184,517.7538059999998,569.822586,576.99058,575.16572,507.021126,422.517012,356.273686,319.244432,278.001124,255.105,242.103806,238.37553599999998,238.35525400000003,238.69664200000003,246.24937000000003,258.624562,267.33375800000005,264.262252,265.714266,274.04474799999997,279.491398,279.62077000000005,293.571126,307.51098199999996,320.846046,330.220416,362.449694,390.788054,420.56842400000005,447.74133600000005,532.217436,611.0530660000002,732.9460820000003,863.9273019999999,1128.7089540000004,1337.40296,1579.9270800000004,1730.7497400000002,1894.57888,1858.17852,1821.59648,1664.2491200000004,1525.7148000000002,1294.72344,1122.9397680000004,900.2577279999999,750.2379720000001,613.0813420000002,529.067082,434.97947400000004,392.523448,347.30756,312.4767980000001,283.554398,273.78920400000004,255.689694,230.00285,218.699362,206.81134,182.416656,159.808872,140.463174,117.326254,94.0275994,65.15479739999999,42.1659374,30.4263234,11.9299034,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canning Town,26192.281902999992,47.232976,100.705756,190.448816,288.594464,364.288078,472.63351200000005,561.964732,631.771732,646.700438,709.814666,741.9599860000002,809.880586,809.5405260000001,873.9818220000002,874.0865300000003,858.8269100000001,744.4287899999998,677.6193220000001,570.583572,480.895288,394.841298,342.31771200000003,310.153472,300.164752,285.45853999999997,274.49277000000006,292.741956,283.65870600000005,282.2007660000001,271.106652,275.73726,265.383086,271.652784,260.762558,280.546984,269.9595,276.79303400000003,261.04227599999996,296.517942,285.53456200000005,301.2739140000001,323.92644,354.875678,372.35672999999997,412.628026,448.51475000000005,459.084794,490.23411400000015,475.15560200000016,480.91665,464.45731800000016,455.700908,420.096304,409.031676,361.13389400000005,318.89902200000006,278.421976,245.82717599999998,198.469238,176.50683200000003,155.84915800000002,138.625226,122.6647,118.889305,109.0091618,104.404397,95.3871298,91.38178179999998,80.41263880000002,73.9531844,70.33071120000001,66.47826520000001,62.086351199999996,57.331187199999995,53.88362020000001,43.048688399999996,30.621779600000004,19.408431600000004,11.3094796,2.6705522,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Canons Park,64.58676928078019,0.034236788000000004,0.039186101,0.118419941,0.34138960100000004,0.450767681,0.541274933,0.8719313399999999,1.0281922,1.27867854,1.4022158400000002,1.7732096800000003,2.2942980800000004,2.39604778,2.21640106,2.2328582600000004,1.7575768859999998,1.125176426,0.8232100400000001,0.64436848,0.4956565940000001,0.6449443880000001,0.553460848,0.7494946140000001,0.7926680740000001,0.754238634,0.638857578,0.5839865679999999,0.5013209679999999,0.45299345399999996,0.4522835760000001,0.5188328120000001,0.5903159620000001,0.6308107820000001,0.6131370279999999,0.8064279120000001,0.977214492,1.114811512,1.12184896,1.212454168,1.117442368,0.992133368,1.6648846880000003,1.93099604,1.883310194,1.862514094,1.894538894,1.3070034540000002,0.959342694,0.948841272,1.0572332320000002,0.917396916,0.9256504759999999,1.0878424960000002,1.242646864,1.160952484,1.20407554,1.05662234,1.04156638,0.8120123960000001,0.7140776760000002,0.6890224559999999,0.4766098240000001,0.21484475341201606,0.17951874541201604,0.11175155136927002,0.09361511136927002,0.12265250736927,0.18361183795725403,0.169129629776606,0.169129629418968,0.133117651418968,0.124181337418968,0.07366713641896801,0.10148492859961597,0.121984237,0.107306341,0.066582375966352,0.05613722890119,0.028319421367801,0.007820087367801,2.1367801000000003e-08,1.6401449e-08,4.4666110000000005e-09,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Dollis Hill,1082.5260307619994,0.0,0.28618402000000004,1.5754978200000005,3.4089836200000003,5.2446436200000015,8.60032162,11.2945333,14.9204421,21.772916700000003,26.1604177,35.1213497,39.40000200000001,41.1394798,34.9249506,32.407765999999995,22.550550200000004,18.236166200000003,13.9269538,14.3434894,13.364084400000001,14.3482446,13.512363000000002,13.6126192,13.641594400000002,13.597101600000002,11.827083500000002,11.327249900000002,10.8589705,9.9858633,9.356309699999999,10.075442700000002,10.496996500000002,11.645928900000001,11.8075947,12.9151341,13.286717000000001,14.7849844,15.2733412,16.1599045,15.6408337,16.4039451,16.1049297,16.890477100000002,18.0909058,20.9434638,21.444599800000002,25.222798,25.765710199999997,26.7428534,24.773997,24.236167400000006,22.105952399999996,20.7260014,19.7231518,19.1259582,17.805715399999997,14.734079999999999,12.64732954,10.298234140000002,9.34445314,8.67045938,8.44387444,8.1014959,7.43636676,6.52881156,5.9443857200000005,5.56170378,5.42021778,4.96627232,4.41724884,4.07426928,3.15188062,2.54239204,2.1515193000000004,1.96063136,1.68184776,1.83407316,1.4583488723999998,1.0506054124,0.7243514324,0.4341069924,0.007434732400000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Finchley Road,6166.382620199998,0.0,0.4360009200000001,1.3853474600000002,2.30877276,5.55876636,9.46783816,15.106440040000004,24.953333500000006,38.0985202,50.551660600000005,64.4574188,74.7902,77.363628,74.8982814,70.09997340000001,60.46412539999999,49.03716180000001,42.0409122,37.21444279999999,33.69457620000001,31.303949400000004,32.83291620000001,33.7318146,35.61258400000001,35.71807180000001,38.242038,40.6297158,44.2088096,46.7774902,49.512565,51.459526200000006,55.08781679999999,57.50944020000001,58.89134080000001,61.17063520000002,64.7312196,66.959337,68.565855,71.9430044,69.58981680000001,77.49534179999999,84.98191480000001,95.4925758,115.81284579999999,131.16929199999998,145.971542,161.906304,173.427725,184.501703,202.455326,217.92388400000004,224.744756,222.757202,216.670394,213.89085800000004,194.76000200000001,177.638598,162.77274200000005,142.95261599999998,122.745732,105.744204,94.06455080000002,89.22668879999999,84.12271080000002,78.9047108,78.92967680000002,78.242514,77.78761680000002,74.78042679999999,71.733292,65.30131920000001,58.89371200000001,50.3796292,41.029568,31.503176399999997,25.066276400000003,17.53566092,11.673203880000004,7.66182308,4.97807148,1.95816228,0.38892496,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
Green Park,19434.336194,2.7465212,8.210591,18.630829,42.304547,65.3274322,81.939623,111.6776132,141.78018120000004,168.09027120000005,192.441916,233.078644,267.059284,302.711678,308.096418,307.58622599999995,287.34398999999996,248.47082000000003,201.13466000000003,174.32794400000003,155.630494,147.207546,145.98966399999998,140.656196,142.239868,146.68401599999999,144.17509800000005,147.62942800000005,162.618066,166.81211000000005,165.166564,164.49429000000003,169.88864400000003,174.239974,178.842668,182.050098,197.426928,205.534978,205.931012,218.203498,243.74354800000003,255.85111400000005,272.21888800000005,298.342214,344.02546,375.554934,431.143974,473.537318,525.8357840000001,567.94587,588.663586,609.678806,617.867526,612.7802,573.029952,536.0114599999999,469.98664800000006,411.443982,345.4331860000001,294.57495000000006,268.350046,245.11042200000003,232.04451000000003,222.95405800000003,222.57354000000004,219.09748400000004,218.81856600000003,222.63005000000004,238.40422599999997,241.09802600000003,247.23201200000003,239.288178,235.55937200000002,214.602194,197.507646,165.46303400000005,152.139708,117.1045706,80.8127806,47.1944706,27.8643886,6.437182599999999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,NB
