Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500,Direction
Baker Street,6318.11662083,0.82091208,1.6084436080000002,4.2001482,7.32074141,11.47382745,14.497634422,21.044349814,27.543383642000002,41.646899332000004,56.070697171999996,74.83447666,87.05567314000001,94.43293484000002,87.12636928,78.1172876,63.47686596,50.031535160000004,40.055959400000006,37.52452036,36.862887656,37.849991182,39.758974322,40.868422762,40.916521942,41.163620246,41.218362139999996,41.75692748,43.30267924,44.37063536,44.14619196,44.7152841,46.36431966,48.1200497,50.58942836,52.39289556,55.53787638,60.43223154,63.815195540000005,72.64990878,78.91816936000001,84.30731448000002,89.35094717999999,102.47439317999999,109.10122964,129.168564,140.12831512,159.93138842000002,166.08844828000002,178.27499072,173.46485592,182.44126040000003,181.2258296,185.29367814,178.02100918800002,177.01492084800003,160.994600848,146.077472688,128.598243642,118.99864019400002,106.852946694,102.26626093399999,95.85329377400001,93.85456628,91.53289088,89.09608878,89.08907242000001,93.08284454,99.47154948000001,103.94067682000001,105.98115498000003,103.08091978,101.08835144000001,93.80376256000001,84.09487878000002,70.72284020000001,64.40290786000001,48.9607418,31.699909279999996,17.51398312,12.176375740000001,3.9612693999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Bond Street,12348.873582700002,0.0,6.0344089400000005,15.793200840000003,31.50310894,47.97831094,75.52174534000001,98.1923711,119.5675334,135.24924670000001,154.01823790000003,162.50863049999998,173.8855236,178.8157852,176.48129400000002,157.4878418,138.1489532,110.11254592,87.24678992,71.95626612000001,72.59154092,70.82113792000001,71.8015704,72.53424691999999,74.44606712000001,72.34007944000001,71.66434444,72.73203423999999,76.89824582,77.17611802,78.88772990000001,79.69792430000001,85.4093067,86.73113511999999,91.87719192,96.95160052,107.02962832,111.79937012000002,118.38443700000002,126.23797266,142.55894566,151.68216222,161.60898582000002,183.81411642,200.62372216,221.29038576,249.5196176,288.7226198,328.115596,354.47135260000005,382.5757724,397.897874,402.67713660000004,378.03551329999993,364.05026530000004,327.02908350000007,295.18911742,256.21400162000003,236.96970652,219.53272612000006,210.31316782000002,206.1553714,204.03490612,199.10311682000003,198.03771622000002,196.62272792,195.52382572,202.36518459999996,209.30767256000001,211.9943407,204.36339038000003,187.33087582000005,167.35227686000002,145.18610791999998,117.62174946,95.68148414000001,78.83533774,56.8324741,33.27151278,18.5155785,9.08441754,2.2481706000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Canada Water,15966.648252800003,0.0,14.746436600000001,36.4161306,74.23479859999999,112.9098106,183.12095720000002,248.13173660000004,327.32727120000004,407.2097326,495.3980852000001,560.9807706,602.6825646,598.799228,556.5990426000001,503.769542,439.894744,377.4190050000001,336.76406299999996,300.3283516,265.9694576,228.0156656,206.04795399999998,189.2866352,194.8682678,191.1138728,195.60857400000003,198.8324366,202.507081,193.82509320000005,191.60692260000002,188.9613586,182.636366,171.66865360000003,168.31930220000004,167.33135320000002,168.531098,168.9705472,169.28830200000002,177.36826259999998,186.9342446,192.85951799999998,201.77789540000003,215.5433378,218.9116324,230.49555220000002,232.75645600000001,249.74631599999998,263.65827640000003,286.2046072,289.424214,305.7348208,300.2445588,296.30531500000006,269.1210424,250.7649404,221.8748712,195.0910368,161.3091068,141.6402726,121.26372200000003,107.55693120000001,94.552013,87.04957160000001,84.94723240000002,82.5556866,77.2050682,76.8633742,77.8708326,74.8388472,71.67945540000001,70.11664900000001,64.1593034,54.1864772,43.65505172,32.11279136,20.112168160000003,11.428106360000001,5.349368559999999,1.25811344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Canning Town,15212.170488920001,13.880838180000001,51.94347392,102.60697832000002,132.24441231999998,186.97450834000006,248.56796314,287.91580319999997,298.0033242,338.1208464,367.69135028,397.10021388,405.16828288,433.13713888000007,446.98500148,440.3670092,402.87978259999994,367.71320030000004,327.52746030000003,285.91794490000007,240.4549933,209.63442910000003,191.57192200000003,178.38515840000002,168.2121217,167.3278331,165.89817284,173.00266984,170.20193916000002,175.52283046,169.29540316000003,176.37015702000002,167.53581452,170.4101252,164.40217520000002,176.2880545,168.87441716,176.18021786000003,180.3168968,198.8480634,205.24408440000002,223.48023773999998,234.54033454,261.1246246,262.808905,289.69446680000004,308.1824806,331.79209660000004,321.36624330000006,328.1124679,311.4812826,297.9748174,264.7221068,256.3336455,240.33847930000002,224.3348734,194.85072159999999,179.80159000000003,153.12740380000002,130.9354428,105.64610300000001,96.77244938000001,86.79522434,81.96839026,74.43204607999999,70.22267054,64.94081656,62.265,54.64773986,51.317970720000005,47.766365640000004,45.881710940000005,42.08371074,41.92052326,40.03969878,36.6021317,27.9056316,20.1633922,12.117247899999999,4.9564333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Finchley Road,4617.994754827001,0.0,0.33913949,0.8285842632000001,1.5138217414,4.8547072854,7.469827305400001,12.6908902154,21.4347074422,31.315485164000002,41.73095562,52.6276196,59.72636779999999,60.2142596,60.8910396,55.06189940000001,47.1903492,38.48486770000001,33.7482966,27.0920352,23.825752660000003,21.177410180000003,22.27916328,21.618540959999997,22.685679560000008,23.0150735,25.30350486,25.759287879999995,28.42395104,29.648533320000002,31.120330860000003,32.346108720000004,35.29287638,37.23632304,39.05553956,40.735939959999996,43.26238042,45.12828334000001,46.022870940000004,48.42768754,50.3453854,57.22863694,61.686309439999995,63.69984203999999,79.19552824,91.48482003999999,98.9208345,111.68040059999998,132.5655298,139.98373859999998,159.1501,172.99221740000004,185.98732460000002,180.86110340000005,181.52241920000006,164.6970795,156.2455381,132.90333716,123.65525728000001,101.77670318,92.09972064000002,79.83435446000001,73.82067760000001,67.52493172,67.57572318000001,63.95681516000001,59.98382298000001,60.43541927999999,59.93122898,57.272865259999996,54.87354934000001,51.356835460000006,46.900905959999996,39.15064152,31.93317186,23.330477100000007,16.69500878,10.483700240000001,6.682882339999999,3.70897976,3.3163445000000005,0.9645020600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Green Park,13887.594296230003,2.48993864,9.9762839,19.45978594,41.42786614,63.031247640000004,84.37972496,111.16883554000002,141.4875637,166.0128659,195.3870812,229.77241823999998,265.6399353,292.26979570000003,297.25494130000004,287.8271545,263.74519736,221.54298486000005,181.64469672,153.95738664,137.38359450000002,130.25005164,127.33923324,120.28680246000002,119.39715194000001,121.17788696,116.50987636,115.16588052,123.80386623999999,127.89631674,123.96788386,123.93836366,129.7750147,131.42290910000003,134.08408260000002,136.05120440000002,145.1969358,147.9531428,147.8947676,154.7449718,168.98528800000003,171.04131980000002,184.38468560000007,202.94257600000003,230.7788726,261.9066216,301.1945218,334.36581300000006,374.37175719999993,395.1754698000001,402.9392336,410.0422266,406.25713400000006,386.8553028,361.9967434,335.2786268,293.2606158,254.5615386,216.01743220000003,184.92095488000004,162.54222388000002,151.87868208000003,140.46422578,132.38161338,133.6610915,136.34134384,132.96442204000002,136.36362454000002,147.655064,147.904355,146.35911426000004,150.18413538000004,141.19098118000002,126.48111812,111.93873192000001,91.24188106,69.5397671,51.369545686,32.543808086000006,16.367057086000003,7.098473146000001,1.130661986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
London Bridge,2750.82827664,0.143586468,0.371051168,2.334021768,3.6422198280000004,6.265308288,9.629223419999999,13.493924920000001,18.04780452,21.90553046,24.043482600000004,28.1510348,33.977740600000004,41.56712780000001,50.315351,55.9921842,60.07074780000001,58.34491440000001,54.0411984,47.954766000000006,44.948606,41.9711358,41.077656,38.490550400000004,37.48061020000001,36.89249720000001,34.525615200000004,33.85672,33.385858,34.1417814,34.1603725,34.885753699999995,35.71081430000001,36.9017731,35.4619685,35.614636600000004,36.2473976,36.386444600000004,36.1941992,38.063891,39.227772400000006,40.5704482,43.2631362,44.4444578,47.5283238,48.8573266,55.0205654,55.8169776,66.3874038,65.83744279999999,72.8941684,65.8407486,68.1205726,56.5066906,55.996009400000005,46.829103,46.01438660000001,40.1720218,37.779819800000006,35.1186482,33.1646616,30.729311200000005,28.6328859,27.5676335,25.5990567,25.741052500000002,26.5938947,26.514463400000004,29.4403736,29.9316794,30.606919000000005,27.119925300000006,25.59614336,21.51452296,18.14576642,13.58167632,12.651880539999999,8.83018848,5.5622200799999995,3.0426102200000003,1.3458881200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Stratford,28513.04971968208,50.048695146,140.29844303800002,200.396379814,293.398660254,515.280594874,626.1315685516,662.6791722868,709.4816663047999,758.6286306600001,630.700912462,634.0810252504001,706.0853027432,787.4306197252001,773.7125267900002,790.4307951420001,734.7269939394,619.5519019714,476.90501130340004,403.2913332334,334.2642525734,298.050285142,261.9821442074,263.33397213940003,257.0026304894,249.6731901974,242.98295448540003,252.81410608800002,258.841478128,267.087369468,261.10165496,281.92775974,288.24421468,313.54507545999996,310.79877756,324.88928626000006,317.5478352,326.11553436,299.785654736,297.830928056,299.904554636,323.686508856,341.919597546,359.40098631,401.95898136,430.25671776,451.4276133,483.61439785000005,518.69505225,562.28023398,618.0787199,654.18956602,622.5955843,630.96922224,568.7255404,490.71889442,404.53939938,376.580436494,316.569416214,289.714513134,277.06282735400004,274.905770514,252.64936492,248.68897,239.05781950000002,227.44345206000003,216.27369739120002,214.1107832312,204.35620654120004,200.4905552012,173.57999424789722,152.73784258469718,134.0621077666972,104.3219670166972,79.78203701669719,63.23253136525236,43.350314797252366,23.30473881525236,13.886152115252361,2.84729319525236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759443200000001e-06,6.759443200000001e-06,6.759443200000001e-06,NB
Waterloo,1103.4779140179478,1.2963623240000002,3.556500304,5.342881225,8.367096165000001,10.133172625,11.378194236999999,13.412789039,14.375837656799996,16.976462532800003,20.261813442800005,23.9775632068,28.190248944799997,32.906633038,34.972595978,36.198847288,33.599073419999996,26.879304758,21.391421682,15.225625292000002,10.892662884,9.017567968000002,8.7422755208,7.9590675828,7.705507432800001,7.1015669608000005,7.0146778248,6.6597909060000005,7.243750162,7.586182992000001,8.211051736,7.901567036,8.850378484,8.453172146,8.921167120000002,8.494536638,9.229932428,9.067994405999999,10.188444144,10.1783046584,10.838760452999999,10.273954440999995,10.704681594999998,11.490717715,14.0853770974,16.3490400648,18.597547308800007,22.811672879599996,26.361564214599998,29.919902711800002,30.488995345799996,33.125449071800006,31.383950010999996,29.691475231200005,25.0791314424,25.1717018536,21.6443562186,18.737036668600002,15.685699491400005,13.2517778288,10.282547225599998,8.675136763800001,9.335684693200001,8.6143800246,10.780352919999999,10.161447263000001,11.126890086599998,9.8056338882,11.190763246,9.7181591334,9.780123109400002,8.924292468600001,9.008038454695448,7.3585162342954495,6.727555820389555,5.866268727789555,4.913017999789554,3.549602250694107,2.441259009894106,1.2003836784000002,0.463047186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
Wembley Park,4957.318124271941,0.31238372999999997,0.66004617,1.51706517,2.95497233,4.8043767420000005,6.296531812,10.454470172,16.751145572000002,22.178140612,31.0135192,36.0402804,41.806957,45.847515200000004,47.2328698,41.4129214,39.0910712,31.4265866,23.5161256,17.578077060000002,16.623397920000002,15.65736446,16.373542139999998,17.005496739999998,19.142397279999997,20.76846482,22.51275448,24.2370336,25.496178200000003,27.7491092,28.514734700000005,29.7390179,32.411411300000005,36.0998701,38.1016769,40.9948672,45.0393652,48.7543682,52.3724956,54.9238614,58.65625599999999,69.7004076,74.52531880000001,82.22430440000001,95.70843520000001,111.87706580000003,114.77942499999999,131.2750636,151.2282658,177.6830466,200.10381420000002,233.23985820000001,247.85462619999998,257.4506894,249.60623779999997,219.43479780000004,187.57329720000004,157.8926788,126.5184748,97.6581972,89.70393868000002,77.20425108,69.74243868,65.17103928,61.08296202,58.012013280000005,51.665689,50.417530560000024,44.731478960000004,44.28871701999999,41.669512579999996,41.499510459999996,39.47332057999999,36.08012896000001,31.544989079999997,24.15867949,19.466834626,13.68341127,9.453351072388001,4.029935352388001,3.7152650423880003,1.645582506388,0.47482118238800003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NB
