Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Baker Street,15934.7232942,3.8631106000000006,12.3216846,16.4463782,34.59325320000001,51.5150684,66.6332914,86.89801740000001,116.4608938,153.3722788,177.6859248,226.778954,278.758254,319.390504,330.96948800000007,353.3613640000001,343.07515,315.096756,285.6195019999999,256.191794,231.83807400000003,218.96636400000003,200.66978200000003,188.16661600000003,184.461164,181.24782,177.37424600000003,186.607316,198.14635600000003,210.96997800000003,216.66211,220.028428,219.420628,218.084172,212.98467,213.31395200000003,216.65133000000003,221.178462,226.673072,239.696328,252.844258,264.22517200000004,277.1864800000001,283.5135400000001,299.7400100000001,311.8284500000001,337.840058,351.850158,390.19712999999996,397.279148,417.9199200000001,406.850176,420.461502,391.886336,374.06072,334.653608,310.935444,264.10107200000004,231.57087599999997,202.918126,182.28104600000003,160.592554,143.93132300000005,134.354422,126.80086000000001,121.364006,113.913746,108.17748200000001,102.397331,95.846775,87.790187,80.69700900000002,77.121656,69.247976,57.83761000000001,46.85093360000001,36.1590888,23.3702424,14.995710400000002,9.4286124,4.9633108,2.5666936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermondsey,3877.866767400001,2.7908868,8.7048174,12.4587282,16.9709962,23.0996514,29.926554600000003,35.769178000000004,44.574118,53.02045800000001,64.75144780000001,71.320079,80.776943,90.6665522,99.81092220000001,102.5452412,105.46437120000002,99.0639052,87.010058,73.0443946,60.75827460000001,47.4325398,38.00801240000001,33.373824400000004,32.471356199999995,30.644443200000005,31.184205400000003,31.7032778,32.885655,31.1250834,31.114388399999996,30.749267200000002,31.623973200000002,32.278659600000005,34.4021814,34.72891420000001,36.69330520000001,36.34961540000001,37.318683,37.31489740000001,41.15738320000001,53.68922000000001,71.25986280000002,79.22245079999999,91.9504118,104.958386,102.1194388,96.4839008,105.6912648,104.80058079999999,103.047262,102.77780300000002,105.014181,92.14638180000004,86.8423858,75.55223620000002,71.1875692,58.35538460000001,51.400044799999996,43.671215000000004,39.1887024,31.3623508,27.8616928,27.3502064,26.749486199999996,25.535498399999998,24.76791,25.0820966,24.2279004,22.39595360000001,20.931391,19.9595518,19.9428318,18.516848,16.021585800000004,14.569446200000002,12.37587694,8.84023924,6.45197808,4.98144508,2.9906872800000004,1.77242374,0.73344144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bond Street,24532.951946120003,4.553527880000001,15.31792688,41.43088088,62.88088688,88.01338759999999,116.726665,147.792722,167.30361200000002,194.737762,218.11734199999998,233.58781600000003,265.587572,294.46667599999995,322.29008,329.89441600000004,348.333572,345.528544,316.336482,280.06831800000003,266.395052,249.509652,224.434556,215.405848,215.50231000000002,217.853472,210.961812,213.99254399999998,226.27036600000002,238.54337599999997,239.660552,248.023956,250.05942,261.325054,264.582312,280.227352,295.9076520000001,314.120768,323.1741140000001,338.086156,349.7424000000001,368.70816,388.36142600000005,413.108356,456.61800800000003,498.54,541.275718,586.142784,666.751934,720.2938019999998,781.6692160000001,821.2325579999998,864.8581920000001,822.5292720000001,770.2846840000003,687.6079020000003,610.779758,519.904942,450.24991800000015,400.85003000000006,368.30738600000006,336.69508200000007,298.548672,307.793704,289.2723680000001,272.803388,254.36163,247.49996400000003,224.77736000000004,214.11223200000003,196.620052,180.013818,172.194692,143.6327752,118.14420259999999,97.1989526,80.4057026,52.53578180000001,32.3241546,20.613979200000006,12.7790492,5.803427200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada Water,11560.450407699998,4.745282800000001,16.032105400000006,32.064684400000004,58.8129904,87.47774240000003,118.54990959999999,147.07364700000005,181.142508,211.861062,239.04670600000003,262.22116800000003,295.38308200000006,309.151922,309.320468,302.6490320000001,296.397964,261.445512,229.53168600000004,193.006646,168.40310000000005,134.012668,112.593188,97.314952,95.348184,90.72907,91.299902,94.044108,97.856482,100.923218,102.46619799999999,103.994718,106.175823,107.30263899999999,106.6526138,102.8858018,102.9610598,103.7981928,102.51734880000001,100.215114,109.75136,120.828004,136.70619000000002,165.718894,189.045348,218.82312400000004,251.032114,285.52797799999996,320.13141,348.03232599999996,369.11567599999995,369.175448,362.33461200000005,327.45531000000005,297.294308,249.374898,216.08407000000003,172.89908799999998,145.388586,126.348148,113.314564,99.998798,91.696311,84.475497,77.768137,75.333147,69.46575779999999,65.06043079999999,61.331316799999996,57.20943200000001,51.79474400000001,48.30349480000001,45.23335720000001,41.60447200000001,34.3868404,28.356147600000003,21.10525416,14.64531282,9.10237354,5.86524594,2.56877074,1.91446858,1.4411435199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canary Wharf,12319.184516999994,2.1892810000000003,6.154861800000001,14.1216946,20.023166000000003,28.618109999999998,32.819251,41.1132702,48.28670840000001,56.995975,63.350953,73.207723,76.8881818,78.87477679999999,79.16120480000002,79.18875880000002,75.90354800000001,72.40367480000002,66.9767676,62.2195826,58.546419400000005,54.83068760000001,51.9828872,52.607178399999995,54.283528200000006,58.57836339999999,63.771349,72.35777700000001,77.6375598,87.06701100000002,90.336499,98.29459399999999,100.7255988,107.94320600000002,109.680172,122.38993799999999,127.37661399999999,138.523552,141.93021199999995,155.306622,156.22358400000005,170.196108,179.454196,217.335056,234.07802200000003,279.49341200000003,302.940014,394.73861,453.81377599999996,546.392682,590.2579479999998,657.4277159999998,629.569928,602.3390420000002,528.505012,461.818476,380.556202,325.718946,270.619816,230.84382799999997,206.038466,186.04071000000002,161.47276000000002,143.26753200000005,132.63227,122.38852,110.69883600000001,108.972998,99.0816628,94.84499879999998,90.6757358,84.82326180000003,67.945815,63.402563199999996,50.8550576,42.0395272,33.600609999999996,30.502661800000002,25.5993518,20.947771399999997,13.892192800000002,9.160397999999999,5.311185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canning Town,10332.626324940004,8.796635400000003,10.38106248,21.00839248,35.94312848,49.58444648,52.60727108,76.407668,90.742519,112.425331,138.70443899999998,187.72191899999999,214.085899,248.68638200000004,247.24446200000008,240.68511400000003,204.49733799999998,174.56857000000005,141.17930600000003,126.978482,112.0849592,111.61038520000002,103.0468552,92.06747520000002,89.64692320000002,92.414088,93.96086600000001,101.4790868,117.5080128,121.0379558,131.2719278,128.8510848,139.364652,132.738742,143.215439,136.411559,149.995126,142.859022,154.11354200000005,150.33323800000005,174.520038,176.50195,195.922496,213.997888,246.48242,261.434634,275.82535,304.037594,323.00038000000006,322.6819880000001,321.336002,322.98312799999997,299.759976,262.746218,241.762668,199.8784028,173.05233080000005,143.02222880000005,129.1412688,101.70671620000002,94.6353462,80.28117020000002,74.01441080000002,62.10367880000001,61.84244620000001,53.517777,48.679179,41.66101679999999,39.490304,32.048729200000004,33.6402084,30.0444842,28.9862194,25.1908886,22.3559866,19.109792400000003,16.277695,15.8275262,12.6602654,10.819351308000002,7.296530708000001,4.8393523080000005,1.1009815080000005,0.15000190800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canons Park,3347.47737551,9.372908,19.3791412,31.821192200000002,44.9965482,57.88741420000001,76.4306732,90.974814,102.55330600000002,118.514738,132.740769,146.648441,151.476881,156.53987,146.240126,131.040776,111.82344400000002,94.55636800000002,77.80347480000002,68.17247780000001,57.38172520000001,51.39109580000001,46.8883098,42.32617220000001,39.6557224,37.9603404,34.380971,34.051481,32.927283,32.3568374,33.017166800000005,32.643253200000004,31.086531200000003,28.73524440000001,28.176596000000004,28.442982600000004,28.6713662,29.7801974,33.458219,32.967553200000005,31.809805000000004,31.3788416,33.22880720000001,35.630129200000006,45.83540780000001,50.80612120000001,52.20015000000001,53.10248780000001,52.68923180000001,48.64449680000001,45.20071480000001,47.95176020000001,46.0617226,41.358967,34.184261799999994,31.9506246,24.307725899999998,19.0429929,16.068109900000003,13.9593209,11.3637742,10.4383425,9.322533900000002,8.394102420000001,8.04866842,6.68098132,5.8182033199999985,5.42938464,4.9721535999999995,4.23715136,6.5510139600000015,6.17553456,5.91483682,5.122811932,4.6840973319999994,1.555572676,1.1316968220000003,0.46791784200000003,0.36413985,0.09040389,0.029964346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dollis Hill,3994.74937696,10.2700208,16.855698800000006,23.841134800000006,34.265445,46.49847020000001,57.604659999999996,75.70456,90.875672,112.92778,126.82928799999999,148.24427,149.406662,161.325514,145.73204199999998,144.98724600000003,127.46849000000002,120.32419880000002,99.08804880000002,95.14649580000004,80.7649978,75.1736138,64.15465800000001,61.9195294,57.0472424,53.99402280000001,48.075978799999994,49.2341132,47.1633742,45.5628752,44.4120498,44.901348799999994,45.817572,46.751641600000006,46.190493599999996,46.6638166,46.2257864,46.81129979999999,45.37050500000001,46.87044600000001,52.38089000000001,53.07542720000001,53.92882440000001,56.201404200000006,58.5069488,57.1774458,56.90050740000001,61.3454242,63.80316420000001,67.5977046,64.4252804,65.93635359999999,57.6218948,53.8508618,43.2453082,39.905025,34.29681660000001,30.65347060000001,26.151307600000006,23.9531406,20.491349600000003,16.4349506,14.6191674,11.711516699999999,10.2052335,9.1039567,8.57732024,8.074461040000001,7.936052,7.213095880000001,6.2782654,5.34830126,4.63221516,3.65796546,2.83366414,2.09317406,1.755098772,1.104724072,0.6412525120000001,0.44698475200000004,0.132365512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finchley Road,18731.57055024999,4.198188200000001,17.273250199999996,72.2117762,119.23208819999999,217.8977732,299.065742,385.19662400000004,443.054728,530.6048880000002,580.8546140000002,698.334636,763.159452,801.580694,771.0367220000003,739.6014500000001,623.2253599999999,552.731264,467.87193200000013,435.909666,375.323106,355.8280900000001,320.377254,302.710834,278.58996800000006,266.628668,249.090268,233.88653599999998,232.50656800000002,229.629924,222.33627599999997,217.90139800000003,221.41279000000003,216.07634199999998,207.51098800000003,203.590264,198.35046000000003,189.54964800000005,183.511182,185.79005400000003,189.687742,191.021638,199.198078,207.365396,222.286008,232.291366,242.994582,248.38243600000004,260.43953200000004,275.69147799999996,302.0217560000001,308.46337000000005,319.968266,302.78406400000006,270.499484,220.59649200000004,192.15628800000005,147.41159199999998,124.276122,100.8969568,88.71034079999998,72.26658540000001,63.2899194,56.941688600000006,54.565929800000006,48.29414980000001,44.2212372,42.92024520000001,41.916385600000005,37.01794699999999,34.8434382,33.696686,32.803017600000004,27.862669,26.3879594,21.23454196,15.51163345,9.21124745,5.6617064500000005,1.12155865,0.5720928900000001,0.4454576000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,21863.19935280001,13.258740200000002,29.334488200000006,48.737064200000006,78.49979820000001,101.221691,126.87482,160.45754,185.119594,201.974752,219.823378,235.615764,251.28708799999998,275.547006,285.782054,293.00768,299.16647400000005,281.975142,257.216064,237.66903,218.33557,200.490456,189.65920400000002,174.554954,177.42131999999995,181.156926,179.515094,185.56233799999998,199.30456999999998,200.720148,207.03724000000003,212.702466,212.325752,220.38598,223.35437599999997,227.91581800000003,242.395702,253.34216400000003,256.731104,273.33062600000005,300.6673120000001,317.353762,334.114702,375.661654,392.916026,419.330366,460.101082,506.63011400000005,556.3656420000002,610.5496919999999,662.1240520000001,686.471622,712.5049240000002,680.4314320000002,644.5048260000002,570.2869139999999,512.953954,439.52189200000015,383.18371,340.585706,317.09353,284.21625,258.96045200000003,249.163246,251.04985400000004,246.466138,242.545958,240.989636,241.639658,234.49437000000003,225.97344400000003,224.830852,226.295794,207.047942,178.72370880000003,153.51670880000003,127.32417080000002,89.09558380000004,62.47821620000001,41.9915494,24.971239399999998,7.7506694000000005,1.5110224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
