Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Baker Street,27741.1955152264,4.351159774,7.3900081982,16.2484372882,26.629605014200003,40.9805086902,50.5859348742,73.639584728,95.93872066600001,141.36975937,186.68358211,245.085012054,281.62937424800003,307.15026808,285.40548347000004,259.854740914,220.314234706,188.771096254,164.456853814,163.375059814,165.903351394,171.064935462,174.71904212200002,180.287964622,183.374025502,188.563784158,192.940412962,203.46206795400002,212.441663174,224.94117833800001,234.324471902,248.675771856,260.61597132400004,274.70304971400003,285.99740361,297.20035514,307.751714868,325.699993208,340.022107246,375.155501258,400.348511388,427.60047206,457.49774616,509.143286332,537.53234458,603.9669277300001,643.06348321,684.3182000820001,689.272755682,723.020723702,704.528152632,724.9178871240001,723.060851272,749.812941272,722.64692973,716.2907561500001,667.597332678,629.868761546,565.32201458,534.419451262,494.004214502,471.95022160200006,441.122137214,425.5882535,409.96311156,402.96711782,400.29729972,418.69756936000005,447.89868128,472.85289730000005,481.4753782000001,472.92796150800007,462.13783512800006,419.8114147200001,372.12000994000005,310.38653146,268.111208272,208.663506132,150.44734836,89.2418847,60.03447164000001,31.3107176,7.252015400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0851334000000008e-06,3.0851334000000008e-06,3.0851334000000008e-06
Bond Street,49291.79359695705,11.193612584,33.912212898,66.819785602,112.823366542,166.955295776,243.48442207800002,309.498117464,376.38353426000003,427.56442716000004,477.16099934000005,507.05382706,541.88075016,559.10625196,557.6117263000001,518.5644779,484.30722099999997,426.5400674,373.18008282000005,333.5447107,334.91979302,327.44447666,325.96017328000005,324.95701142,341.02414014,346.13757586,349.92134002,356.3672211,374.69799294,374.8927808,386.98396826,398.4352726,425.1305338,440.1099625,467.1560893,484.37552228000004,516.5886462,534.1572239200001,557.3723334800001,583.54376744,643.90491526,679.95887682,721.7909322,801.3764690400001,866.10511462,929.83606262,1021.654521,1137.6962462000001,1256.588424,1335.9953695200002,1414.72034252,1446.0612551200002,1462.7789291200002,1380.85090302,1333.3736938000002,1227.77110964,1134.08546412,1002.9602663600001,929.9739849,854.0812547800001,808.0141885800001,767.06989608,746.5907890999999,721.8678688200001,710.6829658600001,691.34473186,686.29181374,692.71254406,716.8680829000001,725.5848255000001,713.19269178,678.7781846600001,636.93633056,562.46504164,484.571474334,411.771291498,341.344279318,268.331476818,198.28795043800002,162.346332584,129.65879980000003,125.49044026000001,109.29125918,116.42136672000001,97.82254993999999,106.9718523,80.20598693000001,66.83446263000002,42.39398763,46.649468389999996,32.880270290000006,46.888558943999996,52.677402466000004,61.12298885654,43.944362076838004,31.928657916838006,16.233573812838003
Canada Water,69202.47650107437,4.8811202926,64.5431766926,127.3701494926,238.64427415400002,349.123392474,532.2703126,683.992053,880.1971634,1057.9617282,1252.8357824,1410.6838686,1530.6698036,1554.8278096,1529.1016124000002,1486.2362726000001,1412.1865232,1303.8865674,1259.2664074,1193.1064592,1149.7306472,1063.6120844,1046.9109292,1040.249331,1092.6838568,1074.45534,1111.9659648000002,1127.2610062,1140.4388038000002,1107.7344604000002,1129.6472598000003,1129.6356964000001,1133.2340663999998,1097.093732,1088.2290354000002,1068.8461142,1070.3393706,1047.095323,1027.4587864,1030.9718208,1048.2797810000002,1053.45073,1078.7594178,1124.9449048,1145.8781938,1174.7232052000002,1176.9017594000002,1205.281844,1238.7149976,1291.8774888,1296.6366874,1334.463537,1332.060919,1315.4305898,1233.692346,1173.1828562,1077.8477684,969.7014496000002,841.2268528000001,741.090012,641.5171068000001,562.38257,495.3270036,447.48659840000005,422.4612454,397.4019208,369.8210958,365.4727524,366.4350438,357.6722834,352.41103250000003,353.50707350000005,332.51557122,301.38240570000005,257.38989304000006,205.4595394,143.33330474000002,95.82516976000001,54.59812946,28.841090002,16.900037740000002,16.0328357,13.253978989,11.346456241,12.66686155,11.365903558,9.405412317999998,7.018337497,6.765187867,6.061698872000001,6.563093550800001,6.5910365974000005,7.5731765414000005,5.91204806054,4.79290761354,3.18577212874,2.2774804221399996
Canning Town,70402.66921039,59.0665535,171.93740872,324.94080332,435.25763351999996,611.1941840400001,798.25929982,929.6227646,991.4136756,1105.97091348,1195.30043168,1268.83957858,1294.39147368,1365.9119416800002,1423.2442311200002,1422.44924964,1364.25290954,1296.0283593400002,1230.4960037,1155.4051048600002,1075.56539888,1024.53309878,1019.3856031400001,1000.2609977800001,993.4978516000001,1001.55610418,1002.0172804800001,1029.40318422,1030.9358965400002,1047.89613412,1038.62634832,1070.78838812,1039.98533102,1044.6824288,1024.85806344,1058.8967050400001,1038.26062604,1072.4014085400001,1085.4449134000001,1149.88514204,1175.30506082,1223.70360062,1250.2222766,1332.7491262400001,1324.26487432,1375.90200854,1413.32974914,1476.8209429600001,1440.74866418,1469.09530468,1435.0221624199999,1407.02613958,1300.9744053400002,1266.5323540000002,1188.0389564800003,1110.5870607400002,995.12939042,920.92688466,811.51524426,726.94775272,628.3986614,576.23048148,524.1562107000001,485.40137408000004,436.56017274000004,410.9805908,382.39215063,368.10664911,346.38565817,330.12792323,317.53187413,296.84202526,274.84979624000005,254.99735402,231.34811086000002,190.45545584,156.65128636,113.63871904000001,71.508839388,41.145393228,19.578526008,6.602716808,1.073857248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finchley Road,16053.126312516259,0.0,1.7673219796839998,3.947343763652,6.379466313252,17.003696851252002,27.158301331252,43.928333911568004,69.97586502760001,100.19714477600002,131.564676058,161.67571391,183.56635005,188.10213615,191.07334303200003,175.83565979200003,160.05531792,138.20476362000002,128.64092,112.12523592,105.72982652000002,98.67655678,101.15419034000001,97.36460542,101.77548210000002,104.32381918000002,109.72666728000002,112.1369892,122.22682994,128.99682256,136.57065306,143.71404972,155.75280946,162.40776330000003,167.93525442,172.18907376,180.74401142,186.01090040000003,192.26472296,201.36447124,207.23384868,223.96426604,238.8762951,245.85209509999999,290.12680564,330.4786922,357.69894030000006,396.2219146,458.18803765999996,480.89873832,516.7885964200001,540.0127599400001,560.4502428000001,546.4333153,540.17620418,500.76572554,479.64031018000003,420.29881416,379.9591985,320.3850393,294.09830236000005,262.33707480000004,246.203885372,228.91300010199998,222.79931302200004,211.751457902,199.94594108200002,201.44227519,202.23348338,198.5958484,190.81813960000002,183.659479726,174.094537156,151.23856511600002,129.816498418,99.22483761600002,75.754320396,50.51563916400001,32.877380784,17.979594862,16.248256964,5.861551678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,61692.00183376598,20.411104650600002,49.066374570600004,85.6486155906,165.039866674,232.994205674,303.20343762,388.44343660000004,484.3575017,560.95051562,648.57451942,750.2863342400001,860.0346100200001,937.4952449000001,949.3135608400002,934.1757974400001,892.90955586,805.0469610800001,718.66432218,669.70404742,643.9431321600001,627.24978344,606.9702207,590.5149482,586.77362172,591.95563438,591.83218616,597.6586812200001,620.02481512,649.07133002,659.39424178,664.2912710400001,705.48800902,726.6105160200001,733.34052922,733.7523932800001,768.5360381600001,759.1344569600001,764.62503686,785.0483910600001,840.9453498,848.7253178000001,920.5587884,982.6146894000001,1096.3950105000001,1188.8782153,1315.2204721,1399.2015177,1533.5661413,1577.0739632000002,1613.3592296,1631.0697428,1642.3006596000002,1586.1690298,1525.5588520000001,1430.9411968,1316.1566604,1164.5890191,1024.5262093000001,900.18426118,814.2911867800001,747.2601637800001,702.45194864,653.53217504,646.71096046,637.09903848,612.81465468,627.8422878,664.78516056,660.8528132600001,665.5874270400001,677.4660628600001,635.58885308,595.7368715,538.2302995800001,461.29159188,383.96381536,317.09680718600004,228.301638286,161.787822146,120.353657286,84.892929066,74.08725844,68.9110306,75.51002326,60.961836793992,52.55312809399201,33.282767993992,30.217853413992003,20.337772373992003,29.17785096,35.172496259999996,45.263412,40.8822216244776,39.9152467672476,26.9860878072476,20.2351079272476
London Bridge,11747.158440569,0.47535215880000004,1.6372445188,9.185659298800001,15.193672578800001,24.243035918799997,35.85182924,48.516277120000005,61.692082105,75.30738256500001,84.059882965,97.442817445,115.092148505,135.83327576000002,156.75030582,172.60137438,185.68457522,190.97998292000003,192.4380333,188.3191665,190.8266188,192.05305800000002,188.3848241,178.7664407,177.11723290000003,177.61234230000002,172.5252461,175.2070196,177.8582566,183.075882,183.6051332,186.5659238,187.01683180000003,189.3339808,183.8464572,180.81155320000002,177.1596059,177.8861079,173.9985226,175.639365,178.2826652,185.13261630000002,191.0796637,196.98755480000003,206.8057788,211.78509720000002,225.7127628,226.7378514,251.72738420000002,248.8328822,263.89652880000006,246.6995228,251.5865028,223.3724572,220.582162,198.5333912,194.8390085,181.51477090000003,170.4962571,161.2205136,152.64908400000002,142.79196476,129.49478736,124.17959906,116.52309596,113.59084256000001,114.2045322,116.94607634,125.42442296,125.38143836,126.5869192,119.15077818,113.35236018,102.66742304,92.16800738,76.04200168000001,69.51666133,53.99923897,35.47033859,22.66834525,14.30521751,3.6254333800000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stratford,131503.45534850634,181.48977493087003,444.560261529338,671.396685075338,974.872542383346,1568.001127999346,1952.4922768522001,2314.813482453695,2636.049111553695,2963.998199010547,2778.4787514242194,2868.0700909091315,2988.780825349706,3159.790917853706,3063.2900831150578,3129.7941904673717,3006.480774998395,2720.131811855858,2321.699934147018,2073.083136272466,1844.00705056048,1697.386936256026,1522.57495431438,1491.9676516332202,1508.75655721722,1530.9107708232202,1519.1834058954241,1578.6090082790702,1620.9598257790701,1682.8993316870701,1669.9098390410702,1720.030767706,1729.840494586,1785.557502588,1714.151953858,1739.8358125180002,1729.0016555260001,1764.512698786,1703.808955428,1735.918265534,1721.790968344,1773.1516150240002,1760.848443774,1759.1652062360001,1819.6175468160002,1882.058588866,1907.173877766,2014.679075256,2101.2743701500003,2211.2023661800004,2285.49801626,2372.68538152,2276.07967788,2311.7923164400004,2156.0580426700003,2037.38188001,1852.03199261,1797.359648316,1612.379773818,1533.432288228,1437.380115204,1362.517783744,1236.0277900820001,1180.711584828,1152.8869655380001,1137.7794522220001,1126.5439603324,1107.7401126884001,1099.2509515404001,1032.4371859444,924.1074958650972,851.0015065466972,784.4774545505952,661.0947532452365,549.6424367372364,450.82697160441126,306.93067559718725,196.09673000648922,127.00660343184802,73.31350901984801,39.358903039976006,33.9901479752,31.266073002000002,29.523989862,31.170878496000004,31.247715788,41.99506547800001,33.759146958,29.890553937999996,25.467870050000002,24.04454273,9.9928372,12.36358264,12.720077131040002,12.526851529443201,7.7467660894432,5.8578155094432
Waterloo,5258.725935501629,8.798467144,19.454962602200002,26.538848600798612,36.50697184279861,42.28794302639861,46.59691636359861,50.172832225798615,52.6025424674,59.595955833800005,68.31715003820001,76.9468185369,85.9916364825,98.9871088875,103.6229966551,105.7951390579,100.7247017434,86.1773008354,73.9356947342,57.5283593042,48.216628193400005,42.2184049352,41.5192802826,37.1252807786,38.500706606600005,36.5626612746,39.536948170200006,37.9664947468,43.04501706,43.606411579,48.492840579,46.6233794682,52.3434841214,50.8671842942,54.8655262292,51.687864525600006,55.9646119356,53.8652634824,58.5249289304,56.2832518628,62.1657425448,58.518131310799994,64.2271316124,66.2335512594,77.57390329180001,81.1604788974,91.0056959526,100.1293003244,112.9644825006,122.3766450738,126.7382369134,133.75049393560002,133.2941940206,128.90589149832002,117.14970968992002,114.74153250692,107.35750691812,93.83713503812001,83.78074639626,71.62175144266,62.159836262659994,48.95652229646,48.129780578660004,39.3005764178,44.075561619199995,39.489257856,44.370462072,39.981297257,45.163126152400004,39.00070627152,40.35422102692001,37.40196429452,38.69035678681545,35.184861317015454,34.42690026360968,30.50500387860968,26.722681205744983,27.110152265849536,23.251069488049534,27.561179040935304,29.678245439135306,35.546272200000004,33.564644099999995,39.54159310000001,35.37526166,33.632946318,24.228330267246285,18.813061987246286,11.774846467246286,15.718383487246287,16.827524329246287,22.3283616,24.70792278,25.215825151787598,16.5228422322972,11.4972162722972,5.9863651922972005
Wembley Park,18058.873602591568,1.3287301020000002,2.7518465020000002,6.667714726,11.82358717,19.021025882,24.7418509,39.17170242,59.763954596,78.265569932,104.63392498,122.90309254,144.58790186,158.854384,163.52474384,148.4509238,143.97920198,123.16944550000001,103.19343068,89.53180398,90.06690064,87.21845228,86.15518122,86.37592272,91.5404776,95.13283684000001,99.18529216,104.99042488,110.4093655,119.43157178,126.29719946000002,135.77169944,149.84980152,165.21604388,175.495061,187.80263290000002,201.1838303,214.77878220000002,224.2241006,234.85507880000003,244.7195328,274.730854,292.49479532000004,325.41903532000003,368.61810892,420.16980292,430.66485892000003,472.6745783,516.8571637,587.5477287,640.2044741000001,724.7756347,757.73531214,784.11401834,755.64741146,684.9382926600001,601.5858190600001,526.32999702,437.79078224,355.71198130000005,321.83616928000004,289.42120926,259.33504822,246.67472264,230.41918694,221.25102,198.58259068,200.80269556000002,179.90836134,180.74705511999997,172.26317569999998,170.32834162,159.6499044,156.232574942,144.985915922,112.84202637812561,93.31400401632561,74.8029448203256,49.77505190831361,23.629438054313606,22.144782178188,12.059258559988,2.494358635988,0.298093386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
