Station,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
Baker Street,42346.187663259356,7.78707681644,27.071937440440003,53.74030071564,93.4868794737,140.49970858782132,190.4216900414213,237.20018072242132,322.9392429038213,393.88893391532133,458.95060035140006,599.5550623688,693.6772441018,759.6020741852001,795.7317680772001,838.802473467,798.2917840936801,781.89618475768,749.32342032768,736.31464522568,731.3053515856801,728.3274129740001,720.1573394600001,698.385210508,690.556972134,672.97463858,649.5601328920001,649.784810632,672.229504236,684.946367908,680.6308960020001,673.161754286,667.495924878,652.8496429960001,637.100480156,620.938097544,623.223305556,624.7201195700001,617.52934151,613.5218645580001,621.415754696,632.082121774,647.06692392,664.991142,702.56363248,736.0399861,762.92411106,778.7856617599999,817.04787446,834.439759466,859.694826766,854.34515517,877.560650652,857.227310072,827.561398358,780.777251318,743.6047599940001,665.219795192,607.241027236,546.60992333,500.11267457400004,458.036060774,414.84271746400003,368.47573675800004,344.42813513880003,311.41490973080005,287.0314589556,274.0362399876,272.6798443416,265.97699056887245,262.83293365887243,261.6934064092724,269.5330338293824,275.2135757973824,251.23812907587435,219.96810292907435,189.34798161527434,140.28423346576434,80.17707253576435,51.023798923200005,31.470517984000004,10.259045802600001,0.31932275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040996156,0.0040996156,0.0040996156
Bond Street,56840.32660862252,6.980735289894,65.035960160494,117.476408100494,194.048952030494,286.0286620606,416.8985392106,486.39152594600006,604.416214144,674.482794824,725.3495926840001,786.778212336,880.6284840400001,965.780301498,1033.875821218,1108.7822960180001,1160.899720566,1115.4497879760002,1015.5546182,939.7753600000001,901.83121454,819.64779258,813.8118871400001,796.6839813,823.7144724000001,801.8056107,792.58357146,773.91396308,798.42298554,791.2544846,766.6347519600001,749.60334356,751.4456513200001,741.15867432,722.96362666,715.86638264,733.5304412,727.74377174,734.1309155399999,734.91032248,770.7553209600001,767.5131976000001,793.29422326,814.63790008,875.78498254,932.40207264,1005.7770648800001,1063.7466608,1176.0283718,1219.01207268,1264.70745,1283.1371887,1322.56975858,1277.0383943200002,1216.53208812,1112.86927534,1026.5336125200001,915.68836672,782.0666487000001,697.15581792,643.9814330400001,578.66930316,503.39273908600006,491.111278966,479.57846914600003,452.55872264600004,435.645753166,424.15742746,408.97666556,396.73851097600004,385.54162469,376.741882276,420.222571594,390.454043348,333.246155982,296.84275827100004,249.4495867802,152.4472077282,109.1456358142,112.38036322420001,92.97951676119999,91.849270546,84.0934659,86.2744209,71.78134842,70.51261062,51.65175244000001,39.85751574,26.699169040000005,28.985314940000002,20.94875528,27.201752992000003,31.327632352,32.9795300811988,22.515877735246804,16.338510195246798,9.5057325432468
Canada Water,43329.099063255046,5.149276498,55.374595178,98.643305898,182.501747954,239.281235274,347.63230530000004,416.88428268000007,547.37482396,627.8079173,746.5290752400001,824.7282988000002,911.9221035400001,881.3142823400001,838.8952599200001,772.5638889000002,718.61449214,601.94303114,565.65954734,512.97946246,491.94086052000006,423.1252028,415.31629780000003,390.2521942,425.38437940000006,420.1933874,456.143997,460.1221282,490.8223436,475.9267648,502.6275744,505.38694040000007,529.276456,526.5192470000001,543.9133780000001,532.4710458000001,550.2365538,543.2731126,536.075288,539.4019906000001,572.2852064000001,580.6437462,635.1586022,691.1343546,752.1876252000001,802.3957998000001,888.1660152000001,956.3714518000002,1035.6979828,1088.5959134,1139.6256408,1130.442417,1120.7286188,1058.0776954,995.3688258000002,915.420693,851.6595962000001,751.3115500000001,695.683749,630.9476962000001,569.8781232000001,522.4040482,489.83658840000004,443.8744408,432.1274816,407.5669548,383.1048294,360.4996549,353.75024010000004,329.55324370000005,317.1101509,303.67828810000003,293.288639,263.61976286000004,227.59213556000003,184.61484388,130.898917232,84.18821954600001,49.600725610000005,25.785965650000005,17.15046985,17.4559730828,17.8739024488,18.927288058800002,20.478572472800003,21.928746588800003,18.3658158638,14.467478983800001,10.809441649800002,7.361679395800001,3.5372021498,5.8831456499999994,7.48413642,9.17407611595,9.097185681366,6.542496291366,3.476945131366001
Canning Town,48033.948358523405,21.317579911800003,40.3121485718,63.8373945118,117.03722892980002,145.44839047000002,196.650841318,262.50353529800003,328.19457669800005,394.89040542,505.02586168,618.9511557000001,658.5383398600001,747.70844118,738.85178248,749.8862834800001,659.84248676,637.5341845600001,561.54986682,568.93286092,496.42922672000003,560.98900112,547.4748345400001,566.9121948200001,558.95132402,647.61844422,626.88666962,707.0250054,733.6135366000001,794.585716,775.5498968,823.2335282000001,803.3141266,855.3348172,839.191583,884.0293912000001,866.8449216,902.598845,849.2319498,894.4331496000001,882.0554756,928.8262480000001,961.6173736000001,1061.594166,1015.1890324000001,1091.601946,1102.0494694000001,1162.2164174,1108.6674074,1167.939473,1090.7685966,1097.2174508,961.629309,955.866433,873.3378024,892.5812534,799.66278396,788.5966339600001,706.5957223,676.3100856000001,558.2676110000001,520.2563783400001,459.52249486,434.00438202000004,414.41117654000004,381.55357224,347.19731779999995,330.37934122,311.65151502000003,284.75921012000003,289.58875676,271.43052396,273.04036578,255.96648420000002,223.32945086,180.25803208,157.1809088,109.48910294000001,67.39154875883787,45.52636397883787,31.24766601883787,9.583171038837868,2.3283777388378684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finchley Road,68711.97186794334,1.2250850948,75.9050566948,206.28716445225348,355.8089104522535,651.7531674012145,908.1254899432147,1135.6183812604145,1363.9233283069611,1626.1134286469612,1811.9160867332,2008.8853909032002,2248.2881901100004,2271.184535236,2168.868885336,1998.8947045560003,1860.0191059140002,1564.0339557300001,1402.69393046,1328.947152344,1262.1678417780001,1150.875344864,1132.388326284,1122.457462342,1114.0457613400001,1085.34059127,1097.702569426,1075.639194114,1085.8902432300001,1085.19875196,1086.6452766460002,1069.87663307,1080.09453649,1060.6089480760002,1021.8575749040001,977.9307363360001,955.1058504940002,913.558337766,876.6435785140002,851.6481322540001,848.8316269420001,834.5699450080001,843.428364908,845.3771223599999,885.78786102,912.75941818,943.92085132,959.2279433000001,999.93524708,1050.84241934,1124.8591475800001,1133.86695132,1174.9665867200001,1129.184580266,1023.125822326,865.5822510660001,780.98594232,630.98858104,541.8792525780001,457.007291036,402.576037142,336.258137348,293.37576077,264.459616526,241.96737487600004,225.18271907800002,226.369856198,228.451354986,253.00396312600003,277.157343038,296.339011058,305.85616357600003,333.7489227,297.86886393,247.93865644600004,185.23782739041243,125.06886930441244,52.744210600412444,21.128252656412435,6.2107238204124355,5.851068228000001,3.813903036,0.068385666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,69686.97515996572,53.02364036,129.86494154000002,194.08067934000002,264.23492034,365.96682704,462.83484928,552.0966212000001,639.451448,712.1131225600001,752.39037938,801.23001132,835.9073825400001,914.30844404,940.1639867800001,974.1476386000002,988.7498303200001,964.9310068000001,879.1740017000001,830.4644042000001,779.6106233,726.8243639,701.0938101,671.5053663,698.0515408,710.5571025,710.1859531000001,720.9593233,770.0641574,788.5177534000001,809.1634363000001,834.8081515,857.0336475,881.8970108,882.2171176,871.6031618000001,913.2158604,919.8309864,907.1125468,927.4637046,1002.5120676000001,1009.2881830000001,1054.6721724,1152.3369788,1222.310363,1258.253943,1326.9110406,1406.1494078,1447.2653134,1512.8224676000002,1555.8254808000002,1619.4443572,1634.892701,1633.2598714,1566.512643,1520.5900382,1394.9540924,1276.7642688,1160.6933492,1076.5724034,992.5927072000001,930.1493682,862.3573008000001,821.42118,816.644391,780.6570538000001,766.8980402000001,776.73325434,754.31104474,732.5819399400001,716.2522396400001,698.51492984,662.5824126800001,628.4404203800001,538.92779808,455.88786164000004,365.94117974,285.467298368,216.553860668,183.450462448,167.384818788,158.984634488,148.09446188,141.46076874,141.03879606,126.84112254000001,99.42944353121537,71.95693193121537,53.39794687121536,43.00124967121536,43.01916059121536,57.180279860000006,72.04108380000001,75.10098826358,61.049393388684,43.011083788684005,28.737356328684005
London Bridge,56655.511921300014,16.224449800000002,49.90903434,106.57310274000001,132.79818664,210.19793354,288.85289294,389.72636460000007,510.63734969999996,668.778498,762.5343625,837.3301531,915.9587349,965.103573,980.2560748000001,964.9353548,961.4588182,898.8120494,795.8233732,687.3731178,627.9880968,569.8411702,512.5971742,481.52485600000006,486.393066,499.84953820000004,500.19105640000004,525.3688312,552.5707388,578.9848736,595.5848490000001,605.3574696,614.2068054,625.7839246,629.3984344,629.6455878,641.9140050000001,649.473596,651.0635598,657.3467904,678.8608552000001,713.3782854,757.2304326000001,805.190377,870.2587746,944.3466252000001,1022.9819176000001,1118.9504204,1262.3932896,1376.6384964000001,1517.39102,1597.7223216,1671.5730561999999,1640.2794106,1617.5480914000002,1473.1110842,1358.6437514000002,1204.3061552,1061.8182044,919.4013428000001,838.5525744,759.6742150000001,686.0779808,640.5719548000001,600.7714692000001,575.735307,560.1993096,555.228572,563.5907018,565.9659176,561.0747646000001,542.7938878,524.3220636,511.3167892,464.61488040000006,395.6751884,332.86819748,257.36111342000004,156.86117902000004,94.57437022,55.619242619999994,21.67048314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterloo,37630.25568141765,17.763907552833807,37.484052246833805,68.5665933916338,84.75892236503381,101.60140405623382,132.1071072866,150.7033542796,155.49456530920003,159.253866815,194.08381876060002,200.4399740356,219.17578254040004,240.67138032740002,273.674281081,257.4019441922,262.572991434,248.3438216222,219.7080761688,188.5274659636,186.1517204888,173.6712692444,164.0207171616,177.1012021798,188.86785645220002,191.57931212300002,203.31061108740002,215.5835463782,229.38502135400003,245.22073640000002,268.176292218,284.452477914,312.68911905000004,327.559192128,353.745273922,372.96885808200005,397.150656486,415.596855952,438.89331159200003,452.934916052,484.52125561,509.53486399,537.7994037000001,559.1270891786,609.6332850786,644.7175564655,721.0029224855,773.9125606455001,848.2331786669,888.7789438269,917.30931858,908.33178622,901.2657446358,885.6475305958,855.1464188078,845.4689722078,816.1186673878,777.869500718,742.5411084550001,732.5573604650001,698.478005265,674.823761899,671.773435583,656.848125967,639.7132647228,639.3233076488,654.1055172588,697.4392932528,770.5620160118001,802.3040801678001,807.5640678568001,788.6714960184,737.5057760754,613.6427519954001,534.4295210988205,449.15540766122047,379.85904568582043,323.21717758482043,299.06433310482043,249.31356512760004,209.6242164102,182.51275194000002,133.3858009,113.61937800000001,94.52322346,112.36265912000002,85.09964302,73.76350862000001,50.97760592,73.81321426,52.4937504,99.98456334,126.42533306000001,130.610177608,100.35075829962518,89.7481182996252,42.25730535962521
Wembley Park,8953.119176459128,2.1534859082,7.0939984842,20.8091335962,37.922798727200004,52.6530045002,65.13381021400001,104.41602377800001,124.96157968600001,137.491161291,160.08711266260002,169.6221669588,159.62917154400003,164.036068008,172.692804642,157.5806224984,161.9115773796,150.4260528744,135.6439563824,117.2913498204,118.9602111394,110.41434213000001,106.62111239,105.54599952400001,105.7940963686,109.28428623260001,118.6358516828,124.53977477160001,120.96453211759999,124.81146457099999,119.499265157,111.56058050480001,107.767359776,112.04863372599999,111.377829926,111.27075675200001,112.67455648,115.33735856999999,119.072985286,119.83720389000001,125.79492612,151.95780521,164.1885992,175.96964718200002,184.256655832,208.35808130600003,201.05157742,200.59331482000002,221.61909742000003,237.08238326000003,235.21574528000002,236.83259286,234.85820712000003,209.24205048000002,190.67902938000003,162.586194314,138.18728389400002,123.55638743400002,105.007338914,94.27865907399999,86.9655629052,84.22836332520001,80.0510159852,78.3509601452,72.3139601852,68.5221048,63.60188336,59.510576220000004,57.990410080000004,56.4052242506,52.3789470306,48.0857098246,41.6238606586,31.4247174794,23.722878386,17.85476114662562,12.51843826582562,9.80126097182562,7.47316056702562,4.66633568782562,3.6122534471999996,2.053809874,0.609760694,0.463564698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham,16189.858774227358,11.832200512,16.9609486488,30.23463810477,83.35552747923481,145.8798218064474,169.5053075916976,236.2606385876976,256.7583452277276,317.4173328694628,345.3985261846502,407.26235507120003,423.1666402602319,495.3307244422318,437.90324444703185,404.63307325759786,392.24640697481783,362.023780744186,298.86531976258607,275.846933258586,253.35894874162,216.5046163426,187.13846892940003,182.16132762900003,174.32921465200002,196.240690604,189.38498936480002,219.20093364160002,219.1824271996,257.3967717208,240.54723441980002,275.4651047358,257.56684179900003,286.8995528222,254.98581286020004,275.3435077938,234.89763029600002,255.6666495066,224.94500220240002,252.23346897620004,232.99723876020002,269.1071725012,247.9780050786,269.4943752916,240.09611120900001,248.06194668440003,216.1773260216,242.0149836656,246.8744094536,275.5040150092,275.5449469652,303.32333071246,287.46446358566,276.47126231886,246.72588378286002,221.42930059686,180.67740948440002,155.5695012584,124.5923200905912,123.38281400599121,108.29591246799122,118.55802723567601,103.57908046866488,112.52409202517367,97.97333308897369,114.76829541066769,95.28499508578287,107.256702996694,85.501039387794,91.33214679439399,68.73681012670002,79.55871040710001,72.119636573172,82.09785935077201,73.32489926169801,88.85471309488253,79.08678474530251,65.08558122392462,47.132600884564745,37.08605267783875,13.678356638654238,0.192929111034238,0.012439225240124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
