NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,35558.86192704272,477.7050319937,4432.493036926988,11983.26211722262,12415.33869637374,4790.481059706699,1459.58198481899,12.885422306,18.687124384,25.41555689400001,40.24636712800001,56.02225998800001,74.8465965829,104.7914293609,144.8102753499,188.8932252465,229.0032733385,305.7193420156,373.59930909994,440.19347371894,482.7915841623401,488.6821916711401,470.80230642334,428.084697797372,375.709127875372,326.668200179372,322.346305398572,305.9565689485721,306.9460698522,308.3395506642,321.5381759076,331.8026294966,344.1729739836,365.1421919576,391.9354291404,417.28363628474,437.78724177574,458.72416526654,473.84261973454,474.982322716652,477.9624369689121,490.524007895272,497.129168799672,510.9873690878961,574.358592394984,640.867838789984,670.6808128436242,723.3040538237192,782.4828890614954,824.7076642575397,851.8037075705396,912.6311883264095,957.3973836739146,1034.293823700228,1078.711725200983,1129.874004417983,1154.241287018113,1187.937526097913,1143.8188119048,1076.743609557568,1000.809735518568,931.7933294965285,807.0862714607284,694.3737123600366,601.6107113984683,516.7496059990838,439.1924245057637,399.9109465050998,372.3393364065918,349.1669190785917,327.0800581273765,305.542952546736,276.9684074761836,261.5017447961836,246.0442405065836,227.2974532511836,209.736029691051,199.3570558102675,180.2343377962967,158.3355131880415,135.0463839412932,111.6976526874257,84.25394196500613,59.63742063897685,40.94635409912301,25.72202898587138,12.85344335987138,5.558934902290977,1.248178102290976,0.0,0,0,0,0,0,0,0,0,0,0,2.5524188,2.5524188,2.5524188
787,BERu,Bermondsey,2,10135.25307706,561.92526256,3213.2575428,2691.530929600001,2448.3834504,916.1159718000001,304.0399199,12.14370814,21.43057854,34.04931014,52.49512814000001,75.70850320000001,90.5201296,120.2212502,155.3566546,188.9303186,221.2650464000001,257.2094238,299.430826,330.51121,340.3619160000001,339.46792,327.3351952,287.627084,240.8202556,205.6960616,174.6022856,146.9094362,126.1469952,113.3696542,107.1740732,103.1518192,99.23519599999999,98.12118320000002,98.4604454,96.96988000000002,93.86529999999999,93.7131072,93.71874500000001,95.03039760000001,94.85112000000001,96.8413428,98.85848100000001,100.613817,99.07455800000001,102.878854,109.1510336,129.7047028,147.3405428,164.5528036,181.7974416,202.1964722,198.214561,206.570721,218.6177566,224.4913706,222.5846296,229.7479036,220.4012186,206.5144746,190.813843,175.1764442,153.0540554,134.1628084,115.046355,98.77954020000001,84.78512300000001,75.59080019999999,65.98133920000001,63.38207180000001,61.2198772,57.432118,54.0418612,54.89494640000001,50.79913120000001,47.67791260000001,43.2784028,40.999258,36.92831099999999,32.9619992,27.2729085,23.6997988,18.36095006,12.87405566,8.650786100000001,5.7876184,3.2553831,1.55909424,0.73344144,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
524,BDSu,Bond Street,1,56984.77471314552,497.1903098629825,2423.650190782863,15284.84816452614,24015.2369296182,11203.2838516542,3560.565266701128,11.31491258,24.559903098,34.52254291800001,54.8434677668,71.0351844188,83.50711773752752,100.4350382355275,116.9721431083275,125.9409137653275,138.2568748019275,155.1063571472,170.6824896192,193.6281158784,211.0878811506,229.904557072,237.026998376,239.818095068,236.219443676,239.110279000104,246.868185228104,261.380020400104,273.96424377571,298.28669109771,320.145973567606,341.7561188296061,366.642266209606,406.453806683,438.189398629,471.8570671890001,501.2276236770001,538.2853344496001,557.6013659526001,587.1227441085999,617.9569655586,677.173389125,714.7146820324,757.9634879214,804.4884902233999,877.2279236354,921.287378689,998.1899248604,1078.1494159954,1191.4454812434,1283.3383706726,1405.3527234736,1505.8872435884,1716.3533664184,1864.5733048836,2088.9360027374,2246.4919256918,2447.6802017708,2445.247054632801,2389.4189679016,2177.4029835446,2004.3865936132,1723.506561362,1491.103539865,1305.293325369,1197.340130719,1061.463243707,966.6129400798001,883.2313365128,834.82988721,760.839931064,710.7006556640001,664.0189865492,670.3393011370001,657.5105737774002,633.7157169534,569.7348338674002,536.7615479894,456.2107029516,371.4841261380001,296.956384285405,249.312476321405,180.8494320566655,125.3852050426655,73.51311674666549,40.79836129926051,19.82953732926051,6.013825720000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
788,CWRu,Canada Water,2,13669.45303622001,796.2967006200001,4617.27257368,3933.01067252,2948.77874198,1060.49929246,313.59505496,21.64941280000001,36.51009832,53.21248872000001,82.58677116000001,106.96567876,131.9959917,162.74192478,200.63433438,236.2125259400001,284.38866534,342.432517,418.2721140000001,484.7458230000001,509.7504926,513.085619,487.4826662,430.1588438000001,352.6821446,299.4026418,258.6585204,224.498441,192.4536848,180.1371812,175.28433346,168.34423806,160.98893864,159.80380678,164.14429752,167.08409106,163.12898466,164.25053408,164.30419894,160.89891308,152.580141,145.77015952,140.76242032,139.80714792,135.00128594,136.66861308,150.90927996,159.16224976,163.67819642,175.71380352,187.6357318,198.207872,213.5955438,241.78330614,262.25772794,289.9457948,296.6063416,297.314678,279.8733512,259.1001204,225.9407887,203.6058744,180.547343,160.69373978,144.39407378,129.49618388,113.04277784,97.90577855999999,83.61903258000001,71.79723928000001,61.62259048,52.88994826,48.01425328000001,48.36015276000001,48.66352198000001,46.84382332000001,45.6571797,43.62855116,38.84562422,31.56347018,28.2962278,23.22375302,19.257715104,13.500882884,10.325107484,5.920782124,3.882011684,1.7844986,0.8654276800000003,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
884,CNTu,Canning Town,2/3,18353.29978778,2045.75338648,6056.222546000001,5156.761270280002,3490.768903940001,1293.80567104,309.9880100399999,62.00532884,98.74262664000001,148.86163362,229.4650123,289.72626352,345.42312858,412.08357498,459.445818,470.9020963200001,494.6207670000001,516.6410870000001,565.5194794,600.6315763,618.3059667,616.4951359,577.2506284000001,495.8372777000001,418.05912126,361.66957246,320.28983756,285.93271406,257.7191390400001,245.6324891800001,240.53412038,226.5482453800001,218.04190398,216.84281452,217.34739422,213.02791162,209.39085154,208.1188366,208.54339466,207.52479084,197.59052334,195.51048672,196.59640446,193.92883488,186.718282,191.44092208,193.4160669,194.88262544,199.02062774,217.27908774,235.17280296,252.71426574,262.6275826,294.155482,312.4135014,328.6066626,332.7509194,342.5876438,326.2851518,301.701249,270.8246888,247.7396202,218.3621366,187.7110802,162.7848985,143.23729,124.33255174,109.03714978,98.11921662000002,92.27114345999999,86.72400156000003,81.65178424000001,75.78171796000001,69.20010984,62.95472714,54.23443222,46.8717526,42.42639634,37.58107896000001,31.8533445,27.18727762,23.1421181328,16.772601328,11.886962128,8.289268748,4.995046856000001,2.4258099432,1.430442048,0.741476708,0.150001908,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
537,CPKu,Canons Park,5,3414.514163531,459.397549677,1401.278129652,861.4775487120002,531.10046472,123.948812042,37.31165872799999,11.3531635222,19.3848335222,31.9581077722,50.06417650420001,61.62431065820001,79.990964236,96.006668496,109.015324966,120.322458134,139.17093726,152.44862904,156.89965412,154.71546946,147.3265349,130.77097334,108.3091723,92.06064029799998,78.51539847599999,65.77575504,54.962507284,49.30935276400001,44.769861626,42.910536468,40.39193846400001,36.92665358,35.20247261199999,34.82780278600001,33.755576106,33.109558206,33.688273626,33.304970014,31.77151851400001,29.23717474000001,28.68875394,29.015759232,29.407581732,30.721081678,34.732878252,35.947918104,34.992473032,34.774433532,36.58354469200001,39.578838222,47.82859679000001,51.33970509000001,52.56288657,53.46405401000001,52.48352402,48.12911354,46.462174672,48.78188669199999,46.823117062,41.20357095,34.56627612999999,31.033611092,24.250544892,18.976961432,16.658421604,14.42653451,12.581581136,10.949572756,9.790082532,8.609608032,8.360336358000001,6.807505832,5.991998118000001,5.591548426000001,5.204661306,4.505487554,6.715171499999999,6.550792522,6.032477868,5.273481602,4.637922842,1.735466572,0.983343604,0.467917844,0.31919293,0.09040389,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
558,DHLu,Dollis Hill,3,5132.032572240003,415.52623518,1859.79389972,1538.6785418,975.6326824,277.00818952,65.39302362000002,10.270021,17.76835368,28.45630478000001,39.54085418,53.0185987,68.41336609999999,89.95402102,108.10471572,139.07376592,156.021345,186.6029962,193.035738,205.2236016,183.1205284,181.0531776,155.1419376,140.8649618,116.3884578,109.4033256,93.8640642,83.68127759999999,74.8459778,71.2569904,68.583965,64.8129216,61.44830900000001,59.8077926,57.3105721,55.4845923,54.24012290000002,55.12169270000001,56.64207570000001,58.10364660000001,57.18824070000001,58.6786007,59.2018259,60.7737603,59.0867575,63.9363806,66.6099578,68.045986,69.03058279999999,76.62520380000001,78.1613094,81.7291156,85.27574620000001,92.5653612,94.05251860000001,97.898129,95.33638060000001,92.715746,83.3093226,76.5629486,65.830152,58.754524,51.602738,44.42006471999999,38.74314772,33.13640216,28.89483362,23.49342694,21.28415862,17.15882962,16.06223028,14.34815698,13.75035186,12.9836795,12.7329075,11.50991828,10.07300278,9.01808348,7.39294228,5.91071242,5.100102120000001,4.75546784,4.027267274000001,3.246411494,2.264976888000001,1.408351908,0.457179528,0.171519794,0.057087534,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
579,FRDu,Finchley Road,2,10999.84925201697,344.922480314407,3031.786349712359,3135.848855787811,2954.6901700337,1188.534407332111,344.0669888365822,7.281833640000002,12.27380424,19.5005576730574,28.7900886710574,42.34093893433741,55.3496077943374,74.9425844823374,104.44306487928,137.15399238328,176.7611858,231.6468913588,286.7251381588,330.3836526908,347.8654467352,344.1193675212,313.4477552524,274.933545193,224.263401857,194.2687120738,170.217260688079,154.658751659298,136.3104087600981,128.698291206354,120.705113279154,115.560135763059,111.59042086324,111.91545299584,114.114209113584,116.331212692144,115.68549501896,118.64991641556,121.97008294456,122.77371805264,122.75695691008,126.54123901428,127.28056789348,126.08887152428,124.6844784202,129.8106419482,134.368919661,140.1906577398,149.24229127,172.672522262,193.2485003800001,212.8007662856,229.9383670556,253.7891640747,262.0001270147001,268.5081704967,267.8300870141001,272.0402626781001,265.619883041,254.696573469,236.840070579,226.07453301,204.5521653152,177.2200895584,152.5660257504316,136.5314733654316,117.8480645270316,101.4920308658079,90.3014955686079,84.7143182645763,78.5355142015763,68.7192173549763,63.80055971775721,60.43636490375721,56.3692532537572,47.3890996671572,46.26073195063101,44.7275648544248,43.11682511042481,37.97262753560481,35.12418404161354,29.22135286513974,22.49956470458874,15.30741726958874,10.82221047240874,6.171123451000001,3.444559986999999,1.528114107,0.48161282,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
590,GPKu,Green Park,1,38670.833217,260.4355344,1228.3294711,9761.7826757,16482.832595,7239.3121144,3698.1408264,10.18978488,15.12641114,23.14373342,30.79637916,33.83503892,38.32131076,51.0965561,57.92632002000001,64.70463448000001,72.93960932,81.80126792,84.94318532000001,89.68861577999999,94.89201378000001,103.95117398,111.17407206,115.86210226,124.9368578,138.0804153,145.3555231,153.7957637,164.5659125,183.9708113,210.3785274,240.364989,286.3251730000001,334.7501560000001,362.1321798,368.8386026,371.8422032,360.1279922000001,349.0850492000001,349.9967424,366.2707406,390.9298592,415.9331604000001,445.5708168,475.7518734000001,526.1996508000001,572.1954538,619.7760852,664.9807748000001,749.1384832,798.8616752,872.5532732000001,948.9748412000001,1102.9861272,1216.5454262,1394.64894,1527.677456,1706.155434,1752.93154,1718.1279216,1578.5304906,1441.2199614,1222.4811836,1015.8856832,864.4160688000001,761.3006558,662.7110322,582.6179440000001,531.5840145999999,511.0451644,484.3194032,462.7186154,448.8312442,458.2476674000001,455.6346212,458.829668,455.180642,456.0722999999999,435.4061812,404.737519,362.7799444,330.2236792,281.6012772,212.0724316,147.902271,95.662868,46.75626980000001,10.915775,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
622,KILu,Kilburn,2,8020.558205985901,464.123318996,2628.2186553734,2203.5008469436,1853.2014432346,650.9699975370801,220.54394390122,10.2067267,17.99948036,30.0077899,44.89677370200001,60.194362422,76.252946642,99.39572505500001,125.169514215,150.9388235334,181.8356442534,227.2209526774,264.6691795388,282.9521407776,288.6139788232,283.5211071552,252.2508081432,215.2158653488,183.7400933262,159.3114856376,137.9485761586,120.7561048546,107.4453422326,101.2476201824,96.250018019,91.856566926,87.43687429000002,86.976096572,84.91430288599999,84.25181529199999,82.64707437599999,85.19778377400002,86.61710053400002,86.96962209399999,83.816107974,84.235620002,84.77513722,80.29872629,79.78382207,86.01905547260002,87.94470658059998,91.7087089326,97.4375343626,109.4886269546,115.426479052,124.739506632,132.4813935876,146.238700066,153.4719111916,170.9289995316,178.1711226416,186.146286026,180.4701747416,172.017436904,153.7541033906,138.560487301,116.221321221,101.245217779,83.71840371900001,68.3586836324,55.808009584,48.66627827916,42.33303590716,42.29673762716,42.25266615716001,40.60593160516,42.235040074,43.17605618044,40.27393699244,34.96385376762,33.84068179162,30.33871329762,26.38877817918,23.07372402718,19.769772882,17.014080558,12.486575088,9.073716158,5.989252650000001,4.395318550000001,2.34198603,0.7332847100000001,0.134206212,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
