NLC,ASC,Station,Fare Zone,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,30246.35666611764,1058.870259866259,10594.66812921598,10973.94267049984,5136.891077372421,1886.204003454925,595.7805257081998,11.26121503654,25.38794494794,46.09414363394,72.63935794651388,124.4563336859139,184.2220612339279,260.6428152824186,334.1663880990646,423.1562245983324,506.5497311450272,638.2724958120468,778.3495376338045,968.6757956589585,1112.125121166261,1186.379611090927,1196.822403249107,1139.091574536059,1008.601968021619,868.3377013560195,768.3059649478182,671.9318905459828,617.5793365000288,562.6298504866688,538.7394313887846,523.1504869468247,506.322271421566,473.57753183892,466.1096813371601,466.1940205856054,478.3275461910654,474.4672875968054,478.3274344197455,467.1833174425055,447.9772767600001,415.0701838375401,393.17835444474,378.1107148008,377.0251730192001,367.495173032988,362.800679379788,369.710576883388,374.459301297488,373.557642586088,390.01750775616,408.29559570796,418.89856447596,420.7932522088601,431.7972827728599,449.0874271798,454.8999276916,470.6184316516001,473.0183485234,462.178707751605,424.084981449205,389.966689181205,333.251868778365,287.792427319565,244.01260501976,208.121316840328,177.594628084928,159.435559022568,145.887313585568,132.298308468368,120.8891308945,112.5733702741,104.943184494424,98.332590872424,94.32356857839201,91.605271494892,86.69399334562799,79.22310798730399,69.641543241304,60.55206032013599,50.51117202573601,39.9139336188,32.38630859,27.82810005,21.602919662,14.6603814832,10.0061956352,5.863831634,1.9896458,0.0,0,0,0,0,0,0,0,0,0,0,1.10068694,1.10068694,1.10068694
787,BERu,Bermondsey,2,10280.59890564,454.43352874,2200.8853676,2213.2849842,3007.4640086,1660.9130148,743.6180017,1.1863282,7.061072,19.7136888,35.5449086,54.64999114000001,83.06452480000002,112.537517,140.6754982,168.1340984,194.2595502,211.578615,231.885531,242.492307,239.609501,225.846112,200.7366852,164.8251562,129.9582022,104.9297526,86.6298568,78.16672600000001,72.4798698,68.242596,64.38977560000001,65.11121940000001,66.6243642,66.5251988,68.59659500000002,74.111047,76.44538140000002,76.92369620000001,79.55411720000001,83.00993,84.63964100000001,87.22336920000001,91.57160640000001,96.852258,104.4173056,109.600353,117.6150792,127.6228688,140.3607588,148.523832,164.6773956,183.1260148,198.79133,210.595742,234.6605960000001,250.032206,271.1172560000001,286.043027,298.282627,293.246865,287.688833,259.3436524000001,234.5358594,210.3394262,187.9515462,162.4412302,148.3168548,137.6381104,126.8179326,119.1220754,118.038791,116.2255816,113.1682094,110.9409536,109.9123034,108.2071622,107.8758138,102.6051694,93.31819060000001,81.22420680000002,68.9009246,52.15643679999999,41.1358358,32.28912820000001,24.41667446,15.21860226,9.999847859999997,4.77126586,1.49874306,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
524,BDSu,Bond Street,1,56880.55973875988,3051.326131532565,21426.06836643924,20503.78599803051,8721.16114470568,2636.984451015524,541.2336470363622,3.617949252,28.8863010986,82.04314907140001,180.1445292510001,340.901261739,573.0282471790001,792.0782506001827,1050.626443341383,1280.053099385583,1489.373539881383,1650.357568987383,1846.5160364056,2045.9171949038,2217.596018923,2239.9052138872,2152.5532538312,1999.156541246201,1749.154671394506,1474.340213891506,1281.14501370188,1165.715211067879,1069.006105918879,979.1390192217737,930.1576779213738,907.0419006338,900.9582710898001,884.6061034404,895.2659703334,912.6129030118,922.3841127530002,892.174148127,877.4512777004003,860.9590346604001,829.9100738142,793.0791631662,779.6051206442,769.0212570662001,749.9236346748,724.4880993852001,720.7368889952,728.2936087952002,731.1537498371999,738.7440594102,741.358606362,743.0730548718,740.5044564153999,733.6348591214002,744.0630907434,766.1598560694,788.6393460136001,796.5179479159999,796.098212238,757.89863881782,703.56159552882,618.34941213102,532.66067483902,455.77008077702,382.6858018292,319.647859441,273.5159190788,235.15536405254,199.26588991454,171.1618848198,148.223653795,129.29697906494,116.870709734808,105.315072827928,100.075235679948,97.502461189914,93.34566432297399,80.142705437486,67.55632514903,52.42969412075,38.9583403938496,28.0620878328496,22.82908032145924,20.62857042879524,16.05711074779524,11.42964540672965,7.13164560472965,5.160316080000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
788,CWRu,Canada Water,2,13885.18852636001,453.58696628,1878.77852872,3360.15272326,4499.9755874,2553.18840088,1139.50631982,1.38031916,6.293155231999999,16.910631572,33.995518972,55.74695785199999,86.36028099200001,114.55956512,138.34053738,173.63475578,201.7864186,216.6619178,220.8757986000001,222.6649952,194.614508,164.2460678,131.68698256,108.32527826,87.47188840000001,79.7766402,77.03327752000001,82.51149592000002,87.04394154,91.16572246,95.04425844,101.93815912,107.10487624,113.88652412,123.97987786,135.24934108,140.43843348,141.3740903,144.4554551,144.2233095,140.71825436,139.38339566,142.82331582,149.18434902,153.92592342,157.93651256,168.38478586,180.5611774,189.225157,203.8810706,225.7132964,253.9712152,275.2874528,306.1057492,337.328582,381.9256974,408.6773852,443.1488012,452.0143458000001,459.9170839999999,429.3664476,398.7984766,353.4343504,318.7591092,276.59019334,249.74097074,228.24368974,216.28985414,202.30895702,192.96607408,187.60634808,179.47590316,171.78996242,166.61695398,162.80038498,158.70740908,155.32701812,147.16844558,139.48883306,125.21402472,107.2126435,86.97109138000002,70.64075324000001,55.41146089999999,39.70666434,25.84436166,16.41839566,8.86288788,2.5323307,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
884,CNTu,Canning Town,2/3,17635.26245384,420.5474535180001,2036.533734972001,3858.5407585,6034.40069152,3629.22977716,1656.01003817,2.890937912,8.241087818,20.903827358,37.012979878,56.48574367000001,77.89065269800001,99.62810349200001,117.494120692,148.542452852,176.95902628,198.17654792,210.90249912,219.46304168,204.7574222200001,182.87208874,162.71723856,148.8910304,134.88228092,126.46535634,121.90474994,118.40574978,111.2724555,106.55303202,103.05994492,103.08916126,106.12975408,112.80952028,119.18269108,126.56895754,132.62638884,135.86584374,141.37769594,147.99191314,153.34906504,157.20543438,165.5896581,176.13545408,186.69130094,193.84533544,210.05886236,233.01535964,248.1521486,271.7592652,297.8057666,326.83989,359.48820558,403.02162878,447.22855058,514.5877808800001,559.8336762800001,591.4254008999999,613.7661595,615.3778187,576.6894887999999,541.5155920400001,484.6264994800001,431.88225328,386.03298914,344.93898046,312.58684864,300.56358252,292.49215622,280.1755907800001,277.5738310600001,271.31111782,262.44361154,241.93573738,227.29307832,214.70163192,207.14046222,193.38553802,185.09228926,169.73497496,152.054929888,127.38559101,107.65890663,92.65759675,75.12111101,55.158351082,38.99872068000001,26.83878782,8.85445852,1.2266884,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
537,CPKu,Canons Park,5,3318.850216308001,39.212831272,393.093118264,667.7631349,1378.919022794,638.2210228859999,201.641086192,0.08946701200000001,0.2319996068,0.8798885232000001,2.3112297812,3.9771928012,7.208461335200002,10.0902525444,14.424339668,20.166082198,25.72606897,33.89143276400002,40.41604796,47.97801571999999,47.423792992,45.87676046000001,37.82829170000001,32.55188639,23.22433578600001,19.927562202,18.082841122,17.575173306,16.765426782,16.56514588,16.140132568,15.481181268,16.31744077,16.109277556,16.83198264,18.398409942,20.311362462,21.689517476,23.209946836,24.695519248,25.637915142,26.013594802,27.05349496800001,29.34980879600001,31.97210293400001,34.554561954,37.567182634,44.09055238800001,51.212356768,57.0494417,63.17160608,71.34305110000001,77.52101074000002,86.70166152000002,97.15383481999999,114.65994494,125.28999622,138.271284576,140.698249942,146.091023902,136.489706162,130.399594982,114.29966389,104.16954702,87.75578433,77.62519987,64.347228162,56.703340582,47.857632546,41.54747219599999,35.911775336,34.115338424,31.5752470396,29.5701022796,27.04235510080001,25.0218234478,23.6862896438,21.9337684548,21.9775493948,21.0541077136,19.2771883466,16.36965501060001,14.64476486,10.93318198,8.83969862,7.0531123,5.1827052,3.0771314,1.92511534,0.66499448,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
558,DHLu,Dollis Hill,3,4573.713554198,78.840633298,653.3897142000001,1114.721451,1542.5711058,812.9482717599999,371.24237814,0.072533062,1.042294662,3.426288262,6.345877961999999,10.63860863,14.53312784,19.33225624,23.44964664,29.1327116,33.472666,42.048703,49.31738180000001,60.53645360000002,67.66389,73.7526876,72.17629000000002,69.54053660000001,60.88976819999999,51.63170060000002,43.2269252,38.9001552,34.0143974,31.5147832,31.4408264,31.06558980000001,30.8194348,32.2601086,33.063698,34.4296094,37.15685640000001,39.49177160000001,41.52897100000001,44.7431414,47.02579500000001,47.2658576,47.7967384,49.00134940000001,49.34451420000001,51.5643476,55.7887014,64.3393452,73.5962348,80.003335,88.56588920000002,95.45449380000001,104.9556296,109.8353602,123.390391,130.7500378,141.5511122,146.607953,150.3014096,147.7168124,139.7284884,132.691134,119.5882838,106.6612208,92.73740760000001,86.48150688,75.45251997999999,68.62762378,65.09571488,60.25613580000001,57.40128152,52.15128742,51.46521862,47.8902452,48.72810928,46.17841464,49.84168594,44.71744174,42.31876242000001,38.69173264,34.96940872,28.14184488,23.4167792,21.29435524,16.26348562,11.41507078,7.069618320000001,5.198674,1.725104,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
579,FRDu,Finchley Road,2,11077.96381029621,374.6099457419,2530.864607745999,2851.4465838726,3237.6869573818,1606.2159908297,477.1397247242116,1.415175012,7.06329712,16.5967273286,29.09542300394,48.29590010794,67.94126159134,88.88700092334,115.31516065474,152.3828592594,187.2937142174,226.238232594,266.156781356,286.006374942,286.2296572660001,265.7355421288,235.8576074842,195.0540017536,164.4644909316,137.6385119976,127.8068338154,117.498511326,111.7027140736,104.2980389622,99.57898597020001,96.3152891228,97.4252721974,96.51648087520002,97.8767478988,98.74536799080002,98.9507845908,100.8735000244,105.5396881896,110.6464787986,116.1709810546,119.3132015154,120.9055519198,121.7072201538,124.1214907794,128.7771925686,135.3224959446,143.7045795528,154.5949417408,166.5713414974,184.289727125,204.1504149334,223.1653011706,236.0080527994,251.3183251096,267.6536777248,282.7369738504,298.3312500444,313.6384275496001,319.192868532,305.419232276,280.5968506748001,255.4755827168,224.5457533996,195.9779391996,169.110778454,151.8675211187,136.6403473547,125.2076990039,114.5782057399,110.4430094097,105.2331891254,96.0465580874,90.6795937234,85.88539621340001,82.921135925,77.39304959358002,69.90241329564998,61.50085791699,51.88180135099,40.18094412210883,29.45039160232882,21.63767641095234,15.86390233761234,10.99859467761234,7.09249846869352,4.58172748869352,2.671161834,1.0635697,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
590,GPKu,Green Park,1,46521.43057225198,2653.581607552,19836.9237808,16095.6429136,5754.330149400001,1725.61532586,455.3367950400001,4.540294688,38.276932688,86.67515708799999,184.673937888,317.9397174,475.6958586000001,667.4919346,878.2877746,1098.4274598,1305.886838,1501.1664864,1675.2431376,1866.5942242,1985.7630022,2015.4027642,1986.5386402,1884.899641,1700.993938,1479.933804,1336.0738452,1219.9434772,1121.0183884,1018.3471408,940.7280082,857.532244,788.7076406000001,716.6161402,679.4614644000001,679.3198910000001,647.5192654,605.6046182,590.9212634,567.652372,524.0162786,507.786909,502.7781586,495.9439326,500.6535538000001,499.9665418000001,508.107443,520.693575,534.4765016,532.6437272000001,535.2043786,527.6095952000001,517.8681862000001,491.7116154,487.9758266,492.5908538,502.4885724,498.7130814,501.4832642,485.1482102000001,461.0509524,416.2194916,371.4705,316.8220002,261.4236576,208.7119274,171.1443848,139.5894906,114.071735,98.13412566000002,88.82852832,82.27658892,80.04032386,82.34434838000001,82.22821512,80.10748194,73.07628075999999,64.14278048,52.14606467999999,41.85959658,32.16487124,25.7719343,22.3698875,20.82909296,16.21700906,12.80807572,9.410726440000001,4.43299338,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
622,KILu,Kilburn,2,7968.493390426247,208.8578091858,1234.9088402468,1970.832180639222,2480.679779072436,1434.704440917325,638.5103403646631,0.3786903100000001,1.5571381964,3.9880441836,12.42307703604,20.08056140324,37.53059195124001,57.10059240784,75.79911369743999,89.20254318380002,109.0122924506,116.1896389626,123.4278612396,130.0226649928,132.710020518,119.87812387,108.5923003586,93.399480906,80.34351927600001,67.8364021304,64.2939923584,63.7706778498,62.59171907840001,58.6963040254,58.84295905600001,59.90534203624,58.99035823182601,61.31898121634001,64.176771774984,68.073629108412,72.40755620323802,75.98551345456201,78.467076300048,82.521071701704,85.974597596034,86.53854110039,87.5403735959724,89.29112394997242,91.59474350007241,90.72338660340121,94.62604407008439,101.872980909592,113.192166329592,123.792521184122,139.9377417630352,152.2418235285528,170.2947764345528,175.4211014241162,195.5468238521862,209.3252149831862,227.9826302583634,229.3900156583634,246.3369453288,235.5121357488,230.6267286388,208.7634306417572,199.2381525749572,176.5912017036878,159.1618023816879,139.5623900552879,132.2826451193706,121.2551129830506,113.85534599432,109.50429765632,103.52749910272,100.20522612488,95.91638555200002,91.74847815199999,91.09405609199997,90.51666935200002,88.5165972221326,83.3436451101326,76.45142431013261,68.89358766413261,59.0887543641326,47.11376239400001,37.06454618600001,30.730139422,23.073153228,15.316520988,9.794854288,6.366850836000001,2.239835,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
