ID,Complex NLC,From NLC,From ASC,From Station,From Node,To NLC,To ASC,To Station,To Node,Movement,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
30101>30110,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Bakerloo // NB,Enter-Board,1586.76117673,8.54381094,81.94378990000001,532.5173963200001,621.7014362,254.822468,87.23227537000001,0.0,0.27171078,0.429364672,0.6862626519999999,1.053571672,1.724300272,2.036474012,2.34212688,2.7739732,3.68133918,5.10602158,6.534157860000001,8.5283435,9.2602276,8.95805406,8.01408586,7.32727258,6.552709780000002,7.051497380000002,8.15610732,8.85114312,9.7194136,10.6942766,11.429826,11.3097294,12.1359572,13.0863662,13.737556,14.4329622,16.2634514,18.736006,19.8798842,20.586383,20.6812262,21.063459,20.6811954,20.9438868,29.49145039999999,34.3549836,36.30473079999999,40.3631414,45.6733782,41.27114539999999,40.82584420000001,43.7263202,44.3782722,48.6437208,53.05119079999999,56.795951,57.56965779999999,59.78343320000001,55.4586072,53.85413920000001,52.1715258,51.0420802,45.2265378,40.707697,34.8202894,28.7106916,23.1355412,20.222225,17.9275974,15.5827324,14.8299066,14.4703356,14.3230044,14.9910936,15.1013538,14.3041318,14.0056962,13.316607,11.2277622,9.2618602,8.3229339,6.374312700000001,4.471431160000002,2.923212914,2.047313314,0.7202916140000001,0.237848614,0.018873754,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30111,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Bakerloo // SB,Enter-Board,4345.550172030002,30.62974013,465.6271608,1714.1210256,1565.73909,451.8062889999999,117.6268665,0.0,0.198118686,0.5812741060000001,1.284708306,3.311114506,5.592932306,8.08382022,11.577772,15.3323132,19.049128,23.8857588,32.9302514,43.0504462,50.59030179999999,54.92196479999999,55.50188120000001,51.33254060000001,44.65338360000001,39.0180076,35.36118360000001,35.8432746,37.15141060000001,37.5313704,40.6228422,44.2329882,49.7909812,56.70133860000001,64.35297779999999,69.952916,76.20096600000002,77.4989458,74.8286358,73.9428138,73.30159979999998,72.8237098,72.97778100000001,75.258875,79.931781,87.80371099999999,89.92959900000002,95.711613,105.202191,111.090755,111.437949,117.986875,122.901015,130.151547,133.536803,143.940272,152.027172,156.206778,146.3886352,137.6833152,124.3385572,110.0342652,90.54385520000002,75.998323,63.55061900000001,52.45904700000001,40.4124326,36.0939876,34.0257254,31.2631004,27.3281894,25.4266364,23.2131434,21.7927894,20.2422954,19.1105434,18.6057422,17.56774140000001,15.5618746,13.9769198,11.19030874,8.268319060000001,5.7803459,3.503957900000001,2.1444077,1.39876776,0.5179380400000001,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30120,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,H&C and Circle // EB,Enter-Board,4988.465595,118.1229254,717.8843388,1811.7929542,1473.7725366,615.2473964000001,251.6454436,6.6718408,8.1569482,9.4757232,12.4927996,14.7537566,16.7278316,21.52632220000001,28.3177032,32.1700702,38.1678808,50.193825,63.570075,71.62065820000002,77.5292618,78.39870060000001,75.35106060000003,65.1948694,59.00825660000001,53.8793994,52.8002812,50.51934720000001,50.9939164,51.30749520000001,53.3159164,54.1466438,55.4477358,58.7442958,62.9344186,65.9102456,69.006305,71.0136042,71.671501,70.47071000000003,70.50614499999999,72.222065,73.79294780000002,75.741591,86.97292800000002,98.05793,102.642804,109.453699,116.1825338,112.7310338,108.0071418,110.6235838,106.4976328,116.361428,121.179432,127.15849,133.63839,146.191556,138.94755,134.07754,126.3503,114.870642,97.875992,85.11002660000003,75.15576580000003,66.3425988,57.36393980000001,51.86317380000001,47.54188720000001,44.88701400000001,41.39415440000001,39.4988734,38.11635740000001,35.82900880000001,32.1445964,32.065589,31.7075298,29.2733344,27.8572802,26.7391718,24.4463214,21.23763120000001,17.59169420000001,13.91504616,10.32183296,6.02484536,2.47233876,0.7626471600000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2.4100604,2.4100604,2.4100604
30101>30121,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,H&C and Circle // WB,Enter-Board,2765.204465600001,31.13070768,278.86853912,1036.3905342,917.2937788000002,386.7247378,114.796168,2.74849486,2.9663839,3.2895244,3.7443448,2.36717128,3.01109394,4.9725785,8.031116,13.0840798,17.29939532,20.7121026,23.869441,25.2381628,25.61639700000001,24.753359,26.6451604,26.1031296,26.4499806,24.735609,24.361722,23.0988192,23.44346820000001,24.138347,25.9143408,27.3559086,28.2728366,30.018533,32.8994884,34.416265,36.4583672,37.6409508,39.9594834,38.6958078,39.1249292,40.40327120000001,42.91831920000001,42.24043,50.03075060000001,55.716112,59.43197199999999,68.205158,76.49248600000001,77.16897400000002,82.345516,86.58606920000003,81.51884020000001,82.08832220000002,82.22703620000001,80.45100699999999,81.24334379999999,83.26425600000002,79.792626,74.77852600000001,66.65520980000001,63.99853580000001,54.6900066,49.46779180000001,45.56228300000001,43.17259240000001,35.4936924,34.8080424,31.0765078,28.7625754,27.3374338,25.2740834,23.0215798,21.8813702,20.8667854,19.401331,17.3441018,16.376,14.1551846,11.5696861,9.0706625,7.252679700000002,5.79782526,4.46814428,3.80133682,2.72455042,1.53927082,0.7808946600000001,0.51450004,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30122,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Jubilee // NB,Enter-Board,1976.76063299,9.129648758,139.766587332,681.5496694000001,690.2559510000001,338.4477302,117.6110463,0.18011656,0.4212237,0.6058869720000001,1.085919892,1.361059992,1.365703418,1.745294778,2.364443446,3.903030526,8.929187426,12.55832784,16.14411234,17.825784,17.7662834,13.84738368,11.41072888,9.07656428,8.775835480000001,9.46077548,10.068574,10.8025914,11.5043086,12.5130422,12.6772814,14.208214,15.1893772,16.468847,17.3655014,19.9983314,20.798599,23.2647394,23.93846820000001,25.3474914,25.4141482,26.913146,26.989128,29.677277,38.805803,42.5663022,45.36440579999999,51.4839832,58.348578,54.13106200000001,57.77904340000001,62.04994000000001,60.876608,58.9171394,59.853653,58.6042014,57.1918422,59.6909422,57.46665479999999,57.1847624,57.04555640000001,53.25385360000002,48.1207976,44.536868,39.2321628,33.2477784,31.35433940000001,28.87525500000001,27.488494,26.7113148,25.196973,23.485742,20.8471316,19.19139280000001,18.2802784,17.41908560000001,16.77441,16.6362842,15.3721064,12.690409,10.86970074,8.30962894,6.46008794,5.054797300000001,3.6646963,2.31771516,1.44180056,0.60032416,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30123,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Jubilee // SB,Enter-Board,8344.92414076,126.60310156,1194.6787536,2972.8022566,2643.241216,1055.9820586,351.6167544,2.80980414,4.12069794,5.882271340000001,9.71607214,13.8976824,18.9491994,29.4498488,41.77752539999999,53.3820066,66.45934740000001,85.59666820000002,102.836101,119.516847,128.984113,131.272512,125.929964,112.914302,96.267268,87.4251172,84.09450720000001,80.34001219999998,79.27154420000001,80.79416220000002,82.87865020000002,84.27514020000002,90.6168772,99.070336,109.180164,116.1739648,120.9314408,124.1852488,124.883234,122.382572,121.81217,126.444274,125.068802,127.844742,136.232778,151.926996,155.828226,167.583196,177.369044,187.635304,180.073378,189.276412,196.469136,219.223238,222.660222,244.54323,253.430098,261.501876,244.124156,234.817306,213.8086,196.466248,166.920694,144.37386,126.973736,110.887752,94.8889468,88.7316088,83.41311879999999,78.5950368,72.80367159999999,70.04330780000001,65.2103998,62.49938240000001,57.56123780000001,56.98505980000001,52.35405180000001,49.47203380000001,45.01655720000001,39.71779660000001,31.9085278,25.5305384,18.5326926,12.7771438,9.193079,5.877997000000001,2.9821834,1.2690932,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30124,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Metropolitan // NB,Enter-Board,3852.593312140001,31.86825442,198.48208252,1015.1780014,1671.1494538,697.5438584000003,238.3716616,1.07769136,1.8658707,2.51062898,4.00924398,3.98758028,4.50911096,6.30502942,7.603098740000001,9.08085684,13.02551758,17.4457123,19.6320659,21.9618625,21.7283384,19.2612858,17.3710266,15.0771884,13.6539048,14.6308418,15.6134816,15.0853788,16.3997938,18.8927696,21.0079372,22.335433,24.7105316,27.2090722,29.1072658,29.2725736,31.50430100000001,34.73279460000001,35.75238260000001,36.7483274,40.2763726,44.50569,47.3398078,50.50334160000001,58.1061928,63.8897194,64.26310520000001,66.73671440000001,73.3500468,76.87864680000001,86.56980279999999,99.3383822,111.6838622,117.6227832,134.6309872,141.852872,152.838332,160.817102,173.032404,162.28879,152.92608,140.559132,123.558727,102.6047038,88.14875040000003,78.17149040000002,66.6490464,60.51166740000001,55.11914960000002,52.35534900000001,46.64767300000001,42.6612902,37.689335,34.4600056,32.52539760000001,30.643027,28.11122880000001,28.1627294,26.59420840000001,23.984621,20.94811,19.0540646,15.7584884,13.7207514,11.2798806,9.0215342,6.1795486,3.4857934,1.4276758,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30101>30125,1475,511,BSTu,Baker Street,EntEx,511,BSTu,Baker Street,Metropolitan // SB,Enter-Board,5519.397887000002,88.67645540000001,1105.7575796,1661.001859,1949.8773852,574.6094668,139.475141,0.0,1.45457812,3.0066946,5.085997799999999,10.2187244,15.7064944,22.17903228,31.0249338,40.8748126,50.71890399999999,70.046246,91.295534,111.62736,124.211705,130.4843498,128.444981,110.271339,97.04076500000002,81.74527700000002,68.99630619999999,57.92356060000001,57.43162700000001,49.81801460000001,51.48479620000001,53.07520080000001,52.0389246,52.73795880000001,55.38049640000001,57.93764179999999,61.15455,62.56506659999999,62.63800000000001,62.12141280000001,61.80975479999999,61.17433080000001,62.4289308,63.5359708,71.85831359999999,78.6454708,85.47927800000002,94.235292,105.401112,117.5182172,122.607938,131.026826,145.584484,162.005568,168.229612,186.522954,195.934454,196.26496,187.466016,174.768056,153.839082,134.83032,113.4050532,92.8033332,77.9937912,63.8159444,55.134022,47.07716780000001,43.82398380000001,39.035802,36.5625968,32.4224886,31.351661,28.5358506,26.0528254,25.6724662,24.7628598,22.405673,20.586666,18.4032828,13.06314,8.466963,4.4010824,1.7130078,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30110>30101,1475,511,BSTu,Baker Street,Bakerloo // NB,511,BSTu,Baker Street,EntEx,Alight-Exit,3297.094768169999,83.5869027,1163.8568902,1234.4280638,487.8820813999999,235.4830198000001,91.85781027,0.0,0.6882674000000001,1.8156162,2.63729894,7.31833194,14.02042194,23.87164654,33.23531974,44.87101300000001,55.658666,66.43483,77.8200512,98.7677612,117.7461852,127.3177372,135.9879672,134.762006,120.22647,98.8651566,85.39904659999998,71.0847326,62.2119,56.9914928,57.95490520000001,56.6417192,55.2668672,52.2065544,51.87343600000001,52.77889399999999,55.67411800000001,55.8431188,58.29375820000001,56.76226020000001,56.01208399999999,52.11856760000001,49.19220800000001,47.40289460000001,47.78296820000001,43.99908140000001,40.98820480000001,40.8557676,38.8503766,37.03343940000001,36.608715,40.087784,41.354481,40.76421679999999,40.725297,43.27360100000001,42.36782460000001,42.06464620000001,44.0971734,43.1483964,39.4073828,36.9612894,33.6299888,28.977684,26.0319682,23.9143312,21.28879640000001,20.0416078,19.5684568,18.1397488,17.438842,16.385072,15.1140484,14.1260566,14.4564076,15.0705014,15.3305494,14.5085086,13.35708,11.0074924,8.01962898,5.47471022,3.9694336,2.420831094,1.420879494,0.8213329140000001,0.406536274,0.05032589400000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
30110>30120,1475,511,BSTu,Baker Street,Bakerloo // NB,511,BSTu,Baker Street,H&C and Circle // EB,Alight-Interchange-Board,19.123330621,2.1027248664,2.6824499206,7.344200790800002,2.994956767200001,1.9694756812,2.0295225948,0.0,0.26724438,0.327168506,0.387920994,0.387920994,0.4022515,0.1579622232,0.1722562692000001,0.1115037812,0.1115037812,0.1672452292,0.161076375,0.129541885,0.1780620930000001,0.243414793,0.258962759,0.3781180980000001,0.368471414,0.319951206,0.254598506,0.168978586,0.092152264,0.09922595,0.1634130060000001,0.1912727320000001,0.300113186,0.313067684,0.316348496,0.321520068,0.337537166,0.299267688,0.325667932,0.320556792,0.33439518,0.4220096480000001,0.4181572079999999,0.394671494,0.4160924140000001,0.447552378,0.411528438,0.405146396,0.330162102,0.2726753284,0.2426886544,0.2317403724,0.3115836684,0.3115836684,0.309369166,0.2289110908,0.1483645276,0.1347546876,0.1639004056,0.2052146196,0.3404055168000001,0.35880252,0.2503265240000001,0.274091974,0.2327777600000001,0.151287492,0.128917982,0.131427454,0.13583716,0.1435560592,0.1060324924,0.1239018352,0.1494214192,0.1886660192,0.2035580340000001,0.2345234708,0.284234352,0.296263494,0.215893818,0.208096132,0.184926876,0.169870242,0.1307663248,0.1145705268,0.0997572988,0.0715718248,0.0190482348,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
