NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,20985.02354401462,169.374525426,1183.920442203499,9756.495805629971,5860.664554595671,2826.969130273259,1187.599085886228,5.62570678,6.849724960000001,9.746839280000001,14.17383932,20.59813096,26.06971766,37.36625972,48.94430674600001,51.82706507999999,52.19156436,54.81290509999999,58.43246114707707,62.62193000107707,74.17627624707706,89.12442050110559,108.2932023531056,124.8885853511848,144.7852967991848,168.246672430858,194.5200628328295,214.1697450132407,245.2039615480844,276.2310672447986,308.8057299731254,326.2692135733732,346.6818778009621,362.5103105927712,381.937095538057,394.2134835175314,418.5406087212836,437.4897656530496,450.6554999812404,443.4032489800197,447.2362742605452,444.9022307894613,445.3212751896952,443.7189384627541,453.3437523339749,456.2916063628548,466.4945913859389,468.3722733731065,487.6408999400476,508.7231704605676,528.3391849334877,542.7127176902776,563.18769635111,565.2810105381901,566.81301058967,542.5118785513621,520.489711505372,498.1702423425628,466.1822245634828,426.9535222480228,411.9616492410838,391.2930473418639,365.107843632673,334.683749691153,314.582878790613,288.656464862673,266.529465959093,244.680526348909,233.872994862429,217.055306752657,207.273666364044,188.377489754204,178.007806044588,177.3354346245619,175.9133462183339,170.3885792807383,168.0274483982383,164.9442959641598,147.8932335641859,133.0511565228618,115.6443023063449,99.63657939868489,76.25254698456342,55.33846738456343,33.74782842588743,16.56272664,4.898867839999999,0.66633034,0.0,0.0,0,0,0,0,0,0,0,0,0.04077726400000001,0.07635193200000001,0.14319788,0.14319788,0.14319788
787,BERu,Bermondsey,2,7679.973676419781,145.86506718,899.8447742000001,3744.621246,1666.2923788,885.3823742,337.96783603978,5.891199220000001,8.82829122,14.09009962,16.90279266,19.45517886,22.854193,26.9796292,30.8636834,38.305013,43.5498534,47.29135660000001,51.9701682,58.029922,62.34047700000001,71.2680056,85.2516564,98.36879259999999,105.2898552,115.3197792,122.859895,128.1248362,128.9990522,136.354418,143.5210654,153.2925456,157.6152964,166.3959034,171.4305816,175.7101212,177.379274,178.729101,177.5741252,176.1927072,169.1023572,163.9588592,162.6176662,157.246182,152.430521,150.3032906,144.9171246,139.938135,143.3931348,144.1655248,145.2294232,146.9200712,146.6005028,144.290453,145.489671,144.1393818,143.3009258,142.5826418,142.4508748,136.8724634,131.388872,125.8193746,116.4371466,104.3559806,96.4575964,92.27040500000001,85.01442319999998,79.6682198,75.99179380000001,72.8394584,65.681409,58.2459832,54.9057074,51.7753432,48.17605420000001,45.3009406,43.89863920000001,45.600576,45.3936204,43.2134298,37.29604056,33.48171456,22.89393096,12.98882076,5.106179360000001,2.6255696,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.00011993806,0.0155399697,0.05090477734000001,0.05090477734,0.05090477734000001
524,BDSu,Bond Street,1,37311.23906542323,170.432046474,889.8676265540496,13062.26037761551,15326.26774045324,6019.188695623909,1843.222578702488,7.167594230000001,10.394442822,15.804654122,17.948999944,22.012384884,27.290658132,33.70711817999999,36.10619416000001,40.8468550528,45.8256073688,48.41215033208001,49.95121284808,56.04444434405066,57.48313286711067,66.35370915311066,81.43833744683066,94.33224415883066,100.59086365746,117.6524195616,130.9366497632964,140.7877675562964,155.1102037222964,178.5736655998964,196.4932743781268,217.5970433824304,258.677527807727,294.482523723727,348.6071635680983,398.0416319278679,450.8319124894628,486.7664711901662,530.8947283034169,561.0139696268457,614.2204661576577,650.5442629400626,694.2377915439696,738.041818394719,776.592914886741,797.599901737929,834.2414681457997,860.6706520638928,906.665692646253,956.8552371322309,1014.712288689899,1065.687274200028,1116.072842055568,1195.710360867208,1224.209901817788,1250.27076809612,1293.17311981904,1418.1045501115,1465.23011386528,1484.3734566353,1421.26157082452,1308.7500037676,1083.423778393282,865.986763559502,713.2030510475781,630.3402198903581,564.703402817026,512.589355541344,474.1543331080944,437.1975011714184,403.3807866384491,366.5754740757811,356.4545818177812,348.8132348710308,345.7899910855451,335.4678615645145,315.8112529845145,286.1718456465144,249.6812049985145,207.005340014,164.65380467944,125.73231038344,85.37302908344,50.48293688344,21.67058408344,0.5936058040000001,0.3748215,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.00104835824,0.015773696212,0.06238634092600001,0.06238634092600001,0.06238634092600001
788,CWRu,Canada Water,2,11980.79752907579,302.3778744480001,1466.122370258,6185.29037818,2536.3857865,1129.38603666,361.2350830298001,11.653229658,17.0267949568,25.0316473568,34.3768417128,36.88469577880001,49.74509330880001,59.11913699000002,68.540434686,70.95035999000001,82.28570035599999,83.610270536,92.101449556,96.616609,105.13319606,116.88304766,135.36268884,148.76470244,163.48465884,177.49363944,193.43604754,203.47028158,208.1204107,217.25207256,231.50556656,242.0509442600001,248.80636912,262.0384759999999,277.6068436,287.122031,296.9162522,303.1112436,309.3365152,306.0899626,299.2988894,286.8700464,278.568104,268.4393718,256.965585,246.8015294,240.3617226,229.3024669000001,222.5129459,223.6930831,239.0496647,257.3035781,264.7468578,266.6487684,265.039664,245.3630112,212.67625272,199.5027632,185.31372712,171.22989044,162.14847574,156.89671314,149.51608464,141.36584766,130.2806026,117.7996217,108.49402522,99.26831066,92.32876366000002,86.04267512000001,80.71070240000002,74.66620684,69.30519376000001,66.14683434000001,62.97725270000001,59.31183992,55.4114459,50.69561532,44.59438244,39.99948624,34.64717054,29.81432678,21.457916536,14.264362296,7.272021616000001,3.191607416,0.325259916,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0259325538,0.074571852,0.074571852,0.074571852
884,CNTu,Canning Town,2/3,15968.205896,1099.21075192,2365.7264197,7614.453673880002,2746.9292703,1569.41046692,572.47531328,64.8331252,97.20931480000003,134.302259,153.2776714,162.0746786,167.0893427,162.06097934,158.36338088,146.65544192,146.15497838,146.85969428,152.59278182,157.4944398,171.2123065,187.37654248,214.05359176,233.23491736,249.63557636,271.60839834,288.8477507,301.19231262,313.07873334,328.7891542199999,333.8831591000001,348.3500465,342.4171265000001,347.781204,346.422875,361.039158,357.9779358,364.6142038,363.7850686,359.9641158000001,340.7492754000001,326.630433,313.0241284000001,306.188504,288.9269556,279.127043,270.3539772,263.0661812,249.0672798,253.8313346,254.1934684,259.5208615,257.79519718,260.4125019,253.24320424,244.34184744,230.2404692,226.06312322,213.98048304,211.80888364,203.4361373000001,197.3386723,188.74788934,187.14324932,176.82296742,166.0625919,152.91797872,140.19247396,121.53941924,113.08212454,107.38691458,107.79320514,99.6322371,100.81938544,96.01791956000001,90.11956378,81.31355668,75.499488006,66.430406438,55.45554763800001,51.41629097800001,49.512999638,39.894365772,29.65025260000001,20.81374274,11.8332534,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0024516056,0.1266407012,0.1355844344,0.1355844344,0.1355844344
537,CPKu,Canons Park,5,1782.22533122509,84.87403048799999,282.7376174460001,963.303145574,275.239244682,137.5697532404,38.50153979468941,3.1390798,5.834448,8.4377172,11.12817,12.2713544,13.9257322,14.546792344,15.590736544,15.346426198,17.548337664,18.282167836,20.007543858,20.967904978,22.441874764,24.402687784,26.242359672,27.073002942,28.119436868,30.908909208,31.396965674,33.16975755399999,34.882679012,38.502924856,41.12470673800001,44.006410878,45.832240238,48.162454544,52.170181186,53.025721024,52.15129113200001,51.715357932,49.30677805200001,44.23320978000001,40.96474902800001,39.875081024,37.844516184,37.24306043600001,35.211406856,33.647045248,31.723666032,31.087073372,29.75815448000001,29.349995454,28.314684534,27.356329244,26.23303046400001,25.722482704,26.23309500000001,25.778841534,24.750488134,23.287387426,22.31664318600001,19.82050954,18.830087386,17.778298728,17.132051336,15.988552436,15.288163564,13.620975564,13.792156902,13.902937158,12.5041863608,10.7607105888,11.0406520568,9.245487246800002,7.3829633516,7.127944508800001,6.915023502800001,6.4391687008,6.464515312800001,6.312954204000001,6.092005064000001,5.094487238,3.679059452,2.57933209634,1.36460012434,0.28748092434,0.15870569634,0.02919341634,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,7.1181254e-06,1.0149088e-05,1.0149088e-05,1.0149088e-05
558,DHLu,Dollis Hill,3,3102.918415900856,88.6349661749697,526.30915718,1658.8248347,493.1107534000001,280.0154851,56.02321934588539,2.948912028742426,5.005970388742427,6.984599220742426,9.332905440742428,11.526363652,14.158864612,17.614671312,21.06267952,23.67108118000001,26.46795806000001,30.29029058,34.11157582,36.59638766,39.49785604000001,45.27301028,51.10391188000001,53.70866218000001,57.4614291,62.74937139999999,65.377623,66.51020734000001,67.86949734000001,71.76041253999999,75.48183374,78.94208994,79.74289926,81.48105426,80.71189266,77.63313566,74.22644526,73.3885202,75.7855842,75.2695526,74.4792824,73.6530134,72.28295820000001,66.6532966,64.21352300000001,60.1206944,57.42161600000001,55.2579836,52.1324915,51.5598119,52.24703869999999,50.59056280000001,48.02929928,48.17311978,45.03639178,42.43027388,39.77081024,38.38285176000001,36.78794368000001,35.84593388000001,34.52342988,35.55076222,37.98937422,39.43212550000001,38.20485390000001,36.18866096,32.21001296,25.45467444,20.5464117,17.4177791,15.81981954,14.6239606,14.5825508,13.33329482,12.20134078,10.8103328,9.560654920000001,7.91327768,6.292153640000001,5.581101959999998,4.49499086,4.14519108,3.08547284,2.194196,1.21435912,0.7312064,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,3.20758684e-05,8.3323339e-05,8.3323339e-05,8.3323339e-05
579,FRDu,Finchley Road,2,7229.43834727472,68.307339086,727.5694293814676,3603.36729258505,1588.698929474292,870.7185215137409,370.7768352341693,2.363204866,2.945996514,4.322127974000001,5.91084378,7.269745936000001,9.749473364,14.784315256,20.961631396,25.864854796,29.24944586,34.88700202,39.40660674,45.39707334,52.20126440000001,62.1444299234,72.66384278893352,81.85777907733355,86.27442245093353,93.60582036393352,104.0168876209335,110.18959753786,114.67710418546,125.03178852386,131.88268960586,140.94360348666,149.7682433,161.32755495439,165.75912383979,171.41100795359,168.72440609639,167.16959260859,167.6593798402,168.4082444596,166.066839188,162.452440486,160.7128445456,156.309552999,151.970263971,149.3970108886,148.9379998452,146.4604768986,141.2678280952,138.2537572462,138.5859420294,138.7429660536,140.3354280136,145.5218016736,152.4167855078,150.5509834244,144.7625326892,138.1140286476784,129.6074229446784,117.3115922336784,112.2844348676783,110.7780991392784,108.2728542791,101.4430467831,93.78427707809999,85.92198839550002,79.80764893029999,72.82105778260001,69.29016893960001,67.84555112232,67.12756124532001,63.19786891945518,59.39776476185519,56.56481959565519,53.51676795993519,47.82387926881518,48.56870122988001,47.26009049848,51.3583771015625,50.7171928245625,45.40321889068252,33.75941046496013,26.12258492026012,12.26633213337762,4.31748690537762,1.89768020137762,1.2673752979,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5.2776978e-07,0.00275016779594,0.003918267122559999,0.003918267122559999,0.003918267122559999
590,GPKu,Green Park,1,25061.45884927281,301.4864124,755.78700872,10244.14276052,7841.6278976,3745.3264944,2173.088275632814,18.83927322,27.33959414,36.09484908,38.8906767,40.66771072,43.52586828000001,46.21500316,49.9134371,51.26362654,53.23278198000001,54.24752710000001,53.57500806000001,50.73858492,50.45425820000001,53.20289184,57.891761,63.69669056000001,73.80325282,88.0005037,105.680122,120.73786932,139.2177598,176.2715752,237.311964,302.1742058,380.6891322,454.5713164,505.067885,524.3832464000001,526.130705,507.9349309999999,487.3077476,466.8506102000001,445.805332,438.873544,432.0144286000001,434.3360186,445.6353632000001,466.8784373999999,488.328344,519.740601,550.450435,582.8270798,610.604229,639.0838954,659.2097288000001,676.5131732000001,679.0891158000001,679.162302,670.4899655999999,682.2117316,678.6628668000001,673.1897072,649.272417,614.2152836,540.5277106,473.1269914,413.0722834,368.091718,332.8228198,309.215435,292.3440324,281.641616,269.0412366,251.8729942,247.2455452,252.4866006,254.3652218,263.7540326,277.0668948,292.1465218,296.815913,289.1464576000001,266.2762889,210.03548754,149.76260934,89.28152333999999,38.23363494,0.43632384,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0009728113,0.02693691958,0.034892733978,0.034892733978,0.034892733978
622,KILu,Kilburn,2,6034.306354338619,157.61910956,937.9659784993255,3080.99972008426,1067.4125412704,578.9342154930799,211.374789431553,5.45370996,6.73214194,10.75388034,16.09760044,20.94930856,24.96768672000001,33.72577506,38.93900654,43.06913077999999,46.59672758000001,53.14290414000001,60.11162812000001,65.91554144,72.43180964,83.289065798,90.15581056957545,97.19799780117548,102.0084720507755,107.6877056295155,116.3591849502836,125.2723855981082,132.5550654439578,140.8543451375578,148.8557944378818,149.2712212111136,149.7851686157136,147.116752570664,147.936747419464,145.3203455044,142.5815902244,140.5833012682,138.3355331558,134.7929568566,129.6614305456,124.4320173916,122.0172852118,116.7629332466,113.0359097978,111.8178641356,111.852614113,106.7390201684,103.5151548196,101.4420495496,96.46223366079998,94.3611803904,91.217307007,91.42566395500002,90.41527575100001,91.68009240699999,88.1407286656,88.10619565760001,88.9792478476,87.76709095360002,86.75817767560001,85.74004980400001,82.82153115600002,74.088251072,66.27236584600001,59.75021199200002,53.294932794,47.65448982740001,42.9971154401,40.5605728509,38.7172982749,38.2236819997,37.8810660873,40.3978466136,39.09638269518,34.95695915118,32.1521937018986,30.4309926766986,26.95269081969861,25.9836215573186,21.9521506113186,17.4154769218,11.568678682,6.90373544,2.02331456,1.0317848,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3.9751172e-05,0.0005061173720000001,0.0008815470320000002,0.0008815470320000002,0.0008815470320000002
