NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,39648.9218480832,428.2380106655895,3421.837123051252,13995.62775641757,12653.18688237331,5677.024338023706,3473.007737551766,14.6725147,20.901046066,28.879485558,39.27754224713254,49.48043047513254,67.78307131924149,91.3216984802415,115.9222218198415,144.220042363709,174.1228361545215,219.2078354632126,256.59866444697,304.06325528937,331.7188767813699,347.5082335552822,346.30627168048,338.4323047987655,322.7193937067655,313.5073320417654,323.4320767690406,332.3195744779711,347.7847157349282,357.8055743000687,384.8903443420686,396.0886493560686,412.9912876151404,445.5147904557701,477.7011641636296,496.7879417611297,526.9921272471297,546.4188367595244,567.7631968728947,582.2682182593946,589.5813152198947,600.7092073372976,622.2548802741029,633.158401027903,661.108396386403,703.762889607569,737.4089410901663,797.3815265165662,855.0600632807663,934.9401401311734,984.9355742000072,1032.956210558277,1057.141994816677,1099.110392168724,1103.684383786317,1109.962081120777,1117.417951680507,1129.271007824635,1102.038397574688,1050.547574486304,1017.701135933212,968.2317584139261,865.123994009266,767.071186705166,686.9372884563502,600.8863117909821,523.375070273608,474.15172239538,432.30736181938,398.5021598685801,371.66099390258,353.28070684124,346.03444068514,356.1440313051401,366.67306398016,372.68858914016,369.59192682716,372.17774206202,354.5033003308037,339.7453097258866,315.1057864016664,297.3003148146664,253.902750009267,207.2724236004831,153.7971858503803,110.0071895746005,70.22037231460047,45.92404896,32.1650427,26.1741146,26.67208729999999,21.9466559,16.83224777400001,12.748729974,10.490939574,9.574666874000002,8.770828994,10.8707655,12.14654966,10.173999374,6.459897712024,3.996358992024,1.747913012024
787,BERu,Bermondsey,2,11956.97728627785,553.3888010000001,2930.0769318,3374.0417654,2878.902988,1401.3406636,819.2261364778401,11.9262638,22.1199672,34.746685,53.4259922,74.16760260000001,90.3924756,117.3003112,149.3095034,176.0871092,203.807842,232.599584,261.157941,283.7555882,292.525674,294.15833,288.967766,266.948896,232.4608208,209.2559726,188.351408,167.244298,148.323878,140.444494,135.8904986,129.6118952,125.1265298,124.1436778,124.9702908,127.4066354,125.7754544,125.9134336,128.6588278,127.047842,119.3289236,119.4194926,122.4712786,123.8151304,125.6322346,131.7911972,141.4139104,162.3626026,181.7993246,199.2835242,216.1663912,229.99542,222.90297,228.013502,235.765005,243.2764008,249.2600748,258.7888396,256.1438906,254.0942746,246.3625338,234.4251518,219.874925,201.187168,177.2453316,157.0425446,135.9346946,118.6029206,104.8939016,98.23025260000001,90.54168520000002,85.70088860000001,79.70802820000002,77.0276078,75.22564020000002,74.3807492,74.18631020000001,78.2390906,79.0620628,75.95189880000001,71.88978860000002,66.85261220000001,58.76134560000001,48.492909,38.82646408000001,30.39047154,23.01111544,16.15142902,12.75033842,10.12067536,8.480505180000002,7.40589306,5.633830928,3.828277328,3.924983048000001,4.148683268,4.325195668,4.90292032,6.067651580000001,4.72304580446,3.38739576446,2.12187358446,1.20862008446
524,BDSu,Bond Street,1,61984.7007196406,520.5920717908839,2307.583760711482,17466.27527106649,21960.571867978,12742.27674977803,6987.400998315706,15.33149908,26.81896468263368,38.17979896743822,58.86762360543823,73.54804287443542,84.91447866545342,103.0896737804655,119.8419901350194,127.3279384610194,138.8664075288222,150.2659946992042,162.6033736187984,175.564506623466,190.173429763466,200.973699590486,211.219449373086,216.674115853648,230.062672017622,242.622049514842,261.230123667022,280.970511159422,300.2449043068464,321.1340089125764,348.3665367813565,378.9183703713564,412.9621688709564,459.79283070113,509.0229824214001,549.8504108242,586.0922639642,623.1211423878501,655.07601141385,675.6895596138501,702.8856851830501,758.10059497225,808.5470610386001,857.9684946252,923.0689183012001,1017.6429675052,1087.274455862,1159.68750914,1237.96690026,1359.949821344,1451.941161106,1543.682635996,1627.53897249,1768.507849406,1835.390442118,1923.89970011,1970.344496948,2057.49699315,2027.566511946,1969.22384484,1846.78142346,1769.2095088,1620.929488714,1479.527435814,1353.64295824,1279.033257532154,1175.181264568154,1070.982247456154,1002.943723295554,970.1202594575542,918.7575451754,883.409228488564,861.4459520665639,875.8604332223639,871.372444461564,858.509940751564,809.2593877424001,804.0737207080001,740.6525178127999,667.7731566976,580.8183845828324,531.5711290048324,430.1950462652325,331.8935331052324,245.8267778592324,184.572765914,127.044460692,92.51175460600001,81.138690626,74.14594417999999,71.66376612000002,62.61558658,49.99115466,33.85918006000001,32.59761454,30.85916554,28.22815862,31.94710192,35.5222227,25.1383205284,13.21055271986,8.12890557986,3.652058199859999
788,CWRu,Canada Water,2,16523.46749406358,786.21623468,4266.65955888,4849.0176529,3602.3355084,1841.09860462,1178.139934583569,20.9062002,35.116507092,51.983160152,79.800382772,105.932987772,129.263043512,163.28961342,199.92433976,234.17043934,270.28195914,315.6701004,366.3017796,413.5122444,430.8340630000001,442.6669452,436.3462992,404.3451927999999,352.2486236,316.3631236000001,283.9187886,252.15979,224.1191294,213.5814726,209.8314292,202.3945362,192.2633683,192.4392811,195.4946675,197.8637885,195.5909063,197.0378472,196.7442644,193.814325,184.23981972,183.07824492,182.29255752,182.54928052,185.27936532,195.4503532,199.8890286,206.0387592,211.0232152,222.7125336,233.1296894,248.419816,259.1357418000001,274.6803044,291.3654310000001,311.9509176,322.0839554,334.5665878,338.7352176,329.452559,311.742991,300.2040010000001,279.9979858,255.5272196,228.4191484,203.8674694,177.90267672,155.1451722,136.25061242,123.4453797,111.8287305,103.07539666,99.24144678000002,110.59847636,135.79687588,140.3857172,141.591299,141.604125,129.4520688,101.2713356,87.66796662000002,77.26305978000002,64.38770181999999,49.77505056,37.83325016000001,31.213002612,23.677323712,20.16073942,17.91956266,15.201153998,13.219350586,12.577700086,9.985658238,7.48556207,6.706397332000001,7.365383983999999,6.834694150000001,8.36311793,9.293044914,7.635083285492116,4.807740652692117,3.296727846692117,1.166116566692116
884,CNTu,Canning Town,2/3,21508.66441545255,2023.36510628,5894.15335204,6069.199295740001,4257.96835398,2138.61358938,1125.36471803256,61.93010492000001,97.37822142,149.50860554,226.82538394,279.38545168,340.4748691000001,408.5896058,459.27286388,470.4517952799999,488.6952972,498.8668606,531.3048455999999,550.2797182,560.0954470000001,564.7407378,543.6528112,493.5173429399999,431.0744251400001,397.3665791400001,364.10749194,329.24645308,293.34062684,285.60413724,273.33481534,258.91161376,251.67837116,251.77887112,249.03624032,244.48916282,237.68505532,238.13411938,239.4546235200001,232.86370818,225.79432174,226.29004242,232.08592496,226.60275576,228.8479347000001,233.7652761400001,238.66828298,245.01309304,254.97023564,275.21911984,296.38451044,311.647349,312.3177698,331.842102,348.2192166000001,363.0746749,373.4338619000001,396.0430997,395.0514691,383.3770643000001,368.3306576000001,352.4008497999999,322.2302392800001,292.84488388,265.56907488,239.0157305000001,210.7061819,190.40878856,174.25046492,159.79984556,141.85233462,129.59334464,118.82428158,111.88201476,103.86664358,97.37577067999999,91.32142786,85.46179142000001,81.3123118,77.18288084,73.79051104000001,69.78144744800001,62.80517218800001,55.81005546799999,45.66261641599999,33.670120488,27.19392898000001,24.87502594,19.30310494,18.540404812,22.47941082,22.01043092,18.42211938000001,17.25735418,16.78159086,17.8889288,21.7367584,27.26438392,29.73614202,26.059899572,20.79484425352,13.80128825352,7.044996333519999
537,CPKu,Canons Park,5,3463.546910030482,406.429185577,1116.574887714,938.530776666,708.637246544,218.870519356,74.50429417348302,9.7145163034,16.53587030340001,28.87725820340001,46.4935358434,57.62868261340001,70.33017826999999,84.04460445000001,92.80453958999999,97.35044459,105.9123625,115.53718366,118.2330662,113.12241268,109.02027448,101.7361415,88.68834212000002,77.37864956,71.295541328,63.66394020800001,54.636528888,48.37575544800001,44.625240736,43.07141574800001,40.236510068,39.42810062400001,38.947147464,37.058462896,34.952209936,34.676775316,34.54120587000001,33.861174306,34.224909846,33.37940770599999,32.003375046,33.16512719600001,34.21238126,33.22752252,33.9610857,34.706025608,33.756562968,36.10050542800001,47.26250078800001,56.82909864800001,65.92827554,69.398889534,69.93204073400001,64.284964414,60.10461893400001,55.51600821400001,56.12886897000001,60.03659012999999,61.569391946,60.30733682600001,55.98193646200001,51.78487814000001,43.59172224,35.887092564,29.471005684,26.037728244,22.777346756,19.492893576,16.76752876,14.95485394,13.589189604,11.355834924,10.127948964,9.57424232,8.83485402,8.649882954,8.452357838,8.321683087999999,7.670828287999999,7.199305888000001,6.020149548800002,4.8148542368,3.5581573148,2.7031405988,2.233779458800001,2.077328164,1.745761242,1.624252094,1.546280074,1.298870614,0.82514789,0.6797753846966065,0.3240553846966064,0.3078531486966064,0.3106524206966064,0.3878354846966065,0.55191774,0.8290649600000001,0.7730991979999999,0.66798018,0.51186424,0.34778198,0.07063475999999999
558,DHLu,Dollis Hill,3,5486.068760853736,410.0705907600001,1753.51723334,1645.8989292,1066.7091775,449.5572729400001,160.31555711374,10.5040206,18.52972308,29.18664756,38.30928136000001,50.7125847,67.3253915,88.30925422,107.19368774,136.19534454,152.2239584,175.9927358,174.72229,181.264319,161.2057736,160.4956016,142.20052,136.6134324,118.3186872,114.068994,100.2155768,88.62620720000001,79.02818314,74.06124014,72.12082314,68.27708044,64.40827544,64.5505941,63.9117693,62.12739110000001,61.16788460000001,63.2875829,63.46970050000001,61.19700209999999,59.4102147,60.69003750000001,61.6021852,63.0118478,66.84150920000002,69.7318882,71.2273927,72.4106401,73.9358981,79.29264470000001,81.5109369,85.1018124,87.11074640000001,93.6033658,94.52888100000001,98.3579138,96.9995062,96.7816636,91.62641700000002,87.7960786,83.23090260000001,77.6890798,73.88281030000002,66.66135220000001,59.8244874,52.113953,46.9188078,39.04219782,34.35197119999999,29.5030668,26.39710960000001,24.12752394,23.51271322,23.57365874,23.53043122,21.56440176,19.93573992,17.63632952,15.26091372,12.27765528,11.35684428,10.43415164,9.205973340000002,6.90174032,6.110654631999999,4.79347138,3.59455295,2.646737256,2.486683908,2.127046116,1.965974572,1.635752812,1.441910888,0.981614856,0.946485156,0.7283092520000001,0.7504678640000001,0.96833039746,1.15060719382,0.8887003570199999,1.0837821743,0.8762560922999999,0.5644694768399999
579,FRDu,Finchley Road,2,12006.1243591168,295.90105711092,2496.71119874598,3584.0680469846,3242.4870277825,1562.0129755936,824.9440528992,6.093182264000002,10.190811984,16.555388738,25.3473445392,36.23468915088001,47.20994778488001,65.42565930548,88.84403334448,114.44892455988,144.8670264462,187.7668183242,225.6298884536,257.2794948306,271.7088318222,272.5293070922,251.715572881,231.487926995,199.440590757,177.6264935168,162.2103230673,151.7037019465,136.0476475757,131.4599894605,129.1001959335,127.9726415498,125.7872692652,129.8574396478,132.1397710366,135.772640002,135.1699400722,138.7822828008,141.239620875,143.870611897,142.1266766006,145.6771788476,147.2383413916,146.487348436,147.2878140372,153.9051686214,157.8174809696,167.7524286246,189.5690208064,205.5518014476,221.7510351394,240.4503189366,252.6397093416,259.3109491658,269.68042909746,280.3698325508601,281.63052488046,288.93906796466,290.98276363626,287.6089168,276.547580564,266.3512463,247.9756885448,220.320208454,195.9744189606,174.4867575202,153.0054647064,133.3473230926,119.207752289,108.4518757466,98.6540286388,95.21987955840001,89.493968044,88.05951696840002,85.79178161460001,82.48369795100001,78.5385811256,82.76668465184,81.67516101244,79.51972862744,75.90492472584,70.52714606844,58.88461172140001,49.0103143808,38.5761104676,29.9685462876,21.7185086276,15.0477238596,9.8993243376,7.800509620000001,8.22546964,7.291278913999999,6.255344883999999,4.998313064,3.818982804,1.583317524,1.73849923,1.841136,2.154294768,2.0715028752,1.3729211304,0.7858609304000002,0.4855576704
590,GPKu,Green Park,1,42726.83757798348,273.57889464,1343.07702556,11767.5124924,14702.2456864,7171.6642622,7468.759216783485,10.95511668,16.77787424,25.17084564,32.90823382,35.99089522,41.012283,52.18648262000001,58.57716342000001,66.04984476,74.54812166,82.76154799999999,85.57180612,90.27853444,95.59082078,109.03828148,119.95925508,134.25774718,148.07286346,164.7729586,172.175244,184.9700514,191.1567918,213.5099962,250.760898,298.1144340000001,350.5827066000001,416.4048888,456.4624326000001,465.1244760000001,462.5062504000001,450.1123058000001,427.5704948000001,421.2190444,429.650981,456.7370778000001,493.3985950000001,535.26652,579.294726,641.8609242,695.7050582,741.9069264000001,795.4773104000001,875.1266588,934.5929438000001,1005.5139978,1068.097455,1171.8462222,1231.099296,1320.897433,1343.750612,1417.9420112,1398.49551,1340.7535982,1225.775315,1158.780638,1019.293598,891.8511256,799.2358772000002,723.589946,639.67745,575.5988392,536.2784362,516.1327186000001,501.307542,487.7498056,480.3777294,499.7120452,520.1527472,542.943885,565.4956366,616.2652736,627.9835646000001,621.4355172,601.2154128000001,580.6057026,507.4102458,432.9810942,359.6577068,298.5931174,241.8675924,201.485293,176.2286274,163.6811898,151.466126,137.88508656,111.72920557,88.22756097000001,71.40628117000001,66.18642277000001,54.88669761,66.12196829999999,67.8153006,55.2406349622,33.298935523762,20.039328123762,6.605809423762
622,KILu,Kilburn,2,9088.877517374616,450.150950042621,2423.224912127001,2532.3426583394,2210.7662066504,994.6802010809201,477.7125891342801,8.170711480000001,16.30971998,29.45780178,44.3340047666842,58.69561416068421,75.80064736068421,98.21444377828419,119.1680067362842,142.8163194696,168.7674289730001,206.1211918130001,230.6274290894,245.3318246744,248.8204631084,250.247444232,228.870627304,206.7834927924,183.4263339502,165.7430193322,145.6693373884,129.6209321684,117.742653546,113.2219653052,110.6921643652,106.299683928,105.078344752,103.780939512,102.687053612,100.563515408,99.73348096500003,100.576504989,101.979677069,99.726260025,98.39158489100002,97.26923233900001,96.5182736056,94.39671725160004,96.11312459359999,98.20723494959998,101.5773940766,106.29992761,108.376585134,118.250843904,125.2385643396,135.6407695268,146.6571617488,163.1134993238,174.0048359998,196.7250232628,204.7198732836,210.3956263636,212.3931426666,210.7353750708,197.4727097282,187.7276417482,171.1805479274,153.3322039994,132.720635251,111.876951003,95.014565828,80.81005231040001,70.02732363,63.13165131820001,59.4934178262,55.5512084962,58.07457294440001,58.64330199506,56.00431647905999,51.44740834386002,50.03463081605999,45.56335607526,43.621354289,43.082991705,40.8863764306,38.4867998238,33.58387425680001,26.8632747128,21.4232829248,16.8192090844,11.978075664,8.933793779999998,6.99674022,5.98953996,5.597064160000001,4.731144468,3.731806224,2.785453724,2.081497824,1.545159796,1.583538121,1.997864237,2.350011203,1.79039811908,1.70443184994,1.38455207694,0.7189592449400002
