NLC,ASC,Station,Fare Zone,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,33491.69296574376,1033.986745800983,8477.769415569845,13422.05662327322,6146.684855589556,2721.288587347061,1689.906738163087,12.0528320904964,29.3326134824964,55.0683964001724,85.14812906707199,129.0184409208886,183.002022243277,241.850316127655,298.5139954689248,370.8733823429732,437.0240476659106,529.3671255131222,629.4348933680382,744.9438180018924,832.2579161813295,879.1753229016755,890.7150778569084,869.6430008700142,818.036898123718,755.8046285248129,720.4933042194488,680.8131257261197,657.8725008738256,624.9741411273221,605.78051386287,593.5880792409341,579.4710035398481,552.518665047742,551.176865017786,558.8333157223581,576.91528816495,591.012284002296,610.6384748905299,610.498662815286,598.46388510185,561.7397337066981,525.7718591780181,500.044639078664,494.855468109374,488.9384474210099,489.872739106804,501.872996470824,498.340058166844,480.1237831655341,487.940093735734,499.9686674133,500.6323874311,509.9138308393661,529.744330987166,542.297513849306,545.0844066133061,547.368539870446,544.16818446128,531.9212641529424,499.4701521541624,469.1707695633607,426.9448082538208,383.4667713520208,336.4073055820443,294.8183724892845,255.276538245826,231.748843697586,207.580183710786,190.1744329031,176.7157550437,166.57677435656,157.03076138432,156.581300703794,164.9115478780398,168.7210063928398,175.0174826120964,174.9760162109764,170.9243752681024,157.6684851378566,144.9903702802484,125.0019686043918,108.6403595503918,88.71670305839179,69.46570736839179,51.02282447,41.88108372000001,30.90937104,25.5840838,20.54341318,18.73753256400001,14.561370084,15.991320464,11.710139424,9.292219104,8.52986896,10.051420772,6.844412852,9.2137300666,10.3579265066,9.762539985399998,6.064417913400002,4.7265887734
787,BERu,Bermondsey,2,11481.1516280513,461.9522105400001,2203.9518856,2514.0411544,2865.043291000001,1882.5163892,1553.6466973113,1.78301988,8.584037680000002,22.48065008,38.60133968,57.99587182000001,87.133783,111.2015164,134.171992,159.3388244,183.6691924,198.6867552,224.024427,237.7690438,239.8211698,227.7754428,206.408985,173.2692074,140.9115666,114.7514376,97.5258336,88.18231960000001,80.44019120000002,74.7010162,70.71323920000002,71.68679680000001,72.5553326,73.6812046,76.4682508,81.20786820000001,84.0175844,86.978465,89.21128720000002,95.1163092,99.39360980000002,102.9360962,105.943011,111.2742826,117.4991314,124.8102734,136.1522262,149.4528768,162.896172,173.007413,185.716197,197.386787,207.627319,213.945665,230.3158812,240.2006432,251.5035192,254.4061652,264.2770152,260.13437,261.013554,245.945172,238.2872,222.641045,207.282627,184.5770606,171.5214496,158.6810532,147.4023824,138.7783092,133.6561236,131.4738796,128.5905048,127.666898,130.2450562,136.1718322,140.0066556,142.440962,143.0323582,136.9993072,132.0541022,115.4845668,102.0153734,87.3493894,73.68976046,51.78592878,43.34030732000002,35.86638732,26.51991118,23.41333672,21.32744748,21.5013428,19.36165954,16.98418208,11.82827414,13.12791646,10.0424011,9.10954048,10.30133402,11.75579196,8.4509957971,6.4767822971,3.2088503771
524,BDSu,Bond Street,1,65259.91811015903,2508.390415630164,17428.9498752632,25625.78357512543,12678.05934117567,5317.217588247587,1701.517314716958,4.897735069846,39.811567876646,88.552504051588,162.437985006988,285.4381886749881,460.46551372955,625.9771053807501,840.8098158398082,1036.378450914408,1208.844165146657,1338.727686784249,1453.584679268469,1541.501554118469,1648.961543136789,1663.42517216054,1653.04064826654,1622.28213903232,1547.23971713032,1401.6318074476,1313.332311856832,1239.647561146832,1173.418184322832,1100.998849981832,1082.853909712232,1090.9169730518,1091.1212772672,1091.0708134112,1108.1345021472,1127.4826598792,1122.5110597944,1105.557761277,1090.96455514434,1082.21492049034,1052.29558679808,1021.31954263408,1001.15889391808,993.0162320000001,979.3549276258,968.0603528572599,975.1718195412601,1000.62239596326,1025.541351526,1040.4025146212,1061.946930014,1066.906341602,1067.754118469403,1057.087654173403,1077.612416895403,1082.406202958603,1106.163909218603,1108.5716054092,1113.3527540466,1078.622718888814,1046.224250165614,977.306086570014,896.0512827780141,815.5546966657033,724.5965993291896,629.6262141791896,548.6302387946904,487.8263729539244,418.4198190693769,362.6086376010765,325.1686056137846,290.9798352648999,258.7893695143458,233.392932733012,221.6242665283941,207.876302723332,196.08851954565,181.62158074897,171.651218956218,150.227626191436,132.2442810016839,116.6356666717498,99.96357873619739,80.98282085185006,67.28200445785006,52.17123252995622,37.15550429655622,29.80128624610866,21.704347588,20.395410418,16.794496338,17.131948228,16.377702198,14.18349843,9.855328018000002,10.31010076,7.954662680000002,6.640452205080001,7.92525164508,10.15473722108,7.78332744508,6.587011785080001,4.0174168
788,CWRu,Canada Water,2,16370.6368496476,500.21889972,2204.05304142,3572.182400279999,4433.1227162,2863.9699099,2797.0898821276,2.260909512,9.338353108,23.276575232,36.224084892,57.210078052,87.31730604,121.295980504,163.29561238,214.98424892,256.27694172,271.25959106,273.2689491,252.9151393,215.8889077,174.4592794,146.1724774,120.5086779,102.36217556,90.76488970000003,85.19176366000002,85.0904816,86.4453794,87.82887126,91.04398132,96.21465006,100.83996872,104.52562232,110.4657938,118.1578546,125.5295748,131.39188066,140.8907666600001,148.12055838,153.55232686,157.00234146,164.031298,171.099252,178.80479138,186.0163279,198.4114781,212.1042325,223.8619267,237.5282442,263.2247976,282.3856568,298.5400484,322.1278786,349.1041446,370.8432858,396.0945868,417.7966204000001,421.773103,421.0668726,406.8915794000001,388.8492434,357.6496964,331.8511966,304.4090958,277.4561732000001,249.4062588,235.1587298,225.4286316,213.57036968,207.24697108,204.73830496,203.11331622,203.17528122,208.41558094,219.39852274,229.1480568600001,237.570197,236.42277548,232.94466492,217.62995972,197.48056166,168.42209582,148.000129732,118.20568123,97.60442355200003,80.79256937200002,71.083356612,61.68925596,57.614816502,53.59970858,48.89778108,54.1543374,43.24219066000001,36.65280138,27.70493872,30.85593348,21.0305124,25.85822964,27.01612628,27.2890404092,16.2462481892,10.5349667492
884,CNTu,Canning Town,2/3,21234.227777958,533.1309407380002,2406.0889875,4405.39947834,5778.401143400001,3903.45373936,4207.75348862,6.226339522000001,15.388659782,30.18227419400001,46.989426074,68.09249862200001,91.33408907200001,122.307578012,152.61007546,203.24719578,241.16208064,262.58429698,260.42072372,254.43157746,221.3898365800001,190.75959706,171.64819156,165.8452594,154.86293674,143.9869201,135.75037148,128.21282126,117.0298871,112.7872655,113.81167138,118.21076642,121.44227056,128.36022594,132.03656956,138.7421896,144.46165468,152.42229044,159.44778634,170.21615578,177.06149026,184.92833838,193.10506954,208.53671604,223.15909024,233.2449803600001,250.20614886,268.9847234,289.6181069,304.1288203,335.2444395,369.4519501,404.9756179,434.7818927,467.52396956,505.2216393600002,527.5743396600001,544.31164486,542.54599684,541.23008278,511.93454058,485.8896312800001,442.95983778,420.7147962999999,388.8366123,362.0074391000001,333.7004321,323.438574,307.7476984800001,298.9814148,295.1056097,294.2612763,292.78311408,292.9019718,292.9748004,300.9635409,311.8906922400001,317.7726892000001,320.0830461400001,322.9489956800001,308.56730704,283.89704526,245.82805442,214.27698818,178.378478296,150.570987736,126.514663296,131.259864596,111.508811676,111.0268011,98.5531569,106.75329238,95.03908358,85.3056282,60.607430992,50.98649835200001,36.18137125200001,35.75383953200001,39.832631492,50.12408814,52.97104664,39.63995174,20.51750366
537,CPKu,Canons Park,5,3304.957025824972,32.538227546,389.561913634,670.9855467799999,1115.81154816,641.553691364,454.5060983409716,0.06169844200000001,0.129970562,1.071595322,2.57975186,3.772794244,5.944689114,8.226053164,10.751674838,16.92894328,22.517764726,32.49604360400001,38.967759034,48.08085466,47.11877984000002,46.02939046000001,37.36605316599999,33.54987194600001,25.35448950600001,21.609864586,19.542098826,18.864212306,16.722385934,15.37576779400001,15.8136273,15.82653288,16.440588294,17.205247486,17.995500006,19.02355696,19.75320902,21.28274119000001,23.20340875,25.709171462,27.714886812,29.661335532,31.152589212,33.057364622,34.35222267,34.93022617999999,35.96638726,41.49726669,46.66100582,52.68524236,60.09107024000001,67.999341,73.19881088,81.96009442,85.58969336,93.85295688,99.23207033999999,105.8801489,103.09910522,107.89108164,103.039442,102.35977178,91.70903174,88.33521148,79.75804772800001,72.61332105599999,60.137577648,55.28445212200001,48.01588109,42.713709474,38.532636074,39.35505082800001,39.3294275,38.99462810000001,38.483748264,39.52308456599999,38.001023432,37.0111906512,35.81277063720001,34.9071030372,34.41837050120001,32.04589591120001,29.8049117672,27.78666291407217,23.73777392607216,19.69172571286009,16.33073369235963,13.51844367187327,9.879904732360878,8.961968065008772,6.922949625820838,7.648920674321306,6.515795123607667,5.750768462785471,3.938450263165242,2.952900902056493,1.15463845299654,1.664393403446351,2.312723803770347,3.534337683155331,4.11435004345629,4.114350042516243,2.449956642066432
558,DHLu,Dollis Hill,3,4847.763691953998,109.39015204,623.0050124,1079.4304373,1452.0635026,868.69277878,715.1818088339999,0.52509832,2.47631466,5.744743000000001,10.23344436,15.90090608,19.92185968,24.82286894,29.764917,35.00729320000001,39.1919412,47.59876700000001,52.8927316,58.31812,61.95010440000001,65.5592834,62.44368899999999,59.1087426,53.885784,47.3081504,39.7404056,36.671393,34.10799780000001,30.500869,28.9537176,28.3826678,27.7191456,27.1693164,29.4371138,31.86221860000001,34.1047974,36.08715520000001,38.8331633,40.83199490000001,42.3464475,43.5550453,45.8680929,48.4471696,51.1281536,54.2546756,58.97995740000002,65.5888566,72.92263400000002,80.63546760000001,91.04238680000002,99.9339814,110.6332828,114.0834606,124.4945142,127.11832,131.6443272,131.2190436,132.5588774,127.0099992,122.1749144,119.3186772,111.8741046,103.7470836,93.98824720000002,87.55351454,77.85009714,71.59618194000001,69.62951274000001,67.0396094,65.5465318,59.92310640000001,58.8600422,56.03632928,56.92252254,55.32785646,62.43104646,59.24707866,59.55312264000001,58.54075433999999,56.89047188000001,50.62384366000001,46.66171560000002,43.22466122,34.862222012,29.12652986400001,24.046882284,20.297274522,16.544301112,14.071190488,12.595710876,8.950534416,10.619088238,7.273581968000001,6.295584984000001,4.117584344,5.749025872000001,3.398646232,4.891138182000001,5.380907863999998,6.774041183999999,4.271680716000001,3.415332756
579,FRDu,Finchley Road,2,11434.87332776247,370.0434005122549,2347.248685542943,3070.240059953309,2901.890635362745,1535.661942950584,1209.788603440632,1.724519732926392,8.672223460326391,19.48809607297873,30.47123197317673,47.92064949156973,64.77962809989833,85.99656127942428,110.9904904019544,143.1114089503831,174.8222137405199,210.1008399723352,240.7405674407373,255.6041485924264,256.1397877979977,238.7502571601602,214.7454058889979,182.5836127662699,159.4945192821984,138.8548082578976,132.3011156930196,124.1028011493409,121.4178442895681,115.2212810087681,113.0931191447004,109.35102289438,111.6487557814586,108.8205140714315,108.8269016382315,109.322134788,109.1490248214,108.126143103,113.2695536356,117.8222930808,122.8235310074,125.5687451794,129.0547779278,129.4161589916,131.2383776990661,136.3408065210662,145.2085747927583,155.2524842135411,166.2693503983018,173.6261468858485,185.2697169298485,200.2558158485563,215.1686465145877,225.4312488962673,243.8550665846545,252.916213851133,258.3661206618636,258.1295673032493,263.9866580227958,263.7629631927958,256.380508106411,237.5109775700005,226.1268488104303,203.2643315808436,178.3406660174436,154.4531386361498,142.3207200698298,127.8634283348,117.929221538695,109.0643780203506,104.9907444596675,101.3683484758575,97.3395280382135,97.28120191499848,101.4462358637349,110.500100244218,116.9169347572089,117.9660241172529,118.7758312881729,116.8656778627809,107.2698580757034,94.42345675532356,82.77680479692353,69.12262428972355,53.09786598072354,40.50783985120108,29.37427332000001,22.07421503400001,16.187453814,12.760336154,10.782275894,11.823996294,11.64124868,9.45670982,7.3556081,7.431088359999999,6.298384120000001,5.4587132,6.825510260000001,8.301844708,6.948381367800001,5.3192143678,3.5263319278
590,GPKu,Green Park,1,50979.93327935799,2512.36835594,15480.1779088,19702.1465438,8125.454595200001,3530.2391444,1629.546731218001,7.23930457,43.69906637,96.92701839,195.96276699,325.14490498,464.57247462,612.3667820200001,766.456038,915.5603223999999,1042.696353,1150.8446356,1232.873402,1336.5048232,1400.3971352,1417.7552092,1436.7992798,1458.926231,1418.6927978,1346.1797648,1322.9479548,1304.9683468,1262.14601,1194.438152,1125.803966,1053.0917076,970.1776906,878.0540436,826.8738648000001,826.1642624,794.8323052000001,758.2216526,738.608289,712.3175902,665.6163478000001,647.5610730000001,633.2993636,634.804365,646.2154016000001,639.6255164,648.9915546,667.4488448000001,684.294084,688.9490513999999,699.6430608000001,684.8934586,674.8356324,645.1893324000001,641.6431492000002,651.8869638000001,673.6371022000001,690.1056152000001,716.7535014000002,719.0216704,711.3025983999999,680.6119240000002,635.5736472000001,577.6260866000001,509.3132474,433.0114724,368.376194,310.3918776,254.9643778,215.3629086,195.1677444,177.0779012,164.7941628,161.2132504,162.9399212,163.912389,166.0067922,166.7310478,157.041364,144.1886125,126.2733275,107.50937762,86.81391488,74.0677679,58.52514825999999,48.73708090000001,39.94929352,35.02533595000001,29.033502938,27.774559698,24.367031058,23.074362712,21.684641322,17.866011714,14.740822214,15.302939902,13.687932928,11.367503728,13.657446028,15.212027412,12.018087958,8.940603338,6.037806238
622,KILu,Kilburn,2,8612.870424203715,227.1381839201085,1206.574957290841,1989.001968838662,2265.875594204116,1459.830803727208,1464.44891622278,0.2519685026,1.2390895262,4.330926566023806,12.89810250327515,23.44958896927515,42.9171491587814,62.23677591018139,79.81458278377158,94.85848826203944,110.8249646304679,115.7874623855617,121.8366838275794,126.7737610914514,126.4201016453322,113.9997947876999,102.6286667509345,89.35662977224717,77.9861292137612,64.88309110328119,61.21918382048499,59.6432952826504,58.04730801232,55.17309538052001,56.38407802777981,58.58700595777981,60.08874170177981,60.95948140677981,62.7946333885798,65.60670929300001,68.82489265299999,70.54221267420002,75.0635160212,79.6234567204,83.73540547228,84.81224296948,87.79822699568001,91.15547137168002,92.72150550568,94.69209637387792,104.5822657704451,113.5399158801791,121.6970628994492,133.2177893634492,149.7115597164712,158.344633803492,175.731821955158,183.5992125219356,196.7456212486756,200.6758185027757,208.0037248165036,197.0219044022036,202.4156970409561,193.835546884216,192.2705184018159,178.2608688219,178.970225804484,168.290110351484,157.847818912884,141.595583308504,133.9935193991892,121.309305954048,112.061895262848,105.862554235318,102.232774613698,101.5222274683388,102.794823552342,103.277232558942,109.042958109612,115.481113182812,121.749491238886,125.98274284094,124.12667445674,120.7086605162,113.0603204817517,104.2967338557517,90.05790697643172,84.39846569743173,71.88349079743175,61.27236141268001,47.30444154068,42.589624628,31.159130322,28.234323462,23.45500248,24.306564892,21.039165208,17.774723694,12.175960424,12.059096756,10.36017302,9.563649423815999,11.147119545816,13.821723665816,12.1936351304704,9.0111702064704,5.2354503666544
